,welfare_agg21_sp,year,level,area,dem,SourceSheet,sector,sector2,quintile_overall,sec_quint,state,age_cat,nat_quint,state_quint,state_sec_quint,nat_age_quint,sec_age_quint,state_age_quint,state_sec_age_quint,edu_cat,nat_edu_quint,sec_edu_quint,state_edu_quint,state_sec_edu_quint,gen_cat,nat_gen_quint,sec_gen_quint,state_gen_quint,state_sec_gen_quint,hhsize_cat,nat_hhsize_quint,sec_hhsize_quint,state_hhsize_quint,state_sec_hhsize_quint,owns_land,nat_land_quint,sec_land_quint,state_land_quint,state_sec_land_quint,inc_cat,nat_inc_quint,sec_inc_quint,state_inc_quint,state_sec_inc_quint,owns_dwelling,nat_dwel_quint,sec_dwel_quint,state_dwel_quint,state_sec_dwel_quint
26,3221.441198,2023,State,All,All Households,state_quint,NA,99,1,NA,Punjab,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,4123.11927,2023,State,All,All Households,state_quint,NA,99,2,NA,Punjab,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4873.032728,2023,State,All,All Households,state_quint,NA,99,3,NA,Punjab,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,5876.384299,2023,State,All,All Households,state_quint,NA,99,4,NA,Punjab,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,7920.301232,2023,State,All,All Households,state_quint,NA,99,5,NA,Punjab,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,5267.956076,2023,State,All,All Households,state_quint,NA,99,1,NA,Chandigarh,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,7089.018627,2023,State,All,All Households,state_quint,NA,99,2,NA,Chandigarh,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,9826.130517,2023,State,All,All Households,state_quint,NA,99,3,NA,Chandigarh,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,12875.09862,2023,State,All,All Households,state_quint,NA,99,4,NA,Chandigarh,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,18850.78447,2023,State,All,All Households,state_quint,NA,99,5,NA,Chandigarh,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
