,m_poor_1_33,wi_cat1,wi_cat2,wi_cat3,wi_cat4,wi_cat5,check,year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
2941,1,0,1,0,0,0,1,2015,4,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2942,1,0,0,1,0,0,1,2015,4,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
2943,1,0,0.451086611,0.54891336,0,0,1,2015,4,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
2944,1,1,0,0,0,0,1,2015,4,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
3254,1,0.38574183,0.372321427,0.209468335,0.032468434,0,1,2015,4,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
3255,1,0.375802904,0.245351985,0.281154722,0.009661319,0.088029049,1,2015,4,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
3344,1,0.398782998,0.372481465,0.194207028,0.034528524,0,1,2015,4,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
3345,1,0.399040699,0.260523319,0.236704931,0.010258727,0.093472332,1,2015,4,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
3346,1,0.180203766,0.369799107,0.449997127,0,0,1,2015,4,State,urban/rural,Gender,statesector,1,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
3347,1,0,0,1,0,0,1,2015,4,State,urban/rural,Gender,statesector,1,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
3519,1,0.541698754,0.445698202,0.012603033,0,0,1,2015,4,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,1,NA,NA
3520,1,0.348458171,0.329576284,0.299734145,0.022231378,0,1,2015,4,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
3521,1,0.423439145,0.325928956,0.244509161,0.00612272,0,1,2015,4,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
3522,1,0.204013199,0.425039887,0.087072201,0.141882583,0.141992107,1,2015,4,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,7+,NA,NA
3677,1,0.541698754,0.445698202,0.012603033,0,0,1,2015,4,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,1,NA,NA
3678,1,0.373667598,0.353419691,0.249072999,0.02383972,0,1,2015,4,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
3679,1,0.442576706,0.322477281,0.228341535,0.006604451,0,1,2015,4,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
3680,1,0.204013199,0.425039887,0.087072201,0.141882583,0.141992107,1,2015,4,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,7+,NA,NA
3681,1,0,0,1,0,0,1,2015,4,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
3682,1,0.180203766,0.369799107,0.449997127,0,0,1,2015,4,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
3981,1,0.318318009,0.297205716,0.296294659,0.088181622,0,1,2015,4,State,All,Owns House,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
3982,1,0.404796243,0.359787047,0.202085465,0.007686944,0.025644286,1,2015,4,State,All,Owns House,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
4070,1,0.401661903,0.286576629,0.200491622,0.111269861,0,1,2015,4,State,urban/rural,Owns House,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
4071,1,0.398103386,0.363832742,0.204357848,0.007773381,0.025932647,1,2015,4,State,urban/rural,Owns House,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
4072,1,0,0.337801844,0.662198186,0,0,1,2015,4,State,urban/rural,Owns House,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
4073,1,1,0,0,0,0,1,2015,4,State,urban/rural,Owns House,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
4240,1,0.368904799,0.354178905,0.231662646,0.022319678,0.022933951,1,2015,4,State,All,Agri Land,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
4241,1,0.462568134,0.291780889,0.190498158,0.055152833,0,1,2015,4,State,All,Agri Land,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
4329,1,0.392623752,0.355231881,0.203981131,0.023754735,0.024408503,1,2015,4,State,urban/rural,Agri Land,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
4330,1,0.432116926,0.30831334,0.201291889,0.058277823,0,1,2015,4,State,urban/rural,Agri Land,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
4331,1,0,0.337801844,0.662198186,0,0,1,2015,4,State,urban/rural,Agri Land,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
4332,1,1,0,0,0,0,1,2015,4,State,urban/rural,Agri Land,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
5,1,0.387962162,0.380918622,0.144567803,0.081094384,0.005457048,1,2019,5,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
42,1,0.413459063,0.391990691,0.131755397,0.058620438,0.004174402,1,2019,5,State,urban/rural,All Households,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
43,1,0.161403909,0.282535195,0.258415163,0.280791461,0.016854282,1,2019,5,State,urban/rural,All Households,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA
131,1,0.31693998,0.352281243,0.207932502,0.122846283,0,1,2019,5,State,All,Age,state,99,Andhra Pradesh,15 to 29,NA,NA,NA,NA,NA
132,1,0.308822393,0.42934081,0.163077116,0.094306633,0.004453054,1,2019,5,State,All,Age,state,99,Andhra Pradesh,30 to 45,NA,NA,NA,NA,NA
133,1,0.432425946,0.360884577,0.149221361,0.05536833,0.00209978,1,2019,5,State,All,Age,state,99,Andhra Pradesh,46 to 64,NA,NA,NA,NA,NA
134,1,0.519207954,0.328679115,0.053621974,0.080259584,0.018231397,1,2019,5,State,All,Age,state,99,Andhra Pradesh,65+,NA,NA,NA,NA,NA
296,1,0.372452646,0.37010929,0.175912559,0.081525512,0,1,2019,5,State,urban/rural,Age,statesector,0,Andhra Pradesh,15 to 29,NA,NA,NA,NA,NA
297,1,0.333248049,0.451216727,0.152412847,0.063122354,0,1,2019,5,State,urban/rural,Age,statesector,0,Andhra Pradesh,30 to 45,NA,NA,NA,NA,NA
298,1,0.453861058,0.366367817,0.13854298,0.038930431,0.002297712,1,2019,5,State,urban/rural,Age,statesector,0,Andhra Pradesh,46 to 64,NA,NA,NA,NA,NA
299,1,0.525105,0.327901691,0.050252117,0.07751666,0.019224538,1,2019,5,State,urban/rural,Age,statesector,0,Andhra Pradesh,65+,NA,NA,NA,NA,NA
300,1,0.070507027,0.273138702,0.35007602,0.306278259,0,1,2019,5,State,urban/rural,Age,statesector,1,Andhra Pradesh,15 to 29,NA,NA,NA,NA,NA
301,1,0.120615341,0.260780424,0.245248452,0.334590644,0.03876514,1,2019,5,State,urban/rural,Age,statesector,1,Andhra Pradesh,30 to 45,NA,NA,NA,NA,NA
302,1,0.205030173,0.302715063,0.262503773,0.229750991,0,1,2019,5,State,urban/rural,Age,statesector,1,Andhra Pradesh,46 to 64,NA,NA,NA,NA,NA
