,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,year,round,level,area,dem,SourceSheet,sector,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
1616,0,0.100890934,0,0.006683933,0.186173797,0,0.234755501,0,0.117469139,0,0.053678937,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
1617,1,1,0,0,1,0,0,0,0,0,0,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
1618,0,0,0,0.004908036,0.164909929,0,0.105250292,0.027864346,0.09386839,0.008520062,0.022171194,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
1619,1,0,0,0,1,0.773176074,0.226823926,0.44083488,0.773176074,0.667658806,1,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
1620,0,0,0,0.036268856,0.105556734,0,0.035439283,0.008424507,0.045094725,0,0.010538014,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Higher,NA,NA,NA,NA
1621,0,0,0,0,0,0,0.814212561,0.381632894,0,0,0,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2271,0,0.045405976,0.003672776,0.008279782,0.131370425,0.013430064,0.100652069,0.040144946,0.283829749,0.141417176,0.056288291,2019,5,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
2272,1,0.392875105,0.085760437,0.032122511,0.547123313,0.400257766,0.74934113,0.396226257,0.854494929,0.763479173,0.703653216,2019,5,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
2273,0,0.043551419,0.003735589,0.008091453,0.158261716,0.00549596,0.093411148,0.027395941,0.266565323,0.099255525,0.05648775,2019,5,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
2274,1,0.688966095,0,0.035908561,0.49402383,0.085987359,0.345849156,0.272008508,0.734909177,0.817956209,0.473191321,2019,5,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
2275,0,0,0,0,0.149832174,0,0.094944119,0.149832174,0.094944119,0,0,2019,5,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2469,0,0.055735942,0.002715857,0.004011223,0.119457379,0.021431433,0.089559726,0.051664859,0.39941892,0.221137688,0.070049107,2019,5,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
2470,1,0.395991474,0.098632932,0.036944047,0.479147315,0.387467951,0.796827376,0.414152741,0.909885406,0.815152764,0.715025604,2019,5,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
2471,0,0.040047903,0.006290982,0.013626551,0.125151381,0.009255566,0.071719617,0.038578354,0.394316137,0.162142023,0.073003985,2019,5,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
2472,1,0.645881057,0,0.040882688,0.423934996,0.097898506,0.393756896,0.309687674,0.836710274,0.931261182,0.538738728,2019,5,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
2473,0,0,0,0,0.149832174,0,0.094944119,0.149832174,0.094944119,0,0,2019,5,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2474,0,0.028067432,0.005278936,0.015444432,0.15136613,0,0.119270243,0.020809112,0.089816742,0.007608637,0.033191167,2019,5,State,urban/rural,Gender,statesector,1,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
2475,1,0.37211293,0,0,1,0.485467255,0.432973504,0.276794523,0.485467255,0.419214338,0.62788707,2019,5,State,urban/rural,Gender,statesector,1,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
2476,0,0.048673015,0,0,0.206663892,0,0.125120804,0.011048991,0.079813413,0.007325223,0.032343578,2019,5,State,urban/rural,Gender,statesector,1,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
2477,1,1,0,0,1,0,0,0,0,0,0,2019,5,State,urban/rural,Gender,statesector,1,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
2857,0,0.383383304,0,0,0,0.006010816,0.103441611,0.008636428,0.228086099,0.057258628,0.197436869,2019,5,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,1,NA,NA
2858,1,0.955422521,0,0.080534108,0,0.318845689,0.294269919,0.233889058,0.953005552,0.809719205,0.861125112,2019,5,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,1,NA,NA
2859,0,0.094963089,0.000718025,0.007139996,0.061052907,0.011189123,0.111170568,0.046777517,0.268215716,0.114011429,0.06358657,2019,5,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
2860,1,0.743120909,0.024358964,0,0.286989242,0.284293741,0.700247586,0.21445474,0.78463757,0.788557172,0.686264575,2019,5,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
2861,0,0.015524199,0.005512214,0.004795339,0.159305438,0.012678758,0.099389687,0.02865356,0.292218477,0.154157817,0.052385669,2019,5,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
2862,1,0.284613818,0.098434232,0.035016544,0.69062084,0.407643437,0.746063292,0.431207478,0.848468482,0.757842243,0.659527123,2019,5,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
2863,0,0,0.00265518,0.036752563,0.273650557,0.011660583,0.056624912,0.074521095,0.257562995,0.083261222,0.029151412,2019,5,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,7+,NA,NA
2864,1,0,0.129859746,0.114413209,0.67123884,0.214347929,0.542081892,0.770529985,0.870140254,0.785652101,0.558555603,2019,5,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,7+,NA,NA
3143,0,0.390717804,0,0,0,0.007657291,0.090975322,0.011002108,0.246529058,0.072942846,0.197262004,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,1,NA,NA
3144,1,0.955422521,0,0.080534108,0,0.318845689,0.294269919,0.233889058,0.953005552,0.809719205,0.861125112,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,1,NA,NA
3145,0,0.115110651,0.001133893,0.003211525,0.056632929,0.017669665,0.110554084,0.051482357,0.357188821,0.177356839,0.074302837,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
3146,1,0.767131746,0.028795835,0,0.157117695,0.336076498,0.756994247,0.253516674,0.927555621,0.861388981,0.74046427,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
3147,0,0.014017853,0.00440405,0.003670246,0.133996725,0.020346673,0.080997542,0.043800052,0.419577777,0.240987927,0.065792523,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
3148,1,0.269702733,0.114778839,0.040830899,0.639249682,0.371455073,0.807774007,0.44358173,0.885477304,0.824452877,0.66516304,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
3149,0,0,0.004988219,0.032850202,0.317673326,0.021906435,0.027514808,0.097331792,0.447681069,0.156420708,0.054766003,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,7+,NA,NA
3150,1,0,0.129859746,0.114413209,0.67123884,0.214347929,0.542081892,0.770529985,0.870140254,0.785652101,0.558555603,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,7+,NA,NA
3151,0,0.35660708,0,0,0,0,0.148952499,0,0.160756037,0,0.19807525,2019,5,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,1,NA,NA
3152,0,0.060176879,0,0.013922784,0.068684317,0,0.112234965,0.038654268,0.114597261,0.004641037,0.045084156,2019,5,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
3153,1,0.611298442,0,0,1,0,0.388701558,0,0,0.388701558,0.388701558,2019,5,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
3154,0,0.018014913,0.007344543,0.00665566,0.201152951,0,0.129800767,0.00360911,0.08163213,0.010585838,0.030217677,2019,5,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
3155,1,0.374414742,0,0,1,0.625585258,0.374414742,0.356684357,0.625585258,0.356684357,0.625585258,2019,5,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
3156,0,0,0,0.041193753,0.223549202,0,0.089754485,0.048560731,0.041193753,0,0,2019,5,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,7+,NA,NA
3713,0,0.047145419,0.005484657,0.006148229,0.156836331,0.004246204,0.130927101,0.035312753,0.197835103,0.064896442,0.051635146,2019,5,State,All,Owns House,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
3714,1,0.466830969,0.091709316,0.029208558,0.59041363,0.378116995,0.566473424,0.210041851,0.692812741,0.703604221,0.698711276,2019,5,State,All,Owns House,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
3715,0,0.043652613,0.002481292,0.009634507,0.122381933,0.017185681,0.078351974,0.039709542,0.335779846,0.179753646,0.059386119,2019,5,State,All,Owns House,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
3716,1,0.41630879,0.066512786,0.034179278,0.517174482,0.349728763,0.75477767,0.457032323,0.905039489,0.80124402,0.661457241,2019,5,State,All,Owns House,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
3857,0,0.044665109,0.003290113,0.005026894,0.160356954,0.009762206,0.095777877,0.039869938,0.304067969,0.142563909,0.065864049,2019,5,State,urban/rural,Owns House,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
3858,1,0.478420258,0.156349495,0.049795851,0.301721692,0.34510982,0.698614001,0.187313601,0.881614983,0.940888703,0.803802431,2019,5,State,urban/rural,Owns House,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
3859,0,0.0562663,0.003330829,0.005875358,0.104943149,0.023069659,0.082948647,0.053305171,0.434853524,0.237475201,0.072273552,2019,5,State,urban/rural,Owns House,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
3860,1,0.41630879,0.066512786,0.034179278,0.517174482,0.349728763,0.75477767,0.457032323,0.905039489,0.80124402,0.661457241,2019,5,State,urban/rural,Owns House,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
