,m_poor_1_20_old,m_poor_1_33,m_poor_1_50,m_poor_1_20,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
87,0.050763432,0.007993476,0.000680698,0.042769956,2019,State,urban/rural,All Households,statesector,1,Mizoram,NA,NA,NA,NA,NA,NA
88,0.393725067,0.221694067,0.038815737,0.172031,2019,State,urban/rural,All Households,statesector,0,Nagaland,NA,NA,NA,NA,NA,NA
89,0.182553381,0.063680984,0.008263414,0.118872397,2019,State,urban/rural,All Households,statesector,1,Nagaland,NA,NA,NA,NA,NA,NA
90,0.445584148,0.235503539,0.058836449,0.210080609,2019,State,urban/rural,All Households,statesector,0,Odisha,NA,NA,NA,NA,NA,NA
91,0.184796423,0.069765635,0.015707683,0.115030788,2019,State,urban/rural,All Households,statesector,1,Odisha,NA,NA,NA,NA,NA,NA
92,0.100085206,0.015759077,0.001149195,0.084326129,2019,State,urban/rural,All Households,statesector,0,Puducherry,NA,NA,NA,NA,NA,NA
93,0.073897228,0.013531095,9.55E-05,0.060366133,2019,State,urban/rural,All Households,statesector,1,Puducherry,NA,NA,NA,NA,NA,NA
94,0.20349662,0.049012713,0.007231059,0.154483907,2019,State,urban/rural,All Households,statesector,0,Punjab,NA,NA,NA,NA,NA,NA
95,0.11416804,0.044360436,0.006945962,0.069807604,2019,State,urban/rural,All Households,statesector,1,Punjab,NA,NA,NA,NA,NA,NA
96,0.460799247,0.203675106,0.045247972,0.257124141,2019,State,urban/rural,All Households,statesector,0,Rajasthan,NA,NA,NA,NA,NA,NA
97,0.174370974,0.042212449,0.00789541,0.132158525,2019,State,urban/rural,All Households,statesector,1,Rajasthan,NA,NA,NA,NA,NA,NA
98,0.179586396,0.054662313,0.00736835,0.124924083,2019,State,urban/rural,All Households,statesector,0,Sikkim,NA,NA,NA,NA,NA,NA
99,0.049531545,0.004252714,0.000171876,0.045278831,2019,State,urban/rural,All Households,statesector,1,Sikkim,NA,NA,NA,NA,NA,NA
100,0.231947199,0.053213075,0.003506249,0.178734124,2019,State,urban/rural,All Households,statesector,0,Tamil Nadu,NA,NA,NA,NA,NA,NA
101,0.088378064,0.021426186,0.000723416,0.066951878,2019,State,urban/rural,All Households,statesector,1,Tamil Nadu,NA,NA,NA,NA,NA,NA
