,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
107,0,0.5104,0.1588,0.2516,2023,State,urban/rural,All Households,sector_state,NA,99,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1,0.5395,0.0820,0.3529,2023,State,urban/rural,All Households,sector_state,NA,99,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0,0.5576,0.1434,0.2813,2023,State,urban/rural,All Households,sector_state,NA,99,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1,0.6066,0.0594,0.3219,2023,State,urban/rural,All Households,sector_state,NA,99,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0,0.4650,0.1728,0.3168,2023,State,urban/rural,All Households,sector_state,NA,99,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1,0.4783,0.1416,0.3597,2023,State,urban/rural,All Households,sector_state,NA,99,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,0,0.3972,0.1457,0.3864,2023,State,urban/rural,All Households,sector_state,NA,99,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1,0.3248,0.0901,0.5265,2023,State,urban/rural,All Households,sector_state,NA,99,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,0,0.4680,0.1572,0.3106,2023,State,urban/rural,All Households,sector_state,NA,99,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1,0.5267,0.1020,0.3242,2023,State,urban/rural,All Households,sector_state,NA,99,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0,0.4549,0.1408,0.2992,2023,State,urban/rural,All Households,sector_state,NA,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1,0.3748,0.0439,0.3545,2023,State,urban/rural,All Households,sector_state,NA,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
