State,Code,Indicator,Year,Value
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1995,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1995,0.64
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1995,5.98
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1995,47.76
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1995,24.02
Andhra Pradesh,total_rev_gdp,Total revenues,1996,20.39
Andhra Pradesh,cur_rev_gdp,Current revenues,1996,18.12
Andhra Pradesh,tax_rev_gdp,Tax revenues,1996,12.66
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1996,7.9
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1996,0.12
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1996,0.85
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1996,6.94
Andhra Pradesh,central_share_gdp,Share in central government tax,1996,4.76
Andhra Pradesh,nontax_gdp,Non-tax revenues,1996,5.46
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1996,2.63
Andhra Pradesh,grants_gdp,Grants from the Centre,1996,2.83
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1996,2.28
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1996,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1996,88.83
Andhra Pradesh,tax_rev_total,Tax revenues,1996,62.07
Andhra Pradesh,own_tax_total,State's own tax revenues,1996,38.74
Andhra Pradesh,inc_tax_total,Taxes on Income,1996,0.57
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1996,4.16
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1996,34.01
Andhra Pradesh,central_share_total,Share in central government tax,1996,23.32
Andhra Pradesh,nontax_total,Non-tax revenues,1996,26.77
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1996,12.89
Andhra Pradesh,grants_total,Grants from the Centre,1996,13.87
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1996,11.17
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1996,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1996,0.92
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1996,6.71
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1996,43.13
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1996,20.78
Andhra Pradesh,total_rev_gdp,Total revenues,1997,22.55
Andhra Pradesh,cur_rev_gdp,Current revenues,1997,21.08
Andhra Pradesh,tax_rev_gdp,Tax revenues,1997,16.03
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1997,10.84
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1997,0.12
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1997,0.82
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1997,9.9
Andhra Pradesh,central_share_gdp,Share in central government tax,1997,5.2
Andhra Pradesh,nontax_gdp,Non-tax revenues,1997,5.05
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1997,2.72
Andhra Pradesh,grants_gdp,Grants from the Centre,1997,2.33
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1997,1.46
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1997,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1997,93.52
Andhra Pradesh,tax_rev_total,Tax revenues,1997,71.11
Andhra Pradesh,own_tax_total,State's own tax revenues,1997,48.06
Andhra Pradesh,inc_tax_total,Taxes on Income,1997,0.51
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1997,3.63
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1997,43.92
Andhra Pradesh,central_share_total,Share in central government tax,1997,23.05
Andhra Pradesh,nontax_total,Non-tax revenues,1997,22.41
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1997,12.08
Andhra Pradesh,grants_total,Grants from the Centre,1997,10.33
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1997,6.48
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1997,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1997,0.72
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1997,5.11
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1997,31.52
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1997,16.99
Andhra Pradesh,total_rev_gdp,Total revenues,1998,18.6
Andhra Pradesh,cur_rev_gdp,Current revenues,1998,18.1
Andhra Pradesh,tax_rev_gdp,Tax revenues,1998,13.93
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1998,10.11
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1998,0.15
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1998,0.77
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1998,9.18
Andhra Pradesh,central_share_gdp,Share in central government tax,1998,3.82
Andhra Pradesh,nontax_gdp,Non-tax revenues,1998,4.18
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1998,2.34
Andhra Pradesh,grants_gdp,Grants from the Centre,1998,1.83
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1998,0.5
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1998,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1998,97.3
Andhra Pradesh,tax_rev_total,Tax revenues,1998,74.85
Andhra Pradesh,own_tax_total,State's own tax revenues,1998,54.32
Andhra Pradesh,inc_tax_total,Taxes on Income,1998,0.83
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1998,4.16
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1998,49.33
Andhra Pradesh,central_share_total,Share in central government tax,1998,20.53
Andhra Pradesh,nontax_total,Non-tax revenues,1998,22.45
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1998,12.6
Andhra Pradesh,grants_total,Grants from the Centre,1998,9.85
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1998,2.7
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1998,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1998,1.11
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1998,5.56
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1998,29.99
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1998,16.84
Andhra Pradesh,total_rev_gdp,Total revenues,1999,19.81
Andhra Pradesh,cur_rev_gdp,Current revenues,1999,19.58
Andhra Pradesh,tax_rev_gdp,Tax revenues,1999,14.39
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1999,10.5
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1999,0.14
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1999,0.83
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1999,9.52
Andhra Pradesh,central_share_gdp,Share in central government tax,1999,3.9
Andhra Pradesh,nontax_gdp,Non-tax revenues,1999,5.19
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1999,2.84
Andhra Pradesh,grants_gdp,Grants from the Centre,1999,2.34
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1999,0.23
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1999,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1999,98.85
Andhra Pradesh,tax_rev_total,Tax revenues,1999,72.66
Andhra Pradesh,own_tax_total,State's own tax revenues,1999,52.99
Andhra Pradesh,inc_tax_total,Taxes on Income,1999,0.73
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1999,4.22
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1999,48.04
Andhra Pradesh,central_share_total,Share in central government tax,1999,19.67
Andhra Pradesh,nontax_total,Non-tax revenues,1999,26.19
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1999,14.36
Andhra Pradesh,grants_total,Grants from the Centre,1999,11.83
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1999,1.15
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1999,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1999,1.01
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1999,5.8
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1999,36.05
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1999,19.77
Andhra Pradesh,total_rev_gdp,Total revenues,2000,20.61
Andhra Pradesh,cur_rev_gdp,Current revenues,2000,20.19
Andhra Pradesh,tax_rev_gdp,Tax revenues,2000,15.07
Andhra Pradesh,own_tax_gdp,State's own tax revenues,2000,10.94
Andhra Pradesh,inc_tax_gdp,Taxes on Income,2000,0.14
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,2000,0.83
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,2000,9.97
Andhra Pradesh,central_share_gdp,Share in central government tax,2000,4.13
Andhra Pradesh,nontax_gdp,Non-tax revenues,2000,5.13
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,2000,2.84
Andhra Pradesh,grants_gdp,Grants from the Centre,2000,2.28
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,2000,0.42
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,2000,0.0
Andhra Pradesh,cur_rev_total,Current revenues,2000,97.98
Andhra Pradesh,tax_rev_total,Tax revenues,2000,73.11
Andhra Pradesh,own_tax_total,State's own tax revenues,2000,53.09
Andhra Pradesh,inc_tax_total,Taxes on Income,2000,0.69
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,2000,4.03
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,2000,48.36
Andhra Pradesh,central_share_total,Share in central government tax,2000,20.02
Andhra Pradesh,nontax_total,Non-tax revenues,2000,24.87
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,2000,13.8
Andhra Pradesh,grants_total,Grants from the Centre,2000,11.07
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,2000,2.02
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,2000,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,2000,0.95
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,2000,5.51
Andhra Pradesh,nontax_taxrev,Non-tax revenues,2000,34.02
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,2000,18.88
Andhra Pradesh,total_rev_gdp,Total revenues,2001,21.82
Andhra Pradesh,cur_rev_gdp,Current revenues,2001,20.92
Andhra Pradesh,tax_rev_gdp,Tax revenues,2001,14.95
Andhra Pradesh,own_tax_gdp,State's own tax revenues,2001,12.03
Andhra Pradesh,inc_tax_gdp,Taxes on Income,2001,1.09
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,2001,0.79
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,2001,10.15
Andhra Pradesh,central_share_gdp,Share in central government tax,2001,2.92
Andhra Pradesh,nontax_gdp,Non-tax revenues,2001,5.97
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,2001,2.79
Andhra Pradesh,grants_gdp,Grants from the Centre,2001,3.17
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,2001,0.91
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,2001,0.0
Andhra Pradesh,cur_rev_total,Current revenues,2001,95.85
Andhra Pradesh,tax_rev_total,Tax revenues,2001,68.5
Andhra Pradesh,own_tax_total,State's own tax revenues,2001,55.12
Andhra Pradesh,inc_tax_total,Taxes on Income,2001,4.99
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,2001,3.64
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,2001,46.49
Andhra Pradesh,central_share_total,Share in central government tax,2001,13.38
Andhra Pradesh,nontax_total,Non-tax revenues,2001,27.35
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,2001,12.8
Andhra Pradesh,grants_total,Grants from the Centre,2001,14.55
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,2001,4.15
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,2001,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,2001,7.28
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,2001,5.32
Andhra Pradesh,nontax_taxrev,Non-tax revenues,2001,39.92
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,2001,18.69
Andhra Pradesh,total_rev_gdp,Total revenues,2002,21.07
Andhra Pradesh,cur_rev_gdp,Current revenues,2002,20.66
Andhra Pradesh,tax_rev_gdp,Tax revenues,2002,15.21
Andhra Pradesh,own_tax_gdp,State's own tax revenues,2002,11.33
Andhra Pradesh,inc_tax_gdp,Taxes on Income,2002,0.14
