,State,Year,level,area,dem,real_wage_23,quint_label,sector,Sector_Type,Group,sex_cat,youth_cat,cws_type,emp_type
17921,Uttar Pradesh,2018,State,urban/rural,Youth,385.76,Total,0,Rural,Youth,NA,NA,NA,NA
18296,Uttar Pradesh,2018,State,urban/rural,Youth,385.76,Total,0,Rural,Youth,NA,NA,NA,NA
30736,Uttar Pradesh,2018,State,urban/rural,CWS Type,385.76,Total,0,Rural,CWSType,NA,NA,NA,NA
31248,Uttar Pradesh,2018,State,urban/rural,CWS Type,385.76,Total,0,Rural,CWSType,NA,NA,NA,NA
19052,Rajasthan,2019,State,All,Youth,642.38,Total,99,All,Youth,NA,NA,NA,NA
19237,Rajasthan,2019,State,All,Youth,642.38,Total,99,All,Youth,NA,NA,NA,NA
19632,Rajasthan,2019,State,urban/rural,Youth,642.38,Total,0,Rural,Youth,NA,NA,NA,NA
19989,Rajasthan,2019,State,urban/rural,Youth,642.38,Total,0,Rural,Youth,NA,NA,NA,NA
32330,Rajasthan,2019,State,All,CWS Type,642.38,Total,99,All,CWSType,NA,NA,NA,NA
32587,Rajasthan,2019,State,All,CWS Type,642.38,Total,99,All,CWSType,NA,NA,NA,NA
33158,Rajasthan,2019,State,urban/rural,CWS Type,642.38,Total,0,Rural,CWSType,NA,NA,NA,NA
33644,Rajasthan,2019,State,urban/rural,CWS Type,642.38,Total,0,Rural,CWSType,NA,NA,NA,NA
24126,Tamil Nadu,2022,State,All,Youth,662.9,Total,99,All,Youth,NA,NA,NA,NA
24540,Tamil Nadu,2022,State,All,Youth,662.9,Total,99,All,Youth,NA,NA,NA,NA
24768,Tamil Nadu,2022,State,urban/rural,Youth,662.9,Total,0,Rural,Youth,NA,NA,NA,NA
25579,Tamil Nadu,2022,State,urban/rural,Youth,662.9,Total,0,Rural,Youth,NA,NA,NA,NA
39516,Tamil Nadu,2022,State,All,CWS Type,662.9,Total,99,All,CWSType,NA,NA,NA,NA
40111,Tamil Nadu,2022,State,All,CWS Type,662.9,Total,99,All,CWSType,NA,NA,NA,NA
40419,Tamil Nadu,2022,State,urban/rural,CWS Type,662.9,Total,0,Rural,CWSType,NA,NA,NA,NA
41583,Tamil Nadu,2022,State,urban/rural,CWS Type,662.9,Total,0,Rural,CWSType,NA,NA,NA,NA
39239,Kerala,2021,State,urban/rural,CWS Type,672.01,1,1,Urban,CWSType,NA,NA,1,NA
17328,Haryana,2018,State,All,Youth,679.74,Total,99,All,Youth,NA,NA,NA,NA
17493,Haryana,2018,State,All,Youth,679.74,Total,99,All,Youth,NA,NA,NA,NA
17906,Haryana,2018,State,urban/rural,Youth,679.74,Total,1,Urban,Youth,NA,NA,NA,NA
18234,Haryana,2018,State,urban/rural,Youth,679.74,Total,1,Urban,Youth,NA,NA,NA,NA
29894,Haryana,2018,State,All,CWS Type,679.74,Total,99,All,CWSType,NA,NA,NA,NA
30121,Haryana,2018,State,All,CWS Type,679.74,Total,99,All,CWSType,NA,NA,NA,NA
30716,Haryana,2018,State,urban/rural,CWS Type,679.74,Total,1,Urban,CWSType,NA,NA,NA,NA
31163,Haryana,2018,State,urban/rural,CWS Type,679.74,Total,1,Urban,CWSType,NA,NA,NA,NA
11083,Lakshadweep,2020,State,urban/rural,Sex,879.4,1,1,Urban,Gender,2,NA,NA,NA
36893,Lakshadweep,2020,State,urban/rural,CWS Type,879.4,1,1,Urban,CWSType,NA,NA,1,NA
24693,West Bengal,2022,State,urban/rural,Youth,889.98,Total,1,Urban,Youth,NA,NA,NA,NA
25280,West Bengal,2022,State,urban/rural,Youth,889.98,Total,1,Urban,Youth,NA,NA,NA,NA
40319,West Bengal,2022,State,urban/rural,CWS Type,889.98,Total,1,Urban,CWSType,NA,NA,NA,NA
41143,West Bengal,2022,State,urban/rural,CWS Type,889.98,Total,1,Urban,CWSType,NA,NA,NA,NA
9307,West Bengal,2019,State,urban/rural,Sex,893.24,1,0,Rural,Gender,2,NA,NA,NA
6299,West Bengal,2017,State,urban/rural,Sex,937.01,1,0,Rural,Gender,2,NA,NA,NA
5525,West Bengal,2017,State,All,Sex,944.39,1,99,All,Gender,2,NA,NA,NA
6311,West Bengal,2017,State,urban/rural,Sex,955.85,1,1,Urban,Gender,2,NA,NA,NA
42873,Jammu and Kashmir,2023,State,urban/rural,CWS Type,960.18,1,1,Urban,CWSType,NA,NA,1,NA
22519,Jharkhand,2021,State,All,Youth,969.1,Total,99,All,Youth,NA,NA,NA,NA
22814,Jharkhand,2021,State,All,Youth,969.1,Total,99,All,Youth,NA,NA,NA,NA
23086,Jharkhand,2021,State,urban/rural,Youth,969.1,Total,0,Rural,Youth,NA,NA,NA,NA
23665,Jharkhand,2021,State,urban/rural,Youth,969.1,Total,0,Rural,Youth,NA,NA,NA,NA
37247,Jharkhand,2021,State,All,CWS Type,969.1,Total,99,All,CWSType,NA,NA,NA,NA
37670,Jharkhand,2021,State,All,CWS Type,969.1,Total,99,All,CWSType,NA,NA,NA,NA
38050,Jharkhand,2021,State,urban/rural,CWS Type,969.1,Total,0,Rural,CWSType,NA,NA,NA,NA
38859,Jharkhand,2021,State,urban/rural,CWS Type,969.1,Total,0,Rural,CWSType,NA,NA,NA,NA
8534,West Bengal,2019,State,All,Sex,980.99,1,99,All,Gender,2,NA,NA,NA
7800,West Bengal,2018,State,urban/rural,Sex,984.37,1,0,Rural,Gender,2,NA,NA,NA
9331,Jharkhand,2019,State,urban/rural,Sex,1004.52,1,0,Rural,Gender,2,NA,NA,NA
15139,West Bengal,2023,State,urban/rural,Sex,1014.86,1,0,Rural,Gender,2,NA,NA,NA
10404,Himachal Pradesh,2020,State,urban/rural,Sex,1022.35,1,0,Rural,Gender,2,NA,NA,NA
34464,Lakshadweep,2019,State,urban/rural,CWS Type,1028.64,1,1,Urban,CWSType,NA,NA,1,NA
7030,West Bengal,2018,State,All,Sex,1039.14,1,99,All,Gender,2,NA,NA,NA
20801,West Bengal,2020,State,All,Youth,1043.21,Total,99,All,Youth,NA,NA,NA,NA
21096,West Bengal,2020,State,All,Youth,1043.21,Total,99,All,Youth,NA,NA,NA,NA
21414,West Bengal,2020,State,urban/rural,Youth,1043.21,Total,0,Rural,Youth,NA,NA,NA,NA
21993,West Bengal,2020,State,urban/rural,Youth,1043.21,Total,0,Rural,Youth,NA,NA,NA,NA
34813,West Bengal,2020,State,All,CWS Type,1043.21,Total,99,All,CWSType,NA,NA,NA,NA
35231,West Bengal,2020,State,All,CWS Type,1043.21,Total,99,All,CWSType,NA,NA,NA,NA
35682,West Bengal,2020,State,urban/rural,CWS Type,1043.21,Total,0,Rural,CWSType,NA,NA,NA,NA
36488,West Bengal,2020,State,urban/rural,CWS Type,1043.21,Total,0,Rural,CWSType,NA,NA,NA,NA
12245,West Bengal,2021,State,urban/rural,Sex,1048.3,1,0,Rural,Gender,2,NA,NA,NA
24723,Gujarat,2022,State,urban/rural,Youth,1057.89,Total,1,Urban,Youth,NA,NA,NA,NA
25410,Gujarat,2022,State,urban/rural,Youth,1057.89,Total,1,Urban,Youth,NA,NA,NA,NA
40359,Gujarat,2022,State,urban/rural,CWS Type,1057.89,Total,1,Urban,CWSType,NA,NA,NA,NA
41333,Gujarat,2022,State,urban/rural,CWS Type,1057.89,Total,1,Urban,CWSType,NA,NA,NA,NA
10736,Tripura,2020,State,urban/rural,Sex,1061.82,1,0,Rural,Gender,2,NA,NA,NA
43703,Gujarat,2023,State,urban/rural,CWS Type,1068.28,1,1,Urban,CWSType,NA,NA,1,NA
10000,Tripura,2020,State,All,Sex,1070.26,1,99,All,Gender,2,NA,NA,NA
14378,West Bengal,2023,State,All,Sex,1076.43,1,99,All,Gender,2,NA,NA,NA
10808,West Bengal,2020,State,urban/rural,Sex,1078.36,1,0,Rural,Gender,2,NA,NA,NA
15187,Odisha,2023,State,urban/rural,Sex,1080.99,1,0,Rural,Gender,2,NA,NA,NA
43513,West Bengal,2023,State,urban/rural,CWS Type,1085.48,1,1,Urban,CWSType,NA,NA,1,NA
23445,Arunachal Pradesh,2021,State,urban/rural,Youth,1103.47,1,0,Rural,Youth,NA,1,NA,NA
13662,West Bengal,2022,State,urban/rural,Sex,1115.23,1,0,Rural,Gender,2,NA,NA,NA
11533,West Bengal,2021,State,All,Sex,1117.31,1,99,All,Gender,2,NA,NA,NA
36375,Tripura,2020,State,urban/rural,CWS Type,1124.09,1,1,Urban,CWSType,NA,NA,1,NA
36929,Kerala,2020,State,urban/rural,CWS Type,1128.89,1,1,Urban,CWSType,NA,NA,1,NA
10036,West Bengal,2020,State,All,Sex,1135.82,1,99,All,Gender,2,NA,NA,NA
10820,West Bengal,2020,State,urban/rural,Sex,1135.82,1,1,Urban,Gender,2,NA,NA,NA
15235,Madhya Pradesh,2023,State,urban/rural,Sex,1138.57,1,0,Rural,Gender,2,NA,NA,NA
14402,Odisha,2023,State,All,Sex,1141.05,1,99,All,Gender,2,NA,NA,NA
43957,Kerala,2023,State,urban/rural,CWS Type,1172.29,1,1,Urban,CWSType,NA,NA,1,NA
10748,Tripura,2020,State,urban/rural,Sex,1182.27,1,1,Urban,Gender,2,NA,NA,NA
43180,Bihar,2023,State,urban/rural,CWS Type,1184.8,1,1,Urban,CWSType,NA,NA,1,NA
43475,Assam,2023,State,urban/rural,CWS Type,1191.15,1,1,Urban,CWSType,NA,NA,1,NA
20198,Tripura,2019,State,urban/rural,Youth,1193.71,1,1,Urban,Youth,NA,1,NA,NA
26382,Assam,2023,State,urban/rural,Youth,1195.64,Total,1,Urban,Youth,NA,NA,NA,NA
26937,Assam,2023,State,urban/rural,Youth,1195.64,Total,1,Urban,Youth,NA,NA,NA,NA
42717,Assam,2023,State,urban/rural,CWS Type,1195.64,Total,1,Urban,CWSType,NA,NA,NA,NA
43493,Assam,2023,State,urban/rural,CWS Type,1195.64,Total,1,Urban,CWSType,NA,NA,NA,NA
15115,Assam,2023,State,urban/rural,Sex,1200.47,1,0,Rural,Gender,2,NA,NA,NA
14366,Assam,2023,State,All,Sex,1206.87,1,99,All,Gender,2,NA,NA,NA
14426,Madhya Pradesh,2023,State,All,Sex,1222.53,1,99,All,Gender,2,NA,NA,NA
15151,West Bengal,2023,State,urban/rural,Sex,1226.31,1,1,Urban,Gender,2,NA,NA,NA
14390,Jharkhand,2023,State,All,Sex,1230.51,1,99,All,Gender,2,NA,NA,NA
15163,Jharkhand,2023,State,urban/rural,Sex,1230.51,1,0,Rural,Gender,2,NA,NA,NA
8546,Jharkhand,2019,State,All,Sex,1231.05,1,99,All,Gender,2,NA,NA,NA
33004,Kerala,2019,State,All,CWS Type,1240.77,1,99,All,CWSType,NA,NA,1,NA
50962,Kerala,2019,State,urban/rural,Emp Type,1240.77,1,0,Rural,EmpType,NA,NA,NA,2
9832,Himachal Pradesh,2020,State,All,Sex,1242.41,1,99,All,Gender,2,NA,NA,NA
20849,Telangana,2020,State,All,Youth,1245.75,Total,99,All,Youth,NA,NA,NA,NA
21303,Telangana,2020,State,All,Youth,1245.75,Total,99,All,Youth,NA,NA,NA,NA
21510,Telangana,2020,State,urban/rural,Youth,1245.75,Total,0,Rural,Youth,NA,NA,NA,NA
22398,Telangana,2020,State,urban/rural,Youth,1245.75,Total,0,Rural,Youth,NA,NA,NA,NA
34877,Telangana,2020,State,All,CWS Type,1245.75,Total,99,All,CWSType,NA,NA,NA,NA
35534,Telangana,2020,State,All,CWS Type,1245.75,Total,99,All,CWSType,NA,NA,NA,NA
35810,Telangana,2020,State,urban/rural,CWS Type,1245.75,Total,0,Rural,CWSType,NA,NA,NA,NA
37079,Telangana,2020,State,urban/rural,CWS Type,1245.75,Total,0,Rural,CWSType,NA,NA,NA,NA
41546,Kerala,2022,State,urban/rural,CWS Type,1245.96,1,1,Urban,CWSType,NA,NA,1,NA
9259,Meghalaya,2019,State,urban/rural,Sex,1246.52,1,0,Rural,Gender,2,NA,NA,NA
12899,West Bengal,2022,State,All,Sex,1251.58,1,99,All,Gender,2,NA,NA,NA
14270,Bihar,2023,State,All,Sex,1254.4,1,99,All,Gender,2,NA,NA,NA
34500,Kerala,2019,State,urban/rural,CWS Type,1256.12,1,1,Urban,CWSType,NA,NA,1,NA
14923,Bihar,2023,State,urban/rural,Sex,1257.19,1,0,Rural,Gender,2,NA,NA,NA
9319,West Bengal,2019,State,urban/rural,Sex,1259.54,1,1,Urban,Gender,2,NA,NA,NA
34897,Himachal Pradesh,2020,State,All,CWS Type,1268.33,1,99,All,CWSType,NA,NA,1,NA
35853,Himachal Pradesh,2020,State,urban/rural,CWS Type,1268.33,1,0,Rural,CWSType,NA,NA,1,NA
33417,Himachal Pradesh,2019,State,urban/rural,CWS Type,1270.46,1,0,Rural,CWSType,NA,NA,1,NA
8902,Himachal Pradesh,2019,State,urban/rural,Sex,1270.76,1,0,Rural,Gender,2,NA,NA,NA
32458,Himachal Pradesh,2019,State,All,CWS Type,1270.76,1,99,All,CWSType,NA,NA,1,NA
7824,Jharkhand,2018,State,urban/rural,Sex,1278.65,1,0,Rural,Gender,2,NA,NA,NA
49912,Himachal Pradesh,2019,State,urban/rural,Emp Type,1283.56,1,0,Rural,EmpType,NA,NA,NA,2
10832,Jharkhand,2020,State,urban/rural,Sex,1288.51,1,0,Rural,Gender,2,NA,NA,NA
12269,Jharkhand,2021,State,urban/rural,Sex,1292.77,1,0,Rural,Gender,2,NA,NA,NA
6323,Jharkhand,2017,State,urban/rural,Sex,1298.02,1,0,Rural,Gender,2,NA,NA,NA
33980,Meghalaya,2019,State,urban/rural,CWS Type,1299.34,1,1,Urban,CWSType,NA,NA,1,NA
34481,Kerala,2019,State,urban/rural,CWS Type,1304.49,1,0,Rural,CWSType,NA,NA,1,NA
8330,Himachal Pradesh,2019,State,All,Sex,1305.22,1,99,All,Gender,2,NA,NA,NA
42274,Jharkhand,2023,State,All,CWS Type,1306.25,1,99,All,CWSType,NA,NA,1,NA
7812,West Bengal,2018,State,urban/rural,Sex,1309.45,1,1,Urban,Gender,2,NA,NA,NA
21045,Tripura,2020,State,All,Youth,1313.4,1,99,All,Youth,NA,1,NA,NA
21903,Tripura,2020,State,urban/rural,Youth,1313.4,1,0,Rural,Youth,NA,1,NA,NA
43532,Jharkhand,2023,State,urban/rural,CWS Type,1316.62,1,0,Rural,CWSType,NA,NA,1,NA
48964,Himachal Pradesh,2019,State,All,Emp Type,1317.07,1,99,All,EmpType,NA,NA,NA,2
10568,Uttar Pradesh,2020,State,urban/rural,Sex,1319.67,1,0,Rural,Gender,2,NA,NA,NA
19824,Himachal Pradesh,2019,State,urban/rural,Youth,1324.26,1,0,Rural,Youth,NA,1,NA,NA
8510,Meghalaya,2019,State,All,Sex,1331.03,1,99,All,Gender,2,NA,NA,NA
24102,Gujarat,2022,State,All,Youth,1355.27,Total,99,All,Youth,NA,NA,NA,NA
24447,Gujarat,2022,State,All,Youth,1355.27,Total,99,All,Youth,NA,NA,NA,NA
39484,Gujarat,2022,State,All,CWS Type,1355.27,Total,99,All,CWSType,NA,NA,NA,NA
39974,Gujarat,2022,State,All,CWS Type,1355.27,Total,99,All,CWSType,NA,NA,NA,NA
36489,West Bengal,2020,State,urban/rural,CWS Type,1356.33,1,1,Urban,CWSType,NA,NA,1,NA
11545,Jharkhand,2021,State,All,Sex,1360,1,99,All,Gender,2,NA,NA,NA
6059,Uttar Pradesh,2017,State,urban/rural,Sex,1362.63,1,0,Rural,Gender,2,NA,NA,NA
13710,Odisha,2022,State,urban/rural,Sex,1365.2,1,0,Rural,Gender,2,NA,NA,NA
7560,Uttar Pradesh,2018,State,urban/rural,Sex,1377.73,1,0,Rural,Gender,2,NA,NA,NA
5321,Himachal Pradesh,2017,State,All,Sex,1381.77,1,99,All,Gender,2,NA,NA,NA
5893,Himachal Pradesh,2017,State,urban/rural,Sex,1381.77,1,0,Rural,Gender,2,NA,NA,NA
21994,West Bengal,2020,State,urban/rural,Youth,1382.51,1,1,Urban,Youth,NA,1,NA,NA
42236,Assam,2023,State,All,CWS Type,1388.75,1,99,All,CWSType,NA,NA,1,NA
43456,Assam,2023,State,urban/rural,CWS Type,1400.54,1,0,Rural,CWSType,NA,NA,1,NA
28577,Himachal Pradesh,2017,State,urban/rural,CWS Type,1404.9,1,1,Urban,CWSType,NA,NA,1,NA
5405,Uttar Pradesh,2017,State,All,Sex,1411.78,1,99,All,Gender,2,NA,NA,NA
38841,Jharkhand,2021,State,urban/rural,CWS Type,1416.67,1,0,Rural,CWSType,NA,NA,1,NA
25811,Kerala,2023,State,All,Youth,1428.55,Total,99,All,Youth,NA,NA,NA,NA
26225,Kerala,2023,State,All,Youth,1428.55,Total,99,All,Youth,NA,NA,NA,NA
26457,Kerala,2023,State,urban/rural,Youth,1428.55,Total,0,Rural,Youth,NA,NA,NA,NA
27254,Kerala,2023,State,urban/rural,Youth,1428.55,Total,0,Rural,Youth,NA,NA,NA,NA
41904,Kerala,2023,State,All,CWS Type,1428.55,Total,99,All,CWSType,NA,NA,NA,NA
42501,Kerala,2023,State,All,CWS Type,1428.55,Total,99,All,CWSType,NA,NA,NA,NA
42817,Kerala,2023,State,urban/rural,CWS Type,1428.55,Total,0,Rural,CWSType,NA,NA,NA,NA
43956,Kerala,2023,State,urban/rural,CWS Type,1428.55,Total,0,Rural,CWSType,NA,NA,NA,NA
29123,Meghalaya,2017,State,urban/rural,CWS Type,1429.87,1,1,Urban,CWSType,NA,NA,1,NA
9247,Tripura,2019,State,urban/rural,Sex,1432.46,1,1,Urban,Gender,2,NA,NA,NA
37652,Jharkhand,2021,State,All,CWS Type,1434.51,1,99,All,CWSType,NA,NA,1,NA
14732,Jammu and Kashmir,2023,State,urban/rural,Sex,1435.79,1,1,Urban,Gender,2,NA,NA,NA
10048,Jharkhand,2020,State,All,Sex,1443.32,1,99,All,Gender,2,NA,NA,NA
9916,Uttar Pradesh,2020,State,All,Sex,1448.34,1,99,All,Gender,2,NA,NA,NA
9588,Kerala,2019,State,urban/rural,Sex,1448.87,1,0,Rural,Gender,2,NA,NA,NA
52281,Himachal Pradesh,2020,State,urban/rural,Emp Type,1453.37,1,0,Rural,EmpType,NA,NA,NA,2
59536,West Bengal,2023,State,urban/rural,Emp Type,1467.86,1,0,Rural,EmpType,NA,NA,NA,2
18557,West Bengal,2018,State,urban/rural,Youth,1468.46,1,1,Urban,Youth,NA,1,NA,NA
26388,West Bengal,2023,State,urban/rural,Youth,1469.24,Total,1,Urban,Youth,NA,NA,NA,NA
26963,West Bengal,2023,State,urban/rural,Youth,1469.24,Total,1,Urban,Youth,NA,NA,NA,NA
42725,West Bengal,2023,State,urban/rural,CWS Type,1469.24,Total,1,Urban,CWSType,NA,NA,NA,NA
43531,West Bengal,2023,State,urban/rural,CWS Type,1469.24,Total,1,Urban,CWSType,NA,NA,NA,NA
14162,Jammu and Kashmir,2023,State,All,Sex,1475.52,1,99,All,Gender,2,NA,NA,NA
58359,West Bengal,2023,State,All,Emp Type,1480.16,1,99,All,EmpType,NA,NA,NA,2
43250,Arunachal Pradesh,2023,State,urban/rural,CWS Type,1480.21,1,1,Urban,CWSType,NA,NA,1,NA
12923,Odisha,2022,State,All,Sex,1484.04,1,99,All,Gender,2,NA,NA,NA
34055,West Bengal,2019,State,urban/rural,CWS Type,1493.15,1,1,Urban,CWSType,NA,NA,1,NA
17313,Jammu and Kashmir,2018,State,All,Youth,1494.83,Total,99,All,Youth,NA,NA,NA,NA
17428,Jammu and Kashmir,2018,State,All,Youth,1494.83,Total,99,All,Youth,NA,NA,NA,NA
17873,Jammu and Kashmir,2018,State,urban/rural,Youth,1494.83,Total,0,Rural,Youth,NA,NA,NA,NA
18093,Jammu and Kashmir,2018,State,urban/rural,Youth,1494.83,Total,0,Rural,Youth,NA,NA,NA,NA
29874,Jammu and Kashmir,2018,State,All,CWS Type,1494.83,Total,99,All,CWSType,NA,NA,NA,NA
30029,Jammu and Kashmir,2018,State,All,CWS Type,1494.83,Total,99,All,CWSType,NA,NA,NA,NA
30672,Jammu and Kashmir,2018,State,urban/rural,CWS Type,1494.83,Total,0,Rural,CWSType,NA,NA,NA,NA
30967,Jammu and Kashmir,2018,State,urban/rural,CWS Type,1494.83,Total,0,Rural,CWSType,NA,NA,NA,NA
20837,Kerala,2020,State,All,Youth,1494.9,Total,99,All,Youth,NA,NA,NA,NA
21251,Kerala,2020,State,All,Youth,1494.9,Total,99,All,Youth,NA,NA,NA,NA
21486,Kerala,2020,State,urban/rural,Youth,1494.9,Total,0,Rural,Youth,NA,NA,NA,NA
22295,Kerala,2020,State,urban/rural,Youth,1494.9,Total,0,Rural,Youth,NA,NA,NA,NA
34861,Kerala,2020,State,All,CWS Type,1494.9,Total,99,All,CWSType,NA,NA,NA,NA
35458,Kerala,2020,State,All,CWS Type,1494.9,Total,99,All,CWSType,NA,NA,NA,NA
35778,Kerala,2020,State,urban/rural,CWS Type,1494.9,Total,0,Rural,CWSType,NA,NA,NA,NA
36928,Kerala,2020,State,urban/rural,CWS Type,1494.9,Total,0,Rural,CWSType,NA,NA,NA,NA
51367,Himachal Pradesh,2020,State,All,Emp Type,1500.78,1,99,All,EmpType,NA,NA,NA,2
42293,Odisha,2023,State,All,CWS Type,1501.38,1,99,All,CWSType,NA,NA,1,NA
43570,Odisha,2023,State,urban/rural,CWS Type,1501.38,1,0,Rural,CWSType,NA,NA,1,NA
42658,Sikkim,2023,State,urban/rural,CWS Type,1502.65,Total,1,Urban,CWSType,NA,NA,1,NA
43227,Sikkim,2023,State,urban/rural,CWS Type,1502.65,Total,1,Urban,CWSType,NA,NA,1,NA
21540,Himachal Pradesh,2020,State,urban/rural,Youth,1503.46,1,0,Rural,Youth,NA,1,NA,NA
59607,Odisha,2023,State,urban/rural,Emp Type,1505.38,1,0,Rural,EmpType,NA,NA,NA,2
18107,Himachal Pradesh,2018,State,urban/rural,Youth,1509.98,1,0,Rural,Youth,NA,1,NA,NA
43589,Odisha,2023,State,urban/rural,CWS Type,1517.43,1,1,Urban,CWSType,NA,NA,1,NA
59502,Assam,2023,State,urban/rural,Emp Type,1537.54,1,0,Rural,EmpType,NA,NA,NA,2
14720,Jammu and Kashmir,2023,State,urban/rural,Sex,1542.49,1,0,Rural,Gender,2,NA,NA,NA
40860,Arunachal Pradesh,2022,State,urban/rural,CWS Type,1542.74,1,1,Urban,CWSType,NA,NA,1,NA
13494,Arunachal Pradesh,2022,State,urban/rural,Sex,1546.55,1,0,Rural,Gender,2,NA,NA,NA
59572,Jharkhand,2023,State,urban/rural,Emp Type,1549.09,1,0,Rural,EmpType,NA,NA,NA,2
24630,Uttar Pradesh,2022,State,urban/rural,Youth,1555.11,Total,0,Rural,Youth,NA,NA,NA,NA
25007,Uttar Pradesh,2022,State,urban/rural,Youth,1555.11,Total,0,Rural,Youth,NA,NA,NA,NA
40235,Uttar Pradesh,2022,State,urban/rural,CWS Type,1555.11,Total,0,Rural,CWSType,NA,NA,NA,NA
40747,Uttar Pradesh,2022,State,urban/rural,CWS Type,1555.11,Total,0,Rural,CWSType,NA,NA,NA,NA
33436,Himachal Pradesh,2019,State,urban/rural,CWS Type,1556.41,1,1,Urban,CWSType,NA,NA,1,NA
12815,Arunachal Pradesh,2022,State,All,Sex,1556.77,1,99,All,Gender,2,NA,NA,NA
14768,Punjab,2023,State,urban/rural,Sex,1562.8,1,0,Rural,Gender,2,NA,NA,NA
13674,West Bengal,2022,State,urban/rural,Sex,1564.48,1,1,Urban,Gender,2,NA,NA,NA
14068,India,2023,National,urban/rural,Sex,1565.72,1,0,Rural,Gender,2,NA,NA,NA
26938,West Bengal,2023,State,urban/rural,Youth,1565.72,1,0,Rural,Youth,NA,1,NA,NA
38860,Jharkhand,2021,State,urban/rural,CWS Type,1568.02,1,1,Urban,CWSType,NA,NA,1,NA
14899,Uttar Pradesh,2023,State,urban/rural,Sex,1569.77,1,0,Rural,Gender,2,NA,NA,NA
11861,Himachal Pradesh,2021,State,urban/rural,Sex,1574.23,1,0,Rural,Gender,2,NA,NA,NA
19605,Punjab,2019,State,urban/rural,Youth,1575.81,Total,1,Urban,Youth,NA,NA,NA,NA
19875,Punjab,2019,State,urban/rural,Youth,1575.81,Total,1,Urban,Youth,NA,NA,NA,NA
33122,Punjab,2019,State,urban/rural,CWS Type,1575.81,Total,1,Urban,CWSType,NA,NA,NA,NA
33492,Punjab,2019,State,urban/rural,CWS Type,1575.81,Total,1,Urban,CWSType,NA,NA,NA,NA
14744,Himachal Pradesh,2023,State,urban/rural,Sex,1576.04,1,0,Rural,Gender,2,NA,NA,NA
14258,Uttar Pradesh,2023,State,All,Sex,1579.89,1,99,All,Gender,2,NA,NA,NA
19638,Uttar Pradesh,2019,State,urban/rural,Youth,1583.81,Total,0,Rural,Youth,NA,NA,NA,NA
20015,Uttar Pradesh,2019,State,urban/rural,Youth,1583.81,Total,0,Rural,Youth,NA,NA,NA,NA
33166,Uttar Pradesh,2019,State,urban/rural,CWS Type,1583.81,Total,0,Rural,CWSType,NA,NA,NA,NA
33682,Uttar Pradesh,2019,State,urban/rural,CWS Type,1583.81,Total,0,Rural,CWSType,NA,NA,NA,NA
58342,Assam,2023,State,All,Emp Type,1587.14,1,99,All,EmpType,NA,NA,NA,2
13686,Jharkhand,2022,State,urban/rural,Sex,1588.26,1,0,Rural,Gender,2,NA,NA,NA
12779,Uttar Pradesh,2022,State,All,Sex,1589.15,1,99,All,Gender,2,NA,NA,NA
12911,Jharkhand,2022,State,All,Sex,1589.15,1,99,All,Gender,2,NA,NA,NA
13422,Uttar Pradesh,2022,State,urban/rural,Sex,1589.15,1,0,Rural,Gender,2,NA,NA,NA
35156,Tripura,2020,State,All,CWS Type,1592.73,1,99,All,CWSType,NA,NA,1,NA
36356,Tripura,2020,State,urban/rural,CWS Type,1592.73,1,0,Rural,CWSType,NA,NA,1,NA
52765,Tripura,2020,State,urban/rural,Emp Type,1592.73,1,0,Rural,EmpType,NA,NA,NA,2
41012,Tripura,2022,State,urban/rural,CWS Type,1593.33,1,1,Urban,CWSType,NA,NA,1,NA
35440,Kerala,2020,State,All,CWS Type,1596.26,1,99,All,CWSType,NA,NA,1,NA
12863,Tripura,2022,State,All,Sex,1596.33,1,99,All,Gender,2,NA,NA,NA
13590,Tripura,2022,State,urban/rural,Sex,1596.33,1,0,Rural,Gender,2,NA,NA,NA
15931,West Bengal,2017,State,All,Youth,1599.49,1,99,All,Youth,NA,1,NA,NA
16827,West Bengal,2017,State,urban/rural,Youth,1599.49,1,0,Rural,Youth,NA,1,NA,NA
58377,Jharkhand,2023,State,All,Emp Type,1604.03,1,99,All,EmpType,NA,NA,NA,2
27600,Himachal Pradesh,2017,State,All,CWS Type,1610.88,1,99,All,CWSType,NA,NA,1,NA
28558,Himachal Pradesh,2017,State,urban/rural,CWS Type,1610.88,1,0,Rural,CWSType,NA,NA,1,NA
51613,Tripura,2020,State,All,Emp Type,1615.48,1,99,All,EmpType,NA,NA,NA,2
14174,Himachal Pradesh,2023,State,All,Sex,1616.41,1,99,All,Gender,2,NA,NA,NA
14935,Bihar,2023,State,urban/rural,Sex,1623.9,1,1,Urban,Gender,2,NA,NA,NA
23083,West Bengal,2021,State,urban/rural,Youth,1624.93,Total,1,Urban,Youth,NA,NA,NA,NA
23652,West Bengal,2021,State,urban/rural,Youth,1624.93,Total,1,Urban,Youth,NA,NA,NA,NA
38046,West Bengal,2021,State,urban/rural,CWS Type,1624.93,Total,1,Urban,CWSType,NA,NA,NA,NA
38840,West Bengal,2021,State,urban/rural,CWS Type,1624.93,Total,1,Urban,CWSType,NA,NA,NA,NA
41050,Meghalaya,2022,State,urban/rural,CWS Type,1624.93,1,1,Urban,CWSType,NA,NA,1,NA
16840,West Bengal,2017,State,urban/rural,Youth,1626.6,1,1,Urban,Youth,NA,1,NA,NA
