,State,Year,level,area,dem,real_wage_23,quint_label,sector,Sector_Type,Group,sex_cat,youth_cat,cws_type,emp_type
29414,Daman & Diu,2017,State,urban/rural,CWS Type,15289.12,3,0,Rural,CWSType,NA,NA,2,NA
25922,Rajasthan,2023,State,All,Youth,15289.88,4,99,All,Youth,NA,2,NA,NA
22607,Chandigarh,2021,State,All,Youth,15290.79,2,99,All,Youth,NA,2,NA,NA
22784,Assam,2021,State,All,Youth,15290.79,5,99,All,Youth,NA,1,NA,NA
23609,Assam,2021,State,urban/rural,Youth,15290.79,5,0,Rural,Youth,NA,1,NA,NA
23765,Gujarat,2021,State,urban/rural,Youth,15290.79,5,0,Rural,Youth,NA,1,NA,NA
37213,Arunachal Pradesh,2021,State,All,CWS Type,15290.79,Total,99,All,CWSType,NA,NA,2,NA
38291,Chandigarh,2021,State,urban/rural,CWS Type,15290.79,2,0,Rural,CWSType,NA,NA,2,NA
38816,West Bengal,2021,State,urban/rural,CWS Type,15290.79,5,0,Rural,CWSType,NA,NA,2,NA
53959,Assam,2021,State,All,Emp Type,15290.79,5,99,All,EmpType,NA,NA,NA,3
54236,Chandigarh,2021,State,urban/rural,Emp Type,15290.79,Total,0,Rural,EmpType,NA,NA,NA,3
54602,Chandigarh,2021,State,urban/rural,Emp Type,15290.79,2,0,Rural,EmpType,NA,NA,NA,3
10104,Gujarat,2020,State,All,Sex,15291.39,5,99,All,Gender,2,NA,NA,NA
18487,Tripura,2018,State,urban/rural,Youth,15291.39,5,1,Urban,Youth,NA,1,NA,NA
25325,Odisha,2022,State,urban/rural,Youth,15291.39,3,1,Urban,Youth,NA,2,NA,NA
26314,Delhi,2023,State,urban/rural,Youth,15291.39,Total,1,Urban,Youth,NA,1,NA,NA
26644,Delhi,2023,State,urban/rural,Youth,15291.39,3,1,Urban,Youth,NA,1,NA,NA
44516,Sikkim,2017,State,All,Emp Type,15291.39,3,99,All,EmpType,NA,NA,NA,3
45033,Sikkim,2017,State,urban/rural,Emp Type,15291.39,Total,1,Urban,EmpType,NA,NA,NA,3
58673,Himachal Pradesh,2023,State,urban/rural,Emp Type,15291.39,Total,1,Urban,EmpType,NA,NA,NA,2
16650,Arunachal Pradesh,2017,State,urban/rural,Youth,15291.94,3,0,Rural,Youth,NA,2,NA,NA
20453,Maharashtra,2019,State,urban/rural,Youth,15291.94,5,0,Rural,Youth,NA,1,NA,NA
54118,Karnataka,2021,State,All,Emp Type,15293.77,3,99,All,EmpType,NA,NA,NA,2
59563,West Bengal,2023,State,urban/rural,Emp Type,15295.47,4,1,Urban,EmpType,NA,NA,NA,2
37432,Rajasthan,2021,State,All,CWS Type,15296.38,3,99,All,CWSType,NA,NA,3,NA
55199,Chhattisgarh,2021,State,urban/rural,Emp Type,15296.38,5,0,Rural,EmpType,NA,NA,NA,2
2973,Kerala,2020,State,urban/rural,All Households,15297.85,3,1,Urban,Total,NA,NA,NA,NA
32162,Andaman and Nicobar Island,2018,State,urban/rural,CWS Type,15298.15,3,0,Rural,CWSType,NA,NA,2,NA
50892,Karnataka,2019,State,urban/rural,Emp Type,15298.41,5,1,Urban,EmpType,NA,NA,NA,3
23848,Karnataka,2021,State,urban/rural,Youth,15299.99,4,0,Rural,Youth,NA,2,NA,NA
37507,Arunachal Pradesh,2021,State,All,CWS Type,15299.99,3,99,All,CWSType,NA,NA,2,NA
37984,Arunachal Pradesh,2021,State,urban/rural,CWS Type,15299.99,Total,0,Rural,CWSType,NA,NA,2,NA
33161,Rajasthan,2019,State,urban/rural,CWS Type,15301.93,Total,1,Urban,CWSType,NA,NA,3,NA
33653,Rajasthan,2019,State,urban/rural,CWS Type,15301.93,3,1,Urban,CWSType,NA,NA,3,NA
1789,Haryana,2019,State,urban/rural,All Households,15302.29,Total,0,Rural,Total,NA,NA,NA,NA
8021,Karnataka,2018,State,urban/rural,Sex,15302.29,4,0,Rural,Gender,1,NA,NA,NA
55713,Jharkhand,2022,State,All,Emp Type,15304.28,Total,99,All,EmpType,NA,NA,NA,1
56112,Jharkhand,2022,State,All,Emp Type,15304.28,3,99,All,EmpType,NA,NA,NA,1
14148,Goa,2023,State,All,Sex,15304.47,Total,99,All,Gender,2,NA,NA,NA
59902,Goa,2023,State,urban/rural,Emp Type,15304.47,1,1,Urban,EmpType,NA,NA,NA,2
59862,Karnataka,2023,State,urban/rural,Emp Type,15304.59,5,0,Rural,EmpType,NA,NA,NA,3
8708,Puducherry,2019,State,All,Sex,15306.57,4,99,All,Gender,2,NA,NA,NA
3056,Sikkim,2021,State,All,All Households,15309.46,Total,99,All,Total,NA,NA,NA,NA
12239,Assam,2021,State,urban/rural,Sex,15309.46,4,1,Urban,Gender,2,NA,NA,NA
54343,Meghalaya,2021,State,urban/rural,Emp Type,15309.46,Total,1,Urban,EmpType,NA,NA,NA,2
55282,Gujarat,2021,State,urban/rural,Emp Type,15309.46,3,1,Urban,EmpType,NA,NA,NA,1
55361,Andhra Pradesh,2021,State,urban/rural,Emp Type,15309.46,3,1,Urban,EmpType,NA,NA,NA,2
48498,Karnataka,2018,State,urban/rural,Emp Type,15312.48,5,1,Urban,EmpType,NA,NA,NA,3
