poor_300,poor_420,poor_830,year,level,area,State,sector,welfare_agg21_sp,india_welfare,india_welfare_filled,welfare_pct_india,round,m_poor_1_33,m_poor_1_20,m_poor_1_50
0.058703646,0.072250642,0.33508015,2023,State,urban/rural,Puducherry,1,5366.340402,,3516.8965,152.58739,5,0.013531095,0.073897228,9.55E-05
0.041573372,0.052052613,0.34202829,2023,State,All,Puducherry,99,5249.223111,,3516.8965,149.25725,5,0.014223838,0.082039811,0.000423116
0.001110214,0.019062469,0.59122193,2023,State,urban/rural,Punjab,0,4410.301395,,3516.8965,125.40322,5,0.049012713,0.20349662,0.00723106
0.000523502,0.013965764,0.39790925,2023,State,urban/rural,Punjab,1,5031.909052,,3516.8965,143.07811,5,0.044360436,0.11416804,0.006945962
0.000864374,0.016926883,0.51022136,2023,State,All,Punjab,99,4628.77841,,3516.8965,131.61543,5,0.047321457,0.17102277,0.007127417
0.028435567,0.15347461,0.77025926,2023,State,urban/rural,Rajasthan,0,3484.589532,,3516.8965,99.081375,5,0.20367511,0.46079925,0.045247972
0.008540014,0.066126637,0.52384758,2023,State,urban/rural,Rajasthan,1,4192.409789,,3516.8965,119.20766,5,0.042212449,0.17437097,0.00789541
0.022869842,0.12903927,0.70132631,2023,State,All,Rajasthan,99,3621.248073,,3516.8965,102.96715,5,0.16569094,0.39341688,0.036460765
0.003307754,0.034166869,0.33033106,2023,State,urban/rural,Sikkim,0,5449.679944,,3516.8965,154.95708,5,0.054662313,0.1795864,0.00736835
0,0.001609277,0.15897684,2023,State,urban/rural,Sikkim,1,6405.278119,,3516.8965,182.12871,5,0.004252714,0.049531545,0.000171876
0.002240616,0.023663236,0.27504927,2023,State,All,Sikkim,99,5624.704513,,3516.8965,159.93375,5,0.036746111,0.13336328,0.004810633
0.003903094,0.034535535,0.6513899,2023,State,urban/rural,Tamil Nadu,0,4146.806262,,3516.8965,117.91096,5,0.053213075,0.2319472,0.003506249
0.006621454,0.022535847,0.43935958,2023,State,urban/rural,Tamil Nadu,1,4833.154892,,3516.8965,137.4267,5,0.021426186,0.088378064,0.000723416
0.005231674,0.028670769,0.5477615,2023,State,All,Tamil Nadu,99,4434.238609,,3516.8965,126.08385,5,0.038375616,0.16493212,0.002207281
0.002210604,0.03956854,0.77345598,2023,State,urban/rural,Telangana,0,3832.208632,,3516.8965,108.96564,5,0.088028349,0.29814309,0.010582929
0,0.016689071,0.42510265,2023,State,urban/rural,Telangana,1,4878.37718,,3516.8965,138.71255,5,0.028692333,0.11993708,0.003414035
0.001133406,0.028419675,0.60370797,2023,State,All,Telangana,99,4207.722401,,3516.8965,119.64306,5,0.067780487,0.23733194,0.008136611
0.000469154,0.013155439,0.56739902,2023,State,urban/rural,Tripura,0,4441.162875,,3516.8965,126.28074,5,0.19702396,0.42060491,0.035889946
0,0.002418209,0.35972238,2023,State,urban/rural,Tripura,1,5134.901372,,3516.8965,146.00661,5,0.056249794,0.22139145,0.009139598
0.000375081,0.01100246,0.52575666,2023,State,All,Tripura,99,4539.827603,,3516.8965,129.08618,5,0.15699963,0.36396539,0.028284401
0.013946,0.16700268,0.89284188,2023,State,urban/rural,Uttar Pradesh,0,3101.588278,,3516.8965,88.191063,5,0.26366782,0.50526744,0.077120312
0.01079696,0.095829777,0.7006703,2023,State,urban/rural,Uttar Pradesh,1,3591.914383,,3516.8965,102.13307,5,0.11581855,0.24175237,0.028515523
0.013222014,0.15063952,0.84866029,2023,State,All,Uttar Pradesh,99,3186.881348,,3516.8965,90.616295,5,0.22938703,0.44416803,0.065850653
0.007580399,0.07780689,0.74863285,2023,State,urban/rural,Uttarakhand,0,3664.129606,,3516.8965,104.18645,5,0.11215628,0.30502388,0.015606856
0.005999472,0.043716554,0.50935727,2023,State,urban/rural,Uttarakhand,1,4296.90538,,3516.8965,122.1789,5,0.065843552,0.1559851,0.01389845
0.007124494,0.067975976,0.67963099,2023,State,All,Uttarakhand,99,3803.523768,,3516.8965,108.15001,5,0.098109931,0.25982139,0.015088708
0.016324332,0.12694018,0.86372399,2023,State,urban/rural,West Bengal,0,3309.641801,,3516.8965,94.106888,5,0.19842692,0.43164256,0.036459342
0.015696937,0.095843174,0.61046064,2023,State,urban/rural,West Bengal,1,3888.708881,,3516.8965,110.57217,5,0.056735307,0.19362412,0.011043457
0.016123276,0.1169748,0.78256303,2023,State,All,West Bengal,99,3421.350695,,3516.8965,97.283234,5,0.15270698,0.35484064,0.028258344
