statenumber,state,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,type,sector,level,area,year,dem,yr
.,India,0.564487815,0.536920786,0.165196046,0.048835434,0.28470239,0.355689824,0.049583524,AllStates+AllSectors+All,99,allindia,All,2023,All,2023
.,India,0.507970273,0.474049181,0.064868048,0.066777647,0.275949597,0.261182398,0.086839624,AllStates+Urban+All,1,allindia,urban/rural,2023,All,2023
1,Jammu and Kashmir,0.588168681,0.557017922,0.165799111,0.052962273,0.213134557,0.431710243,0.066337526,State+Urban+All,0,state,urban/rural,2022,All,2022
1,Jammu and Kashmir,0.597620249,0.553499699,0.106905587,0.073827058,0.217563987,0.455375254,0.107039638,State+AllSectors+All,99,state,All,2023,All,2023
1,Jammu and Kashmir,0.529683232,0.468221784,0.053669285,0.116034329,0.221436635,0.302673995,0.288680702,State+Urban+All,1,state,urban/rural,2023,All,2023
1,Jammu and Kashmir,0.614374578,0.574530602,0.11760518,0.064852953,0.216749221,0.492899418,0.079630278,State+Urban+All,0,state,urban/rural,2023,All,2023
1,Jammu and Kashmir,0.488559961,0.434549212,0.047727264,0.110550888,0.247273058,0.247221336,0.262698442,State+Urban+All,1,state,urban/rural,2022,All,2022
1,Jammu and Kashmir,0.570240319,0.534975052,0.148536935,0.061842833,0.218891755,0.399225205,0.08774849,State+AllSectors+All,99,state,All,2022,All,2022
20,Jharkhand,0.416669488,0.382384479,0.075452417,0.082283437,0.311135024,0.137793958,0.082083181,State+Urban+All,1,state,urban/rural,2022,All,2022
20,Jharkhand,0.430602163,0.398199797,0.081873693,0.075249009,0.281655759,0.178260371,0.066910453,State+Urban+All,1,state,urban/rural,2023,All,2023
20,Jharkhand,0.513189435,0.496519864,0.213585317,0.032482281,0.302266568,0.28764239,0.009789384,State+AllSectors+All,99,state,All,2022,All,2022
20,Jharkhand,0.535963118,0.523449898,0.237394214,0.023347184,0.300205082,0.321698159,0.002751839,State+Urban+All,0,state,urban/rural,2022,All,2022
