poor_300,poor_420,poor_830,year,level,area,State,sector,welfare_agg21_sp,india_welfare,india_welfare_filled,welfare_pct_india,round,m_poor_1_33,m_poor_1_20,m_poor_1_50
0.025133053,0.14163277,0.69720918,2023,State,urban/rural,Odisha,1,3834.836427,,3516.8965,109.04035,5,0.069765635,0.18479642,0.015707683
0.054121405,0.28844032,0.88827938,2023,State,All,Odisha,99,2991.653652,,3516.8965,85.065163,5,0.20799972,0.40230703,0.051679328
0.001493831,0.008150813,0.44012406,2023,State,urban/rural,Puducherry,0,5088.667952,,3516.8965,144.692,5,0.015759077,0.10008521,0.001149195
0.01760548,0.021668283,0.38225991,2023,State,urban/rural,Puducherry,1,5366.340402,,3516.8965,152.58739,5,0.013531095,0.073897228,9.55E-05
0.012295536,0.017213307,0.40133029,2023,State,All,Puducherry,99,5249.223111,,3516.8965,149.25725,5,0.014223838,0.082039811,0.000423116
0.001566654,0.023796283,0.65795183,2023,State,urban/rural,Punjab,0,4410.301395,,3516.8965,125.40322,5,0.049012713,0.20349662,0.00723106
0.000766456,0.016422575,0.46227446,2023,State,urban/rural,Punjab,1,5031.909052,,3516.8965,143.07811,5,0.044360436,0.11416804,0.006945962
0.00125845,0.020956228,0.58258474,2023,State,All,Punjab,99,4628.77841,,3516.8965,131.61543,5,0.047321457,0.17102277,0.007127417
0.034331646,0.18191858,0.82041711,2023,State,urban/rural,Rajasthan,0,3484.589532,,3516.8965,99.081375,5,0.20367511,0.46079925,0.045247972
0.012147513,0.095439039,0.6402483,2023,State,urban/rural,Rajasthan,1,4192.409789,,3516.8965,119.20766,5,0.042212449,0.17437097,0.00789541
0.028784301,0.16029358,0.77536422,2023,State,All,Rajasthan,99,3621.248073,,3516.8965,102.96715,5,0.16569094,0.39341688,0.036460765
0.005910369,0.047046892,0.39272347,2023,State,urban/rural,Sikkim,0,5449.679944,,3516.8965,154.95708,5,0.054662313,0.1795864,0.00736835
0,0.002776505,0.25790581,2023,State,urban/rural,Sikkim,1,6405.278119,,3516.8965,182.12871,5,0.004252714,0.049531545,0.000171876
0.004420901,0.035890341,0.35874817,2023,State,All,Sikkim,99,5624.704513,,3516.8965,159.93375,5,0.036746111,0.13336328,0.004810633
0.003638857,0.041002676,0.71394598,2023,State,urban/rural,Tamil Nadu,0,4146.806262,,3516.8965,117.91096,5,0.053213075,0.2319472,0.003506249
0.002706544,0.021139771,0.51396418,2023,State,urban/rural,Tamil Nadu,1,4833.154892,,3516.8965,137.4267,5,0.021426186,0.088378064,0.000723416
0.003205997,0.031780615,0.62109727,2023,State,All,Tamil Nadu,99,4434.238609,,3516.8965,126.08385,5,0.038375616,0.16493212,0.002207281
0.002736485,0.050651059,0.82162291,2023,State,urban/rural,Telangana,0,3832.208632,,3516.8965,108.96564,5,0.088028349,0.29814309,0.010582929
0,0.022407698,0.50938338,2023,State,urban/rural,Telangana,1,4878.37718,,3516.8965,138.71255,5,0.028692333,0.11993708,0.003414035
0.0015416,0.038318604,0.6852836,2023,State,All,Telangana,99,4207.722401,,3516.8965,119.64306,5,0.067780487,0.23733194,0.008136611
0.000579748,0.019580891,0.64363515,2023,State,urban/rural,Tripura,0,4441.162875,,3516.8965,126.28074,5,0.19702396,0.42060491,0.035889946
0,0.004222081,0.45122468,2023,State,urban/rural,Tripura,1,5134.901372,,3516.8965,146.00661,5,0.056249794,0.22139145,0.009139598
0.000474424,0.01679063,0.60867965,2023,State,All,Tripura,99,4539.827603,,3516.8965,129.08618,5,0.15699963,0.36396539,0.028284401
0.020659722,0.2171305,0.93097794,2023,State,urban/rural,Uttar Pradesh,0,3101.588278,,3516.8965,88.191063,5,0.26366782,0.50526744,0.077120312
0.017155817,0.13915648,0.78958714,2023,State,urban/rural,Uttar Pradesh,1,3591.914383,,3516.8965,102.13307,5,0.11581855,0.24175237,0.028515523
0.019924281,0.20076437,0.90130115,2023,State,All,Uttar Pradesh,99,3186.881348,,3516.8965,90.616295,5,0.22938703,0.44416803,0.065850653
0.012614531,0.10861152,0.8206988,2023,State,urban/rural,Uttarakhand,0,3664.129606,,3516.8965,104.18645,5,0.11215628,0.30502388,0.015606856
0.011111183,0.069815971,0.61070728,2023,State,urban/rural,Uttarakhand,1,4296.90538,,3516.8965,122.1789,5,0.065843552,0.1559851,0.01389845
0.012219762,0.098424092,0.76555651,2023,State,All,Uttarakhand,99,3803.523768,,3516.8965,108.15001,5,0.098109931,0.25982139,0.015088708
0.018572979,0.15265268,0.89367408,2023,State,urban/rural,West Bengal,0,3309.641801,,3516.8965,94.106888,5,0.19842692,0.43164256,0.036459342
0.022362115,0.12741764,0.68302166,2023,State,urban/rural,West Bengal,1,3888.708881,,3516.8965,110.57217,5,0.056735307,0.19362412,0.011043457
0.019698881,0.14515434,0.83108085,2023,State,All,West Bengal,99,3421.350695,,3516.8965,97.283234,5,0.15270698,0.35484064,0.028258344
