,sector,sector_type,year,state,sex1_female,sex1_male,youth,working_age,working_age_female,working_age_male,age_cohort_1,age_cohort_2,age_cohort_3,age_cohort_4,age_cohort_female_1,age_cohort_female_2,age_cohort_female_3,age_cohort_female_4,age_cohort_male_1,age_cohort_male_2,age_cohort_male_3,age_cohort_male_4
470,0,Rural,2019,Jammu and Kashmir,0.476676971,0.523323029,0.281077802,0.735574722,0.752897739,0.719795763,0.382119983,0.279398531,0.263715327,0.074766159,0.362546653,0.304392129,0.260321289,0.072739936,0.400768548,0.25558579,0.266949028,0.076696649
471,1,Urban,2019,Jammu and Kashmir,0.483415633,0.516584367,0.25888586,0.782079041,0.79771775,0.767444372,0.33102265,0.305694044,0.265116423,0.09816689,0.319335282,0.325771689,0.259090334,0.095802687,0.342391014,0.286164403,0.270978004,0.100466572
543,99,All,2018,Jammu and Kashmir,0.481473178,0.518526822,0.277997583,0.757670045,0.766620517,0.749359131,0.366911173,0.299022615,0.261246949,0.072819255,0.358943611,0.31081742,0.262378633,0.06786035,0.374479771,0.287818402,0.26017195,0.077529863
578,0,Rural,2018,Jammu and Kashmir,0.481553555,0.518446445,0.28264311,0.750196815,0.760551572,0.740579009,0.376758575,0.297108859,0.25821647,0.06791608,0.366940618,0.313123435,0.256713808,0.063222148,0.386123836,0.281832755,0.259649843,0.072393566
579,1,Urban,2018,Jammu and Kashmir,0.481176555,0.518823445,0.260851949,0.785252035,0.789037287,0.78174144,0.332188815,0.305770606,0.271932572,0.090108037,0.330471456,0.302607268,0.282547325,0.084373958,0.333796412,0.308731765,0.26199615,0.095475666
651,99,All,2017,Jammu and Kashmir,0.480326027,0.519673973,0.27853927,0.74593848,0.746104479,0.745785058,0.373407811,0.302600443,0.248767763,0.075223982,0.357756913,0.318032533,0.253754079,0.070456505,0.387879878,0.288330704,0.244157031,0.079632372
686,0,Rural,2017,Jammu and Kashmir,0.478099078,0.521900922,0.280146807,0.737002254,0.735191405,0.738661051,0.380116642,0.305514485,0.24267213,0.071696743,0.363128901,0.322038323,0.24856931,0.066263452,0.395605534,0.290448546,0.23729527,0.076650649
687,1,Urban,2017,Jammu and Kashmir,0.48857069,0.51142931,0.272587746,0.779022634,0.785641193,0.772699893,0.349909931,0.292393863,0.270117909,0.087578267,0.339544535,0.304451853,0.271331698,0.084671937,0.359977901,0.280681938,0.268938959,0.090401195
23,99,All,2023,Jharkhand,0.495797604,0.504202396,0.266704261,0.693235755,0.712771654,0.674025536,0.384723753,0.308247656,0.230046466,0.076982133,0.384446979,0.317060411,0.231608063,0.066884547,0.385011554,0.29908362,0.228422627,0.087482177
76,0,Rural,2023,Jharkhand,0.497742027,0.502257973,0.262149155,0.677100122,0.699540973,0.654861093,0.387164533,0.310989022,0.225545108,0.076301329,0.389837712,0.31776315,0.227302894,0.065096244,0.384334654,0.303817779,0.223684281,0.088163286
77,1,Urban,2023,Jharkhand,0.487189025,0.512810975,0.286871016,0.764672816,0.772616446,0.757126033,0.37515527,0.2975007,0.247692958,0.079651073,0.362369925,0.31418246,0.249239326,0.074208312,0.387550324,0.281328201,0.246193796,0.084927678
130,99,All,2022,Jharkhand,0.49983874,0.50016126,0.274094284,0.685725987,0.699017763,0.672442794,0.399714023,0.291324466,0.23696886,0.071992666,0.410851419,0.29153657,0.231953248,0.065658741,0.388143897,0.291104108,0.242179334,0.078572661
184,0,Rural,2022,Jharkhand,0.504087627,0.495912373,0.268952459,0.670958579,0.682995796,0.658722878,0.40084812,0.289650738,0.236798137,0.072703011,0.415952772,0.285367459,0.233121797,0.065557994,0.384928703,0.294165075,0.240672782,0.08023344
185,1,Urban,2022,Jharkhand,0.479541302,0.520458698,0.298657358,0.75627178,0.779474497,0.734893203,0.394907445,0.298418075,0.237692416,0.06898205,0.388405114,0.318681329,0.226811498,0.066102035,0.401262015,0.278615266,0.248326078,0.071796626
238,99,All,2021,Jharkhand,0.500302494,0.499697506,0.288141519,0.706106663,0.719306529,0.692890882,0.408070832,0.292880833,0.232401565,0.06664677,0.412720531,0.299927413,0.226012409,0.061339639,0.403237998,0.285556763,0.239042342,0.072162904
292,0,Rural,2021,Jharkhand,0.502967238,0.497032762,0.286257088,0.692193389,0.702776551,0.681483805,0.413550735,0.290639699,0.230303481,0.065506101,0.417181879,0.296649247,0.22576426,0.060404602,0.409761399,0.284368366,0.235040426,0.070829809
293,1,Urban,2021,Jharkhand,0.489513993,0.510486007,0.295771003,0.762436509,0.788069487,0.737856627,0.387928694,0.301118493,0.240113333,0.070839457,0.396170437,0.312088311,0.226932943,0.064808309,0.379487753,0.289883494,0.253612339,0.077016413
346,99,All,2020,Jharkhand,0.489459693,0.510540307,0.279527009,0.699912369,0.708926678,0.691270232,0.399374276,0.284134507,0.249784231,0.066706985,0.386720181,0.297396809,0.250869423,0.065013587,0.411815763,0.271095037,0.248717263,0.068371929
400,0,Rural,2020,Jharkhand,0.491776943,0.508223057,0.273951113,0.68342042,0.692719221,0.674422503,0.400852978,0.282640129,0.250333667,0.066173211,0.387577206,0.298960418,0.248754591,0.064707778,0.414047658,0.2664195,0.251903117,0.067629695
401,1,Urban,2020,Jharkhand,0.480446517,0.519553483,0.301214904,0.764059365,0.773453951,0.755371928,0.39422974,0.289333582,0.247872651,0.068564028,0.383664191,0.291821361,0.258410424,0.066104032,0.404233873,0.286978006,0.237894803,0.070893303
454,99,All,2019,Jharkhand,0.492619872,0.507380128,0.268490821,0.697615206,0.720249176,0.675639749,0.384869516,0.299643725,0.238537297,0.07694947,0.389245689,0.30330804,0.232640296,0.07480599,0.380340099,0.295851141,0.244640768,0.079167992
508,0,Rural,2019,Jharkhand,0.496931016,0.503068984,0.255210042,0.680520594,0.706460655,0.654897094,0.375021756,0.305208862,0.241216123,0.078553267,0.386514515,0.304824412,0.232427105,0.07623399,0.362775385,0.305618525,0.250581473,0.081024624
509,1,Urban,2019,Jharkhand,0.476111233,0.523888767,0.319346994,0.76307565,0.775358498,0.751913011,0.418499768,0.280638725,0.229389042,0.071472459,0.399191499,0.297786057,0.233416662,0.069605775,0.436594307,0.264569283,0.225614607,0.073221803
562,99,All,2018,Jharkhand,0.517611921,0.482388079,0.282984704,0.681131303,0.68590188,0.676012456,0.415462792,0.274667382,0.237478599,0.072391249,0.434335232,0.280630499,0.224019527,0.061014764,0.394916028,0.268175215,0.25213173,0.084777027
616,0,Rural,2018,Jharkhand,0.521269083,0.478730917,0.273434609,0.657161295,0.660990536,0.652991831,0.416084468,0.279566795,0.235752165,0.068596579,0.434233069,0.290004045,0.212717399,0.063045487,0.396081209,0.26806289,0.261140943,0.074714951
617,1,Urban,2018,Jharkhand,0.503701985,0.496298015,0.319308281,0.77230078,0.783956051,0.760471642,0.413450688,0.258810759,0.243066102,0.084672473,0.434674263,0.24952209,0.261528313,0.05427533,0.391245306,0.268529087,0.223749816,0.116475791
670,99,All,2017,Jharkhand,0.486378282,0.513621718,0.275439769,0.686114907,0.695487618,0.677239299,0.401448458,0.280195236,0.243568152,0.074788123,0.397595555,0.300109982,0.235549077,0.066745371,0.405195326,0.260828674,0.251366496,0.082609504
724,0,Rural,2017,Jharkhand,0.484285802,0.515714198,0.271266073,0.673567057,0.680617154,0.66694659,0.402730614,0.281433076,0.24109979,0.074736536,0.399394304,0.301146656,0.233293861,0.066165186,0.405927807,0.262541413,0.248580262,0.082950518
725,1,Urban,2017,Jharkhand,0.495297909,0.504702091,0.29323104,0.739602566,0.757466674,0.72207135,0.396471083,0.27538994,0.253150612,0.074988395,0.390859187,0.296227664,0.243994996,0.068918169,0.402248383,0.253938049,0.262576044,0.081237525
31,99,All,2023,Karnataka,0.495388865,0.504611135,0.248592138,0.79874593,0.803817034,0.793767512,0.311228037,0.298024207,0.273100585,0.117647171,0.296623915,0.303372651,0.278818756,0.121184669,0.325746775,0.292706996,0.267415851,0.114130355
92,0,Rural,2023,Karnataka,0.498585105,0.501414895,0.234444767,0.790369213,0.795149207,0.785616159,0.296626925,0.290670156,0.28069514,0.132007793,0.281136811,0.304611057,0.283251345,0.131000787,0.31221652,0.27663973,0.278122514,0.13302128
