,real_wage_23,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type,quintile_overall,nat_quint
2252,15429.53,2019,State,urban/rural,All,2,state_sec_quint,2019,1,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
2253,22518.35,2019,State,urban/rural,All,3,state_sec_quint,2019,1,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
2254,45604.95,2019,State,urban/rural,All,4,state_sec_quint,2019,1,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
2255,78179.91,2019,State,urban/rural,All,5,state_sec_quint,2019,1,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
2256,NA,2019,State,urban/rural,All,Total,state_sec_quint,2019,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
2323,17313.71,2020,State,All,All,Total,state_quint,2020,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
2523,8403.98,2020,State,All,All,1,state_quint,2020,99,NA,Andaman and Nicobar Island,1,NA,Total,NA,NA,NA,NA,1,NA
2524,13878.73,2020,State,All,All,2,state_quint,2020,99,NA,Andaman and Nicobar Island,2,NA,Total,NA,NA,NA,NA,2,NA
2525,17521.38,2020,State,All,All,3,state_quint,2020,99,NA,Andaman and Nicobar Island,3,NA,Total,NA,NA,NA,NA,3,NA
2526,34412.73,2020,State,All,All,4,state_quint,2020,99,NA,Andaman and Nicobar Island,4,NA,Total,NA,NA,NA,NA,4,NA
2527,66207.31,2020,State,All,All,5,state_quint,2020,99,NA,Andaman and Nicobar Island,5,NA,Total,NA,NA,NA,NA,5,NA
2528,NA,2020,State,All,All,Total,state_quint,2020,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
2601,14406.82,2020,State,urban/rural,All,Total,state_sec_quint,2020,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
2602,22377.4,2020,State,urban/rural,All,Total,state_sec_quint,2020,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3001,7216.59,2020,State,urban/rural,All,1,state_sec_quint,2020,0,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
3002,11699.63,2020,State,urban/rural,All,2,state_sec_quint,2020,0,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
3003,14406.82,2020,State,urban/rural,All,3,state_sec_quint,2020,0,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
3004,21290.08,2020,State,urban/rural,All,4,state_sec_quint,2020,0,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
3005,57732.7,2020,State,urban/rural,All,5,state_sec_quint,2020,0,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
3006,NA,2020,State,urban/rural,All,Total,state_sec_quint,2020,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3007,11535.27,2020,State,urban/rural,All,1,state_sec_quint,2020,1,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
3008,17302.91,2020,State,urban/rural,All,2,state_sec_quint,2020,1,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
3009,23555.16,2020,State,urban/rural,All,3,state_sec_quint,2020,1,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
3010,48998,2020,State,urban/rural,All,4,state_sec_quint,2020,1,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
3011,72330.38,2020,State,urban/rural,All,5,state_sec_quint,2020,1,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
