,poor_215,poor_365,poor_685,perc_poor_215,perc_poor_365,perc_poor_685,welfareagg_cat1,welfareagg_cat2,welfareagg_cat3,welfareagg_cat4,welfareagg_cat5,year,SourceSheet,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,educ_cat1,educ_cat2,educ_cat3,educ_cat4,educ_cat5,educ_cat6,gender_cat1,gender_cat2,hhsize_cat,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_land
40,0.027128841,0.331756475,0.87707276,2.7128841,33.1756475,87.4445671,0.056006204,0.204359382,0.269698918,0.291157186,0.178778306,2011,sectorstate,0,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.037326324,0.3895319,0.874445671,3.7326324,38.95319,81.0783715,0.1074619,0.209730506,0.249131992,0.254431248,0.179244354,2011,sectorstate,0,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0,0.372783376,0.810783715,0,37.2783376,92.3580154,0.07090234,0.296793371,0.073056817,0.363403261,0.195844233,2011,sectorstate,0,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.0314175,0.483701255,0.923580154,3.14175,48.3701255,88.5914269,0.070025429,0.318786025,0.283972472,0.222323805,0.104892261,2011,sectorstate,0,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.060560291,0.416906593,0.885914269,6.0560291,41.6906593,84.6167412,0.133438706,0.193291336,0.256490588,0.24652943,0.170249939,2011,sectorstate,0,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.045242795,0.317655865,0.846167412,4.5242795,31.7655865,96.1718736,0.131256714,0.028213136,0.464553416,0.107959598,0.268017143,2011,sectorstate,0,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.114020957,0.626456377,0.961718736,11.4020957,62.6456377,98.0298858,0.238452315,0.292693675,0.261804283,0.149747193,0.057302542,2011,sectorstate,0,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.288654913,0.807009022,0.980298858,28.8654913,80.7009022,99.2459504,0.469878048,0.278372586,0.139274374,0.082229912,0.030245094,2011,sectorstate,0,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.238225002,0.832450552,0.992459504,23.8225002,83.2450552,97.9816467,0.435561359,0.3300789,0.146896303,0.074677773,0.012785686,2011,sectorstate,0,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.022823152,0.694049069,0.979816467,2.2823152,69.4049069,87.7156441,0.124860823,0.45589897,0.247267842,0.131872147,0.040100224,2011,sectorstate,0,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
