Poor,Urban,State,Education,Attendence,Child Mortality,Nutrition,Electricity,Toilet,Water,House,Fuel,Asset,year
0,0,Daman & Diu,0.13,0.02,0.01,0.17,0,0.27,0.13,0.07,0.22,0.13,5
0,0,Delhi,0.05,0,0,0.21,0,0.09,0.32,0.05,0.22,0.05,5
0,0,Goa,0.04,0.01,0,0.21,0,0.14,0.06,0.22,0.22,0.03,5
0,0,Gujarat,0.07,0.01,0.01,0.27,0.02,0.36,0.11,0.22,0.6,0.1,5
0,0,Himachal Pradesh,0.04,0,0.01,0.18,0,0.25,0.06,0.26,0.67,0.06,5
0,0,Haryana,0.04,0.01,0.01,0.24,0.01,0.16,0.09,0.27,0.68,0.03,5
0,0,Jammu and Kashmir,0.03,0.01,0.01,0.16,0.02,0.46,0.14,0.28,0.5,0.14,5
0,0,Jharkhand,0.02,0.01,0,0.14,0.14,0.77,0.28,0.59,0.87,0.15,5
0,0,Karnataka,0.06,0.01,0,0.2,0.01,0.46,0.14,0.41,0.57,0.1,5
0,0,Kerala,0.04,0,0,0.12,0.01,0.02,0.07,0.12,0.48,0.04,5
0,0,Lakshadweep,0.05,0.01,0.01,0.24,0,0.01,0.06,0.04,0.69,0.04,5
0,0,Madhya Pradesh,0.03,0.01,0,0.16,0.06,0.64,0.27,0.65,0.8,0.15,5
0,0,Maharashtra,0.04,0.01,0,0.23,0.04,0.44,0.16,0.34,0.54,0.13,5
0,0,Manipur,0.01,0,0.01,0.07,0.06,0.43,0.6,0.86,0.65,0.13,5
0,0,Meghalaya,0.06,0.01,0.01,0.17,0.03,0.3,0.33,0.45,0.84,0.19,5
0,0,Mizoram,0.07,0.01,0.01,0.15,0.03,0.17,0.09,0.29,0.58,0.17,5
0,0,Nagaland,0.05,0.01,0.01,0.09,0.02,0.15,0.18,0.75,0.8,0.31,5
0,0,Odisha,0.04,0,0.01,0.13,0.08,0.65,0.17,0.45,0.82,0.11,5
0,0,Pondicherry,0.04,0.01,0.01,0.16,0.01,0.5,0.02,0.29,0.23,0.03,5
0,0,Punjab,0.06,0.01,0.01,0.17,0,0.17,0.02,0.23,0.47,0.01,5
0,0,Rajasthan,0.07,0.01,0.01,0.22,0.03,0.48,0.22,0.28,0.76,0.13,5
0,0,Sikkim,0.08,0.01,0.01,0.1,0,0.05,0.03,0.31,0.55,0.09,5
0,0,Tamil Nadu,0.08,0.01,0.01,0.2,0.01,0.61,0.08,0.21,0.31,0.03,5
0,0,Telangana,0.13,0,0,0.21,0.01,0.49,0.33,0.28,0.37,0.12,5
0,0,Tripura,0.03,0.01,0,0.15,0.04,0.3,0.12,0.82,0.72,0.13,5
0,0,Uttar Pradesh,0.03,0.01,0.01,0.16,0.23,0.63,0.03,0.68,0.72,0.09,5
0,0,Uttarakhand,0.06,0.01,0.01,0.18,0.01,0.3,0.11,0.39,0.61,0.14,5
0,0,West Bengal,0.05,0.01,0,0.17,0.04,0.39,0.09,0.56,0.83,0.09,5
0,1,Andaman and Nicobar Islands,0.03,0.01,0.01,0.15,0,0.12,0,0.11,0.02,0.02,5
0,1,Andhra Pradesh,0.1,0.01,0.01,0.12,0,0.2,0.32,0.05,0.07,0.05,5
0,1,Arunachal Pradesh,0.06,0.03,0.01,0.1,0,0.25,0.04,0.41,0.09,0.07,5
0,1,Assam,0.03,0.01,0.01,0.15,0.02,0.34,0.1,0.3,0.15,0.07,5
0,1,Bihar,0.04,0.02,0.01,0.23,0.05,0.35,0.02,0.18,0.22,0.08,5
0,1,Chandigarh,0.05,0,0.01,0.14,0,0.15,0.01,0.04,0.02,0.02,5
0,1,Chhattisgarh,0.04,0.01,0.01,0.21,0,0.3,0.06,0.15,0.2,0.05,5
0,1,Dadra & Nagar Haveli,0.02,0.01,0,0.21,0.01,0.4,0.23,0.19,0.03,0.11,5
0,1,Daman & Diu,0.07,0.01,0,0.11,0,0.41,0.11,0.06,0.02,0.19,5
0,1,Delhi,0.05,0.01,0.01,0.16,0,0.26,0.22,0.1,0.01,0.06,5
0,1,Goa,0.04,0,0,0.14,0,0.21,0.02,0.08,0.05,0.02,5
0,1,Gujarat,0.05,0.02,0,0.22,0.01,0.12,0.08,0.04,0.08,0.06,5
0,1,Himachal Pradesh,0.04,0,0,0.14,0.01,0.2,0.06,0.06,0.07,0.05,5
0,1,Haryana,0.05,0.01,0.01,0.19,0,0.15,0.12,0.08,0.12,0.03,5
0,1,Jammu and Kashmir,0.05,0.01,0.01,0.12,0,0.31,0.02,0.09,0.06,0.04,5
0,1,Jharkhand,0.03,0.01,0.01,0.21,0.01,0.32,0.15,0.1,0.35,0.06,5
0,1,Karnataka,0.03,0.01,0,0.2,0,0.19,0.11,0.15,0.1,0.03,5
0,1,Kerala,0.03,0,0,0.11,0,0.01,0.04,0.08,0.34,0.03,5
0,1,Lakshadweep,0.02,0,0.01,0.22,0,0,0.09,0.02,0.5,0.02,5
0,1,Madhya Pradesh,0.04,0.01,0.01,0.24,0.01,0.26,0.07,0.21,0.15,0.04,5
0,1,Maharashtra,0.04,0.01,0,0.2,0.04,0.38,0.03,0.06,0.05,0.07,5
0,1,Manipur,0.01,0,0,0.08,0.03,0.48,0.52,0.66,0.3,0.06,5
0,1,Meghalaya,0.02,0,0.01,0.18,0,0.3,0.14,0.22,0.18,0.08,5
0,1,Mizoram,0.03,0.01,0.01,0.14,0,0.09,0.06,0.12,0.05,0.05,5
0,1,Nagaland,0.02,0.01,0.01,0.11,0,0.28,0.18,0.44,0.26,0.1,5
0,1,Odisha,0.04,0.01,0,0.14,0.02,0.32,0.08,0.15,0.26,0.04,5
0,1,Pondicherry,0.04,0.01,0,0.17,0,0.25,0.07,0.1,0.06,0.01,5
0,1,Punjab,0.05,0.01,0.01,0.14,0,0.13,0.01,0.06,0.07,0.02,5
0,1,Rajasthan,0.06,0.01,0.01,0.22,0,0.22,0.09,0.07,0.13,0.05,5
0,1,Sikkim,0.06,0.01,0,0.09,0.01,0.23,0.01,0.09,0.02,0.06,5
0,1,Tamil Nadu,0.06,0,0,0.16,0.01,0.28,0.15,0.13,0.08,0.02,5
0,1,Telangana,0.08,0.01,0,0.18,0,0.32,0.21,0.07,0.04,0.05,5
0,1,Tripura,0.03,0.01,0,0.15,0,0.32,0.03,0.39,0.22,0.06,5
0,1,Uttar Pradesh,0.06,0.02,0.01,0.2,0.02,0.25,0.08,0.2,0.12,0.06,5
0,1,Uttarakhand,0.05,0.01,0.01,0.19,0,0.24,0.01,0.08,0.08,0.05,5
0,1,West Bengal,0.06,0.01,0,0.14,0.01,0.33,0.1,0.16,0.25,0.05,5
1,0,Andaman and Nicobar Islands,0.5,0.02,0.05,0.53,0.3,0.83,0.31,0.91,0.82,0.5,5
1,0,Andhra Pradesh,0.73,0.06,0.05,0.47,0.06,0.91,0.37,0.53,0.86,0.55,5
1,0,Arunachal Pradesh,0.69,0.17,0.05,0.41,0.32,0.7,0.26,0.97,0.94,0.64,5
1,0,Assam,0.49,0.13,0.06,0.68,0.45,0.78,0.26,0.98,0.98,0.46,5
1,0,Bihar,0.58,0.18,0.07,0.7,0.58,0.94,0.03,0.94,0.98,0.41,5
1,0,Chandigarh,0.67,0.17,0,0.83,0,1,0,0.5,0.83,0.17,5
1,0,Chhattisgarh,0.46,0.09,0.06,0.64,0.1,0.94,0.29,0.95,0.99,0.41,5
1,0,Dadra & Nagar Haveli,0.29,0.15,0.05,0.82,0.07,0.97,0.35,0.97,0.91,0.48,5
1,0,Daman & Diu,0.87,0.29,0.03,0.42,0,0.88,0.02,0.19,0.56,0.69,5
1,0,Delhi,0.2,0,0,0.8,0,1,0.26,0,0.8,0.94,5
1,0,Goa,0.39,0.03,0.02,0.76,0,0.79,0.15,0.87,0.91,0.42,5
1,0,Gujarat,0.44,0.16,0.05,0.68,0.16,0.9,0.26,0.72,0.97,0.53,5
1,0,Himachal Pradesh,0.42,0.03,0.08,0.64,0.03,0.78,0.18,0.78,0.94,0.46,5
1,0,Haryana,0.48,0.19,0.11,0.71,0.1,0.64,0.3,0.77,0.94,0.32,5
1,0,Jammu and Kashmir,0.38,0.14,0.07,0.68,0.13,0.89,0.4,0.8,0.92,0.53,5
1,0,Jharkhand,0.48,0.13,0.06,0.69,0.35,0.96,0.39,0.92,0.99,0.43,5
1,0,Karnataka,0.53,0.1,0.04,0.58,0.08,0.89,0.24,0.8,0.94,0.46,5
1,0,Kerala,0.51,0.08,0.02,0.5,0.3,0.38,0.32,0.7,0.94,0.7,5
1,0,Lakshadweep,0,0.5,0.5,1,0,0,0.5,0,1,0,5
1,0,Madhya Pradesh,0.46,0.14,0.07,0.66,0.2,0.95,0.48,0.94,0.99,0.44,5
1,0,Maharashtra,0.42,0.11,0.03,0.63,0.24,0.87,0.38,0.79,0.94,0.57,5
1,0,Manipur,0.34,0.08,0.06,0.64,0.21,0.64,0.78,0.98,0.92,0.44,5
1,0,Meghalaya,0.6,0.14,0.07,0.61,0.23,0.61,0.48,0.77,0.99,0.65,5
