staten,state,unemp_cws,lf_cws,emp_cws,neet,unpaid_emp,salaried,casual,self_emp,agri_cws,ind_cws,services_cws,lfpr_female,unemp_female,type,urban,level,area,year,dem,yr
8,Rajasthan,0.051096216,0.622007847,0.590225637,0.103973374,0.178047821,0.141228139,0.130295664,0.728476226,0.608491361,0.215052411,0.176456228,0.470311135,0.039563715,State+Urban+All,0,state,urban/rural,2023,All,2023
9,Uttar Pradesh,0.038649451,0.538566172,0.517750859,0.107926674,0.12310259,0.077562399,0.151460126,0.770977437,0.63970083,0.199666977,0.160632163,0.303168356,0.020334911,State+Urban+All,0,state,urban/rural,2023,All,2023
9,Uttar Pradesh,0.027034014,0.530395567,0.516056836,0.110617787,0.124026932,0.092262,0.168575883,0.739162087,0.614799023,0.212238908,0.172962084,0.283658445,0.013898832,State+Urban+All,0,state,urban/rural,2022,All,2022
9,Uttar Pradesh,0.077065788,0.4651618,0.429313719,0.112477094,0.045850858,0.377100587,0.113895379,0.509004056,0.077367194,0.315033764,0.60759908,0.158890978,0.125803337,State+Urban+All,1,state,urban/rural,2023,All,2023
9,Uttar Pradesh,0.036802016,0.5118047,0.492969275,0.110684089,0.106751524,0.139951274,0.157803342,0.702245355,0.51886797,0.2330264,0.2481056,0.252335012,0.026374742,State+AllSectors+All,99,state,All,2022,All,2022
9,Uttar Pradesh,0.046248328,0.522264123,0.498110294,0.10877236,0.105946131,0.134779111,0.144284651,0.720936239,0.532063544,0.221749544,0.246186927,0.272208512,0.033545449,State+AllSectors+All,99,state,All,2023,All,2023
9,Uttar Pradesh,0.08063484,0.442245364,0.406584978,0.110982999,0.042113915,0.366423815,0.10664542,0.526930749,0.063290484,0.331746489,0.604963005,0.130247548,0.13227576,State+Urban+All,1,state,urban/rural,2022,All,2022
10,Bihar,0.034102909,0.51236701,0.494893819,0.078649595,0.09028019,0.090189368,0.237476632,0.672334015,0.531801641,0.237309515,0.230888844,0.269531488,0.016875228,State+AllSectors+All,99,state,All,2023,All,2023
10,Bihar,0.030477114,0.521696508,0.505796731,0.078910686,0.096556358,0.072296292,0.244356826,0.683346868,0.567638278,0.236066177,0.196295559,0.281663299,0.013180119,State+Urban+All,0,state,urban/rural,2023,All,2023
10,Bihar,0.073956467,0.428198427,0.39653039,0.075855292,0.033658203,0.296053886,0.158318177,0.545627952,0.119402811,0.251617491,0.628979683,0.154124454,0.081113301,State+Urban+All,1,state,urban/rural,2023,All,2023
10,Bihar,0.079094909,0.413324982,0.380633086,0.087314159,0.031931505,0.295763552,0.167895541,0.536340892,0.103233486,0.252761543,0.644005001,0.115149669,0.105153188,State+Urban+All,1,state,urban/rural,2022,All,2022
10,Bihar,0.044513531,0.484078646,0.462530583,0.083276324,0.060309209,0.071205512,0.281212926,0.647581577,0.516838372,0.24395895,0.239202693,0.210554153,0.021895733,State+Urban+All,0,state,urban/rural,2022,All,2022
10,Bihar,0.047144763,0.477854639,0.455326289,0.083563574,0.057812899,0.08771804,0.272880316,0.639401674,0.486423165,0.244606256,0.268970579,0.202487752,0.02589885,State+AllSectors+All,99,state,All,2022,All,2022
11,Sikkim,0.029411351,0.746728003,0.724765718,0.050868481,0.136744693,0.319988728,0.076529399,0.603481889,0.414449483,0.138609484,0.446941048,0.659954965,0.029185666,State+AllSectors+All,99,state,All,2023,All,2023
11,Sikkim,0.029098313,0.800550163,0.777255535,0.053741779,0.162918434,0.283658087,0.073359363,0.642982543,0.500307679,0.131758928,0.367933422,0.751583397,0.024569085,State+Urban+All,0,state,urban/rural,2023,All,2023
