level,year,State,sector,area,poor_300,poor_420,poor_830,welfare_agg21_sp,india_welfare,india_welfare_filled,welfare_pct_india,round,m_poor_1_33,m_poor_1_50
State,2022,Meghalaya,0,urban/rural,0.1463,0.4981,0.9565,2491.070865,2800.22,2800.22,88.96,5,0.3147,0.1211
State,2022,Meghalaya,1,urban/rural,0.0772,0.2096,0.8072,3463.103639,2800.22,2800.22,123.67,5,0.082,0.0269
State,2022,Meghalaya,99,All,0.1347,0.4498,0.9315,2632.354841,2800.22,2800.22,94.01,5,0.2702,0.1031
State,2022,Mizoram,0,urban/rural,0.0897,0.3308,0.8811,2946.92427,2800.22,2800.22,105.24,5,0.1147,0.0371
State,2022,Mizoram,1,urban/rural,0.049,0.1615,0.744,3790.881209,2800.22,2800.22,135.38,5,0.008,0.0007
State,2022,Mizoram,99,All,0.0712,0.2536,0.8186,3281.443742,2800.22,2800.22,117.19,5,0.0575,0.0176
State,2022,Nagaland,0,urban/rural,0.0902,0.3852,0.9148,2767.316179,2800.22,2800.22,98.82,5,0.2217,0.0388
State,2022,Nagaland,1,urban/rural,0.13,0.2616,0.8138,3424.377471,2800.22,2800.22,122.29,5,0.0637,0.0083
State,2022,Nagaland,99,All,0.1024,0.3475,0.884,2920.09498,2800.22,2800.22,104.28,5,0.1706,0.0289
State,2022,Odisha,0,urban/rural,0.2819,0.5977,0.9644,2249.138991,2800.22,2800.22,80.32,5,0.2355,0.0588
State,2022,Odisha,1,urban/rural,0.1567,0.3944,0.8146,2875.616185,2800.22,2800.22,102.69,5,0.0698,0.0157
State,2022,Odisha,99,All,0.2635,0.5679,0.9425,2320.016364,2800.22,2800.22,82.85,5,0.208,0.0517
State,2022,Puducherry,0,urban/rural,0.0234,0.1219,0.8068,3604.245584,2800.22,2800.22,128.71,5,0.0158,0.0011
State,2022,Puducherry,1,urban/rural,0.0136,0.0816,0.5711,4541.016893,2800.22,2800.22,162.17,5,0.0135,0.0001
State,2022,Puducherry,99,All,0.017,0.0957,0.6535,4210.940413,2800.22,2800.22,150.38,5,0.0142,0.0004
State,2022,Punjab,0,urban/rural,0.043,0.2034,0.8006,3473.962069,2800.22,2800.22,124.06,5,0.049,0.0072
State,2022,Punjab,1,urban/rural,0.0555,0.1987,0.718,3760.113808,2800.22,2800.22,134.28,5,0.0444,0.0069
State,2022,Punjab,99,All,0.0475,0.2017,0.7707,3566.4331,2800.22,2800.22,127.36,5,0.0473,0.0071
State,2022,Rajasthan,0,urban/rural,0.1389,0.4026,0.9023,2758.01465,2800.22,2800.22,98.49,5,0.2037,0.0452
State,2022,Rajasthan,1,urban/rural,0.0786,0.2539,0.7719,3355.017867,2800.22,2800.22,119.81,5,0.0422,0.0079
State,2022,Rajasthan,99,All,0.1247,0.3674,0.8714,2884.237249,2800.22,2800.22,103,5,0.1657,0.0365
State,2022,Sikkim,0,urban/rural,0.054,0.3097,0.7075,3549.180616,2800.22,2800.22,126.75,5,0.0547,0.0074
State,2022,Sikkim,1,urban/rural,0.032,0.1276,0.5406,4704.109431,2800.22,2800.22,167.99,5,0.0043,0.0002
State,2022,Sikkim,99,All,0.0488,0.2666,0.668,3850.880286,2800.22,2800.22,137.52,5,0.0367,0.0048
State,2022,Tamil Nadu,0,urban/rural,0.0701,0.2289,0.8029,3396.3724,2800.22,2800.22,121.29,5,0.0532,0.0035
State,2022,Tamil Nadu,1,urban/rural,0.0338,0.1557,0.6686,3990.590328,2800.22,2800.22,142.51,5,0.0214,0.0007
State,2022,Tamil Nadu,99,All,0.0537,0.1958,0.7423,3643.600384,2800.22,2800.22,130.12,5,0.0384,0.0022
State,2022,Telangana,0,urban/rural,0.051,0.2845,0.8916,3049.448899,2800.22,2800.22,108.9,5,0.088,0.0106
State,2022,Telangana,1,urban/rural,0.0369,0.1475,0.6813,3848.741492,2800.22,2800.22,137.44,5,0.0287,0.0034
State,2022,Telangana,99,All,0.0451,0.2267,0.8029,3312.137274,2800.22,2800.22,118.28,5,0.0678,0.0081
State,2022,Tripura,0,urban/rural,0.094,0.3237,0.8612,3134.313948,2800.22,2800.22,111.93,5,0.197,0.0359
State,2022,Tripura,1,urban/rural,0.0449,0.1879,0.651,4188.379902,2800.22,2800.22,149.57,5,0.0562,0.0091
State,2022,Tripura,99,All,0.085,0.2988,0.8227,3275.641086,2800.22,2800.22,116.98,5,0.157,0.0283
State,2022,Uttar Pradesh,0,urban/rural,0.2432,0.5431,0.9516,2374.243596,2800.22,2800.22,84.79,5,0.2637,0.0771
State,2022,Uttar Pradesh,1,urban/rural,0.1891,0.4036,0.844,2834.990265,2800.22,2800.22,101.24,5,0.1158,0.0285
State,2022,Uttar Pradesh,99,All,0.232,0.5141,0.9292,2448.451256,2800.22,2800.22,87.44,5,0.2294,0.0659
State,2022,Uttarakhand,0,urban/rural,0.044,0.3003,0.8609,3057.208291,2800.22,2800.22,109.18,5,0.1122,0.0156
State,2022,Uttarakhand,1,urban/rural,0.0874,0.2651,0.7433,3522.074619,2800.22,2800.22,125.78,5,0.0658,0.0139
State,2022,Uttarakhand,99,All,0.0543,0.292,0.8331,3142.101143,2800.22,2800.22,112.21,5,0.0981,0.0151
State,2022,West Bengal,0,urban/rural,0.1807,0.4715,0.9368,2552.716137,2800.22,2800.22,91.16,5,0.1984,0.0365
State,2022,West Bengal,1,urban/rural,0.1223,0.2989,0.7616,3259.821257,2800.22,2800.22,116.41,5,0.0567,0.011
State,2022,West Bengal,99,All,0.1647,0.4241,0.8887,2702.626219,2800.22,2800.22,96.51,5,0.1527,0.0283
