,m_poor_1_33,m_poor_1_50,Year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
73,0.004135723,0,2019,5,State,urban/rural,All Households,statesector,1,Kerala,NA,NA,NA,NA,NA,NA
74,0.076473728,0.008998775,2019,5,State,urban/rural,All Households,statesector,0,Ladakh,NA,NA,NA,NA,NA,NA
75,0.01650467,0.003765208,2019,5,State,urban/rural,All Households,statesector,1,Ladakh,NA,NA,NA,NA,NA,NA
76,0.012339019,0,2019,5,State,urban/rural,All Households,statesector,0,Lakshadweep,NA,NA,NA,NA,NA,NA
77,0.007854932,0,2019,5,State,urban/rural,All Households,statesector,1,Lakshadweep,NA,NA,NA,NA,NA,NA
78,0.296201676,0.068865046,2019,5,State,urban/rural,All Households,statesector,0,Madhya Pradesh,NA,NA,NA,NA,NA,NA
79,0.076088704,0.013621197,2019,5,State,urban/rural,All Households,statesector,1,Madhya Pradesh,NA,NA,NA,NA,NA,NA
80,0.133559465,0.022188794,2019,5,State,urban/rural,All Households,statesector,0,Maharashtra,NA,NA,NA,NA,NA,NA
81,0.033417873,0.003379995,2019,5,State,urban/rural,All Households,statesector,1,Maharashtra,NA,NA,NA,NA,NA,NA
82,0.128732294,0.019285617,2019,5,State,urban/rural,All Households,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
83,0.044142134,0.004728457,2019,5,State,urban/rural,All Households,statesector,1,Manipur,NA,NA,NA,NA,NA,NA
84,0.314662158,0.12106353,2019,5,State,urban/rural,All Households,statesector,0,Meghalaya,NA,NA,NA,NA,NA,NA
85,0.081994355,0.026902726,2019,5,State,urban/rural,All Households,statesector,1,Meghalaya,NA,NA,NA,NA,NA,NA
86,0.11465691,0.037125126,2019,5,State,urban/rural,All Households,statesector,0,Mizoram,NA,NA,NA,NA,NA,NA
87,0.007993476,0.000680698,2019,5,State,urban/rural,All Households,statesector,1,Mizoram,NA,NA,NA,NA,NA,NA
88,0.221694067,0.038815737,2019,5,State,urban/rural,All Households,statesector,0,Nagaland,NA,NA,NA,NA,NA,NA
89,0.063680984,0.008263414,2019,5,State,urban/rural,All Households,statesector,1,Nagaland,NA,NA,NA,NA,NA,NA
90,0.235503539,0.058836449,2019,5,State,urban/rural,All Households,statesector,0,Odisha,NA,NA,NA,NA,NA,NA
91,0.069765635,0.015707683,2019,5,State,urban/rural,All Households,statesector,1,Odisha,NA,NA,NA,NA,NA,NA
92,0.015759077,0.001149195,2019,5,State,urban/rural,All Households,statesector,0,Puducherry,NA,NA,NA,NA,NA,NA
93,0.013531095,9.55E-05,2019,5,State,urban/rural,All Households,statesector,1,Puducherry,NA,NA,NA,NA,NA,NA
94,0.049012713,0.007231059,2019,5,State,urban/rural,All Households,statesector,0,Punjab,NA,NA,NA,NA,NA,NA
95,0.044360436,0.006945962,2019,5,State,urban/rural,All Households,statesector,1,Punjab,NA,NA,NA,NA,NA,NA
96,0.203675106,0.045247972,2019,5,State,urban/rural,All Households,statesector,0,Rajasthan,NA,NA,NA,NA,NA,NA
97,0.042212449,0.00789541,2019,5,State,urban/rural,All Households,statesector,1,Rajasthan,NA,NA,NA,NA,NA,NA
98,0.054662313,0.00736835,2019,5,State,urban/rural,All Households,statesector,0,Sikkim,NA,NA,NA,NA,NA,NA
99,0.004252714,0.000171876,2019,5,State,urban/rural,All Households,statesector,1,Sikkim,NA,NA,NA,NA,NA,NA
100,0.053213075,0.003506249,2019,5,State,urban/rural,All Households,statesector,0,Tamil Nadu,NA,NA,NA,NA,NA,NA
101,0.021426186,0.000723416,2019,5,State,urban/rural,All Households,statesector,1,Tamil Nadu,NA,NA,NA,NA,NA,NA
