,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
3624,0,0.523655534,0.288640499,0.106406182,2011,State,All,All Households,state,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3625,1,0.546866596,0.054561332,0.374807,2011,State,All,All Households,state,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3626,0,0.561911702,0.293005556,0.10242264,2011,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3627,1,0.517965496,0.066707052,0.402342618,2011,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3628,0,0.59152776,0.275517642,0.095385753,2011,State,All,All Households,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3629,1,0.513767242,0.085769661,0.390932679,2011,State,All,All Households,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3630,0,0.507881105,0.387929648,0.073268168,2011,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3631,1,0.513834059,0.134437993,0.338140488,2011,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3632,0,0.256879777,0.699791789,0.036741074,2011,State,All,All Households,state,99,Daman & Diu & D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3633,1,0.427582204,0.389665037,0.149195552,2011,State,All,All Households,state,99,Daman & Diu & D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3634,0,0.451752007,0.392974168,0.105658285,2011,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3635,1,0.432179213,0.171952456,0.37662971,2011,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3636,0,0.398935258,0.21003224,0.325518221,2011,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3637,1,0.39833802,0.116023481,0.455283433,2011,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3638,0,0.52454412,0.254410267,0.190649077,2011,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3639,1,0.478730768,0.101095967,0.404004157,2011,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3640,0,0.412593365,0.416855127,0.08272054,2011,State,All,All Households,state,99,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3641,1,0.519457221,0.321993589,0.140280142,2011,State,All,All Households,state,99,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3642,0,0.220131844,0.450561255,0.174149618,2011,State,All,All Households,state,99,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3643,1,0.255870461,0.427909434,0.229204759,2011,State,All,All Households,state,99,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3644,0,0.346291929,0.211625218,0.313428789,2011,State,All,All Households,state,99,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3645,1,0.257976353,0.125714079,0.5259251,2011,State,All,All Households,state,99,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3646,0,0.324922979,0.300871879,0.310267061,2011,State,All,All Households,state,99,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3647,1,0.252735913,0.148090824,0.573946774,2011,State,All,All Households,state,99,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3648,0,0.284128845,0.429490536,0.208996713,2011,State,All,All Households,state,99,Puducherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3649,1,0.132003158,0.103957564,0.66708529,2011,State,All,All Households,state,99,Puducherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3650,0,0.348740786,0.507978916,0.11340367,2011,State,All,All Households,state,99,A & N Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3651,1,0.618063331,0.053479694,0.301908612,2011,State,All,All Households,state,99,A & N Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3652,0,0.460430741,0.305617183,0.189707264,2011,State,All,All Households,state,99,Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3653,1,0.487467319,0.139396012,0.351874948,2011,State,All,All Households,state,99,Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3654,0,0.458843559,0.335972667,0.161844447,2011,State,All,All Households,state,99,Ladakh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3655,1,0.080274709,0.116960175,0.632304966,2011,State,All,All Households,state,99,Ladakh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3656,0,0.503896415,0.257154405,0.177384019,2011,State,urban/rural,All Households,sector_state,0,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3657,1,0.471624434,0.106639251,0.418274999,2011,State,urban/rural,All Households,sector_state,0,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3658,0,0.508464515,0.24825491,0.17831479,2011,State,urban/rural,All Households,sector_state,0,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3659,1,0.44925642,0.126141474,0.389475465,2011,State,urban/rural,All Households,sector_state,0,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3660,0,0.572535396,0.163056254,0.196648762,2011,State,urban/rural,All Households,sector_state,0,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3661,1,0.233419821,0.145378515,0.598014057,2011,State,urban/rural,All Households,sector_state,0,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3662,0,0.211558446,0.56856823,0.018664552,2011,State,urban/rural,All Households,sector_state,0,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3663,1,0.473210126,0.502906263,0.023883628,2011,State,urban/rural,All Households,sector_state,0,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3664,0,0.680844903,0.165238068,0.08294186,2011,State,urban/rural,All Households,sector_state,0,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3665,1,0.5760566,0.068423107,0.318790227,2011,State,urban/rural,All Households,sector_state,0,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3666,0,0.63260442,0.154932335,0.148866534,2011,State,urban/rural,All Households,sector_state,0,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3667,1,0.357136756,0.097817875,0.52127254,2011,State,urban/rural,All Households,sector_state,0,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3668,0,0.344030291,0.553157389,0.09851303,2011,State,urban/rural,All Households,sector_state,0,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3669,1,0.384304523,0.543754697,0.003378546,2011,State,urban/rural,All Households,sector_state,0,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
