State,Variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All States/UT,REV_TAX_I_B_CG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9984.4901,188023.2528,184603.64,176450.78,253944.8,268393.79,330965.2081,370712.6497
All States/UT,REV_TAX_I_B_CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37029.09,47473.61,52044.67,66891.38,84453.87,100767.91,104963.8,107295.74,118234.98,159741.62,195360.59,206344.1638,265311.5606,221819.4806,179714.4644,251884.8099,317216.5006,344515.2377,386811.6905
All States/UT,REV_TAX_I_B_IT,3988.97,4984.97,6181.95,7827.94,8565.24,11204.33,13488.57,18171.21,15333.42,18218.92,0.0,0.0,0.0,0.0,0.0,0.0,22476.51,31795.65,32776.88,37273.62,44709.37,51195.89,62840.09,70651.03,84431.165,110933.31,135800.0527,174206.6439,195050.7499,173639.1079,184275.703,263085.4923,310873.9707,365805.7316,410551.4502
All States/UT,REV_TAX_I_B_ED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,3.05,0.0,0.0,0.0,0.0,0.0,0.0
All States/UT,REV_TAX_I_B_OI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.77,-2.39,-1.65,0.0,0.01,-1.2,-17.04,0.15,2.6383,3.397,0.0253,-0.1125,1287.922808,0.0814,4.8411,1.8121,0.0,1.9448,1.7403
All States/UT,REV_TAX_I_B_TW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75,52.99,49.33,148.68,170.74,388.88,177.17,294.57,319.2412,38.8005,447.3152,-5.9183,94.0606,9.64,0.0101,67.97,17.08,482.9591,13.693
All States/UT,REV_TAX_I_B_CU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23191.52,28356.31,30409.07,23080.63,37889.33,44394.26,48558.22,52054.06,54758.57,81248.4104,83791.6233,67928.4023,53982.324,41324.84485,31523.7486,65055.7233,37341.1201,40990.7322,35384.9289
All States/UT,REV_TAX_I_B_UE,10252.5,11862.89,14398.19,14566.88,16319.49,17843.31,21549.04,22239.78,24085.62,25902.21,0.0,0.0,0.0,0.0,0.0,0.0,26181.97,28751.28,28640.69,20300.81,30545.93,28726.43,33000.21,36764.42,30920.505,67717.2497,96258.6712,71684.8002,35874.4503,28870.09,19968.52,35955.79,11717.35,17669.2458,18467.0248
All States/UT,REV_TAX_I_B_IGST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
All States/UT,REV_TAX_I_B_ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11379.14,14980.12,17136.6,17318.29,21719.82,30080.49,42007.6,51169.69,49141.827,86137.9493,96088.72116,74701.1543,6878.2003,0.0209,2619.6102,11944.4343,1484.6706,585.4751,407.183
