StateName,,StateName,GroupName,PeerName,,Gujarat,Haryana,Andhra Pradesh,Gujarat,,All States/UT,,Gujarat,Gujarat,Gujarat,,,All States/UT,All States/UT
,,Manipur,Peers,Jharkhand,,,,,,,,,,,,,,,
,,Manipur,Peers,Meghalaya,,,,,,,,,,,,,,,
,,Manipur,Peers,Uttar Pradesh,,,,,,,,,,,,,,,
,,Meghalaya,Peers,Bihar,,,,,,,,,,,,,,,
,,Meghalaya,Peers,Jharkhand,,,,,,,,,,,,,,,
,,Meghalaya,Peers,Manipur,,,,,,,,,,,,,,,
,,Meghalaya,Peers,Uttar Pradesh,,,,,,,,,,,,,,,
,,Mizoram,Peers,Andhra Pradesh,,,,,,,,,,,,,,,
,,Mizoram,Peers,Arunachal Pradesh,,,,,,,,,,,,,,,
,,Mizoram,Peers,Himachal Pradesh,,,,,,,,,,,,,,,
,,Mizoram,Peers,Maharashtra,,,,,,,,,,,,,,,
,,Mizoram,Peers,Uttarakhand,,,,,,,,,,,,,,,
,,Nagaland,Peers,Assam,,,,,,,,,,,,,,,
,,Nagaland,Peers,Chhattisgarh,,,,,,,,,,,,,,,
,,Nagaland,Peers,Jammu and Kashmir,,,,,,,,,,,,,,,
,,Nagaland,Peers,Madhya Pradesh,,,,,,,,,,,,,,,
,,Nagaland,Peers,Odisha,,,,,,,,,,,,,,,
,,Nagaland,Peers,Punjab,,,,,,,,,,,,,,,
,,Nagaland,Peers,Rajasthan,,,,,,,,,,,,,,,
,,Nagaland,Peers,Tripura,,,,,,,,,,,,,,,
,,Nagaland,Peers,West Bengal,,,,,,,,,,,,,,,
,,Odisha,Peers,Assam,,,,,,,,,,,,,,,
,,Odisha,Peers,Chhattisgarh,,,,,,,,,,,,,,,
,,Odisha,Peers,Jammu and Kashmir,,,,,,,,,,,,,,,
,,Odisha,Peers,Madhya Pradesh,,,,,,,,,,,,,,,
,,Odisha,Peers,Nagaland,,,,,,,,,,,,,,,
,,Odisha,Peers,Punjab,,,,,,,,,,,,,,,
,,Odisha,Peers,Rajasthan,,,,,,,,,,,,,,,
,,Odisha,Peers,Tripura,,,,,,,,,,,,,,,
,,Odisha,Peers,West Bengal,,,,,,,,,,,,,,,
,,Puducherry,Peers,Gujarat,,,,,,,,,,,,,,,
,,Puducherry,Peers,Haryana,,,,,,,,,,,,,,,
,,Puducherry,Peers,Karnataka,,,,,,,,,,,,,,,
,,Puducherry,Peers,Kerala,,,,,,,,,,,,,,,
,,Puducherry,Peers,Tamil Nadu,,,,,,,,,,,,,,,
,,Puducherry,Peers,Telangana,,,,,,,,,,,,,,,
,,Punjab,Peers,Assam,,,,,,,,,,,,,,,
,,Punjab,Peers,Chhattisgarh,,,,,,,,,,,,,,,
,,Punjab,Peers,Jammu and Kashmir,,,,,,,,,,,,,,,
,,Punjab,Peers,Madhya Pradesh,,,,,,,,,,,,,,,
,,Punjab,Peers,Nagaland,,,,,,,,,,,,,,,
,,Punjab,Peers,Odisha,,,,,,,,,,,,,,,
,,Punjab,Peers,Rajasthan,,,,,,,,,,,,,,,
,,Punjab,Peers,Tripura,,,,,,,,,,,,,,,
,,Punjab,Peers,West Bengal,,,,,,,,,,,,,,,
,,Rajasthan,Peers,Assam,,,,,,,,,,,,,,,
,,Rajasthan,Peers,Chhattisgarh,,,,,,,,,,,,,,,
,,Rajasthan,Peers,Jammu and Kashmir,,,,,,,,,,,,,,,
,,Rajasthan,Peers,Madhya Pradesh,,,,,,,,,,,,,,,
,,Rajasthan,Peers,Nagaland,,,,,,,,,,,,,,,
,,Rajasthan,Peers,Odisha,,,,,,,,,,,,,,,
,,Rajasthan,Peers,Punjab,,,,,,,,,,,,,,,
,,Rajasthan,Peers,Tripura,,,,,,,,,,,,,,,
,,Rajasthan,Peers,West Bengal,,,,,,,,,,,,,,,
,,Sikkim,Peers,Goa,,,,,,,,,,,,,,,
,,Tamil Nadu,Peers,Gujarat,,,,,,,,,,,,,,,
,,Tamil Nadu,Peers,Haryana,,,,,,,,,,,,,,,
,,Tamil Nadu,Peers,Karnataka,,,,,,,,,,,,,,,
,,Tamil Nadu,Peers,Kerala,,,,,,,,,,,,,,,
,,Tamil Nadu,Peers,Puducherry,,,,,,,,,,,,,,,
,,Tamil Nadu,Peers,Telangana,,,,,,,,,,,,,,,
,,Telangana,Peers,Gujarat,,,,,,,,,,,,,,,
,,Telangana,Peers,Haryana,,,,,,,,,,,,,,,
,,Telangana,Peers,Karnataka,,,,,,,,,,,,,,,
,,Telangana,Peers,Kerala,,,,,,,,,,,,,,,
,,Telangana,Peers,Puducherry,,,,,,,,,,,,,,,
,,Telangana,Peers,Tamil Nadu,,,,,,,,,,,,,,,
,,Tripura,Peers,Assam,,,,,,,,,,,,,,,
,,Tripura,Peers,Chhattisgarh,,,,,,,,,,,,,,,
,,Tripura,Peers,Jammu and Kashmir,,,,,,,,,,,,,,,
,,Tripura,Peers,Madhya Pradesh,,,,,,,,,,,,,,,
,,Tripura,Peers,Nagaland,,,,,,,,,,,,,,,
,,Tripura,Peers,Odisha,,,,,,,,,,,,,,,
,,Tripura,Peers,Punjab,,,,,,,,,,,,,,,
,,Tripura,Peers,Rajasthan,,,,,,,,,,,,,,,
,,Tripura,Peers,West Bengal,,,,,,,,,,,,,,,
,,Uttar Pradesh,Peers,Bihar,,,,,,,,,,,,,,,
,,Uttar Pradesh,Peers,Jharkhand,,,,,,,,,,,,,,,
,,Uttar Pradesh,Peers,Manipur,,,,,,,,,,,,,,,
,,Uttar Pradesh,Peers,Meghalaya,,,,,,,,,,,,,,,
,,Uttarakhand,Peers,Andhra Pradesh,,,,,,,,,,,,,,,
,,Uttarakhand,Peers,Arunachal Pradesh,,,,,,,,,,,,,,,
,,Uttarakhand,Peers,Himachal Pradesh,,,,,,,,,,,,,,,
,,Uttarakhand,Peers,Maharashtra,,,,,,,,,,,,,,,
,,Uttarakhand,Peers,Mizoram,,,,,,,,,,,,,,,
,,West Bengal,Peers,Assam,,,,,,,,,,,,,,,
,,West Bengal,Peers,Chhattisgarh,,,,,,,,,,,,,,,
,,West Bengal,Peers,Jammu and Kashmir,,,,,,,,,,,,,,,
,,West Bengal,Peers,Madhya Pradesh,,,,,,,,,,,,,,,
,,West Bengal,Peers,Nagaland,,,,,,,,,,,,,,,
,,West Bengal,Peers,Odisha,,,,,,,,,,,,,,,
,,West Bengal,Peers,Punjab,,,,,,,,,,,,,,,
,,West Bengal,Peers,Rajasthan,,,,,,,,,,,,,,,
,,West Bengal,Peers,Tripura,,,,,,,,,,,,,,,
