,,,,,Forestry and Wild Life,EXP_CUR_I_B_AA_FW,,,,,,,,,,,,,,,,
,,,,,Plantations,EXP_CUR_I_B_AA_PL,,,,,,,,,,,,,,,,
,,,,,Food Storage and Warehousing,EXP_CUR_I_B_AA_FS,,,,,,,,,,,,,,,,
,,,,,Agricultural Research and Education,EXP_CUR_I_B_AA_RE,,,,,,,,,,,,,,,,
,,,,,Agricultural Finance Institutions,EXP_CUR_I_B_AA_AF,,,,,,,,,,,,,,,,
,,,,,Co-operation,EXP_CUR_I_B_AA_CO,,,,,,,,,,,,,,,,
,,,,,Other Agricultural Programmes,EXP_CUR_I_B_AA_OA,,,,,,,,,,,,,,,,
,,,,,Rural Development,EXP_CUR_I_B_RD,,,,,,,,,,,,,,,,
,,,,,Special Area Programmes,EXP_CUR_I_B_SA,,,,,,,,,,,,,,,,
,,,,,Irrigation and Flood Control,EXP_CUR_I_B_IF,,,,,,,,,,,,,,,,
,,,,,Major and Medium Irrigation,EXP_CUR_I_B_IF_MI,,,,,,,,,,,,,,,,
,,,,,Minor Irrigation,EXP_CUR_I_B_IF_MII,,,,,,,,,,,,,,,,
,,,,,Flood Control and Drainage,EXP_CUR_I_B_IF_FC,,,,,,,,,,,,,,,,
,,,,,Energy,EXP_CUR_I_B_EN,,,,,,,,,,,,,,,,
,,,,,of which: Power,EXP_CUR_I_B_EN_PW,,,,,,,,,,,,,,,,
,,,,,Industry and Minerals (i to iii),EXP_CUR_I_B_IM,,,,,,,,,,,,,,,,
,,,,,Village and Small Industries,EXP_CUR_I_B_IM_VI,,,,,,,,,,,,,,,,
,,,,,Industries,EXP_CUR_I_B_IM_IN,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CUR_I_B_IM_O,,,,,,,,,,,,,,,,
,,,,,Transport and Communications (i + ii),EXP_CUR_I_B_TC,,,,,,,,,,,,,,,,
,,,,,Roads and Bridges,EXP_CUR_I_B_TC_RB,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CUR_I_B_TC_O,,,,,,,,,,,,,,,,
,,,,,"Science, Technology and Environment",EXP_CUR_I_B_STE,,,,,,,,,,,,,,,,
,,,,,General Economic Services (i to iv),EXP_CUR_I_B_GES,,,,,,,,,,,,,,,,
,,,,,Secretariat - Economic Services,EXP_CUR_I_B_GES_SE,,,,,,,,,,,,,,,,
,,,,,Tourism,EXP_CUR_I_B_GES_TM,,,,,,,,,,,,,,,,
,,,,,Civil Supplies,EXP_CUR_I_B_GES_CS,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CUR_I_B_GES_O,,,,,,,,,,,,,,,,
,,,,,NON-DEVELOPMENTAL EXPENDITURE (General Services) (A to F),EXP_CUR_II,,,,,,,,,,,,,,,,
,,,,,Organs of State,EXP_CUR_II_A,,,,,,,,,,,,,,,,
,,,,,Fiscal Services (i + ii),EXP_CUR_II_B,,,,,,,,,,,,,,,,
,,,,,Collection of Taxes and Duties,EXP_CUR_II_B_CT,,,,,,,,,,,,,,,,
,,,,,Other Fiscal Services,EXP_CUR_II_B_OFS,,,,,,,,,,,,,,,,
,,,,,"Transfers to Road Fund, Education Cess Fund, etc.",EXP_CUR_II_B_TRF,,,,,,,,,,,,,,,,
,,,,,Interest Payments and Servicing of Debt (1 + 2),EXP_CUR_II_C,,,,,,,,,,,,,,,,
,,,,,Appropriation for Reduction or Avoidance of Debt,EXP_CUR_II_C_AR,,,,,,,,,,,,,,,,
,,,,,Interest Payments (i to iv),EXP_CUR_II_C_IP,,,,,,,,,,,,,,,,
,,,,,Interest on Loans from the Centre,EXP_CUR_II_C_IP_LC,,,,,,,,,,,,,,,,
,,,,,Interest on Internal Debt,EXP_CUR_II_C_IP_ID,,,,,,,,,,,,,,,,
,,,,,Interest on Market Loans,EXP_CUR_II_C_IP_ML,,,,,,,,,,,,,,,,
,,,,,Interest on NSSF,EXP_CUR_II_C_IP_NS,,,,,,,,,,,,,,,,
,,,,,"Interest on Small Savings, State Provident Funds, etc.",EXP_CUR_II_C_IP_SS,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CUR_II_C_IP_O,,,,,,,,,,,,,,,,
,,,,,Administrative Services (i to v),EXP_CUR_II_D,,,,,,,,,,,,,,,,
,,,,,Secretariat - General Services,EXP_CUR_II_D_SG,,,,,,,,,,,,,,,,
,,,,,District Administration,EXP_CUR_II_D_DA,,,,,,,,,,,,,,,,
,,,,,Police,EXP_CUR_II_D_PO,,,,,,,,,,,,,,,,
,,,,,Public Works,EXP_CUR_II_D_PW,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CUR_II_D_O,,,,,,,,,,,,,,,,
,,,,,Pensions,EXP_CUR_II_E,,,,,,,,,,,,,,,,
,,,,,Miscellaneous General Services,EXP_CUR_II_F,,,,,,,,,,,,,,,,
,,,,,of which: Payment on account of State Lotteries,EXP_CUR_II_F_SL,,,,,,,,,,,,,,,,
,,,,,Grants-in-Aid and Contributions,EXP_CUR_III,,,,,,,,,,,,,,,,
,,,,,Compensation and Assignments to Local Bodies and PRIs,EXP_CUR_III_CAL,,,,,,,,,,,,,,,,
,,,,,Reserve with Finance Department,EXP_CUR_IV,,,,,,,,,,,,,,,,
,,,,,TOTAL CAPITAL RECEIPTS (Includes Public Accounts on a net basis)*,CAP_REC_TOTAL_PA,,,,,,,,,,,,,,,,
,,,,,TOTAL CAPITAL RECEIPTS (I to XII),CAP_REC_TOTAL,,,,,,,,,,,,,,,,
,,,,,External Debt,CAP_REC_EDEBT,,,,,,,,,,,,,,,,
