year,sector,state,state_sec_quint,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
2022,0,Bihar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Bihar,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Bihar,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Bihar,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Bihar,99,0.44,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,1,Bihar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Bihar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Bihar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Bihar,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Bihar,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Bihar,99,0.3,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,99,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chandigarh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chandigarh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chandigarh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chandigarh,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chandigarh,99,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,0,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chandigarh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chandigarh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chandigarh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chandigarh,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chandigarh,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,1,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chandigarh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chandigarh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chandigarh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chandigarh,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chandigarh,99,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,99,Chattisgarh,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chattisgarh,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chattisgarh,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chattisgarh,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chattisgarh,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Chattisgarh,99,0.89,0.07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,0,Chattisgarh,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chattisgarh,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chattisgarh,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chattisgarh,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chattisgarh,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Chattisgarh,99,0.92,0.08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,1,Chattisgarh,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chattisgarh,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chattisgarh,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chattisgarh,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chattisgarh,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Chattisgarh,99,0.74,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,99,Dadra Nagar Haveli & Diu Daman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Dadra Nagar Haveli & Diu Daman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Dadra Nagar Haveli & Diu Daman,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Dadra Nagar Haveli & Diu Daman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Dadra Nagar Haveli & Diu Daman,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Dadra Nagar Haveli & Diu Daman,99,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,0,Dadra Nagar Haveli & Diu Daman,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,quintile,State
2022,0,Dadra Nagar Haveli & Diu Daman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Dadra Nagar Haveli & Diu Daman,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Dadra Nagar Haveli & Diu Daman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Dadra Nagar Haveli & Diu Daman,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Dadra Nagar Haveli & Diu Daman,99,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,1,Dadra Nagar Haveli & Diu Daman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Dadra Nagar Haveli & Diu Daman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Dadra Nagar Haveli & Diu Daman,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Dadra Nagar Haveli & Diu Daman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Dadra Nagar Haveli & Diu Daman,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Dadra Nagar Haveli & Diu Daman,99,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,99,Delhi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Delhi,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Delhi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Delhi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Delhi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Delhi,99,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,0,Delhi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Delhi,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Delhi,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Delhi,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Delhi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,0,Delhi,99,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,1,Delhi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Delhi,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Delhi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Delhi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Delhi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,1,Delhi,99,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,State
2022,99,Goa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Goa,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Goa,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
2022,99,Goa,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quintile,State
