group,poor_420,sectorname,sector,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
state_sector,0,rural,0,Haryana,2022,0.429,0.001,0.246,0.111,0.000,0.267,0.012,0.060,0.122,0.014,0.020,0.000,0.015,0.000,0.002,0.003,0.104,0.016,0.006,0.010,0.005
state_sector,1,rural,0,Haryana,2022,0.513,0.000,0.308,0.290,0.010,0.116,0.002,0.128,0.210,0.023,0.027,0.000,0.014,0.000,0.005,0.008,0.273,0.076,0.029,0.016,0.013
state_sector,0,urban,1,Haryana,2022,0.188,0.000,0.125,0.052,0.000,0.275,0.012,0.023,0.105,0.004,0.001,0.000,0.001,0.000,0.000,0.000,0.052,0.010,0.005,0.001,0.000
state_sector,1,urban,1,Haryana,2022,0.332,0.000,0.212,0.218,0.000,0.256,0.003,0.179,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.042,0.000,0.000,0.000
state,0,,99,Haryana,2022,0.338,0.001,0.200,0.089,0.000,0.270,0.012,0.046,0.116,0.010,0.013,0.000,0.010,0.000,0.001,0.002,0.084,0.014,0.006,0.007,0.003
state,1,,99,Haryana,2022,0.462,0.000,0.281,0.270,0.007,0.155,0.002,0.143,0.169,0.016,0.019,0.000,0.010,0.000,0.003,0.006,0.255,0.066,0.021,0.012,0.009
state_sector,0,rural,0,Himachal Pradesh,2022,0.884,0.002,0.062,0.249,0.000,0.615,0.724,0.015,0.404,0.041,0.013,0.005,0.000,0.001,0.000,0.008,0.234,0.008,0.031,0.060,0.000
state_sector,1,rural,0,Himachal Pradesh,2022,0.953,0.000,0.142,0.590,0.021,0.625,0.817,0.043,0.531,0.037,0.029,0.000,0.000,0.000,0.000,0.029,0.552,0.075,0.183,0.210,0.000
state_sector,0,urban,1,Himachal Pradesh,2022,0.530,0.000,0.009,0.094,0.002,0.536,0.512,0.024,0.275,0.022,0.005,0.002,0.000,0.000,0.000,0.002,0.081,0.005,0.014,0.013,0.000
state_sector,1,urban,1,Himachal Pradesh,2022,0.378,0.000,0.135,0.537,0.083,0.223,0.682,0.026,0.254,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.537,0.128,0.113,0.262,0.113
state,0,,99,Himachal Pradesh,2022,0.847,0.002,0.057,0.233,0.000,0.607,0.702,0.016,0.391,0.039,0.013,0.004,0.000,0.001,0.000,0.007,0.218,0.007,0.030,0.055,0.000
state,1,,99,Himachal Pradesh,2022,0.896,0.000,0.141,0.585,0.027,0.585,0.804,0.042,0.503,0.038,0.026,0.000,0.000,0.000,0.000,0.026,0.551,0.081,0.176,0.215,0.011
state_sector,0,rural,0,Jammu and Kashmir,2022,0.572,0.008,0.411,0.185,0.002,0.390,0.014,0.053,0.762,0.076,0.017,0.000,0.000,0.000,0.000,0.017,0.174,0.017,0.004,0.060,0.001
state_sector,1,rural,0,Jammu and Kashmir,2022,0.697,0.000,0.600,0.441,0.004,0.185,0.005,0.084,0.622,0.063,0.058,0.000,0.000,0.000,0.000,0.058,0.428,0.052,0.028,0.142,0.009
state_sector,0,urban,1,Jammu and Kashmir,2022,0.420,0.003,0.178,0.025,0.001,0.408,0.015,0.009,0.696,0.046,0.004,0.000,0.001,0.000,0.000,0.003,0.021,0.001,0.001,0.005,0.002
state_sector,1,urban,1,Jammu and Kashmir,2022,0.434,0.000,0.405,0.231,0.008,0.337,0.088,0.046,0.681,0.046,0.008,0.000,0.000,0.000,0.000,0.008,0.229,0.033,0.030,0.084,0.024
state,0,,99,Jammu and Kashmir,2022,0.535,0.007,0.354,0.146,0.002,0.395,0.014,0.042,0.746,0.068,0.014,0.000,0.000,0.000,0.000,0.014,0.136,0.013,0.003,0.047,0.001
state,1,,99,Jammu and Kashmir,2022,0.673,0.000,0.582,0.422,0.004,0.199,0.012,0.081,0.627,0.062,0.054,0.000,0.000,0.000,0.000,0.054,0.410,0.050,0.028,0.137,0.011
state_sector,0,rural,0,Jharkhand,2022,0.732,0.179,0.204,0.430,0.017,0.128,0.158,0.100,0.088,0.014,0.081,0.002,0.000,0.000,0.002,0.078,0.392,0.153,0.285,0.183,0.061
state_sector,1,rural,0,Jharkhand,2022,0.725,0.258,0.210,0.491,0.006,0.032,0.230,0.140,0.052,0.005,0.067,0.000,0.000,0.000,0.003,0.064,0.451,0.166,0.319,0.177,0.079
state_sector,0,urban,1,Jharkhand,2022,0.334,0.019,0.085,0.093,0.001,0.124,0.193,0.043,0.041,0.007,0.003,0.000,0.000,0.000,0.000,0.003,0.085,0.018,0.053,0.022,0.004
state_sector,1,urban,1,Jharkhand,2022,0.586,0.067,0.112,0.276,0.001,0.083,0.240,0.088,0.043,0.010,0.032,0.000,0.000,0.000,0.000,0.032,0.256,0.097,0.171,0.098,0.034
state,0,,99,Jharkhand,2022,0.633,0.139,0.174,0.346,0.013,0.127,0.167,0.086,0.076,0.012,0.062,0.001,0.000,0.000,0.002,0.059,0.316,0.119,0.227,0.143,0.047
state,1,,99,Jharkhand,2022,0.711,0.238,0.200,0.468,0.006,0.037,0.231,0.134,0.051,0.005,0.063,0.000,0.000,0.000,0.003,0.061,0.430,0.159,0.304,0.169,0.075
state_sector,0,rural,0,Karnataka,2022,0.031,0.012,0.891,0.367,0.003,0.019,0.095,0.108,0.317,0.013,0.029,0.001,0.001,0.000,0.003,0.024,0.355,0.016,0.046,0.147,0.108
state_sector,1,rural,0,Karnataka,2022,0.044,0.000,0.843,0.463,0.005,0.005,0.085,0.039,0.127,0.015,0.039,0.000,0.000,0.000,0.003,0.036,0.448,0.022,0.019,0.161,0.082
state_sector,0,urban,1,Karnataka,2022,0.032,0.001,0.465,0.136,0.000,0.003,0.017,0.054,0.136,0.005,0.018,0.000,0.000,0.000,0.000,0.018,0.123,0.009,0.019,0.053,0.032
state_sector,1,urban,1,Karnataka,2022,0.071,0.000,0.809,0.402,0.008,0.000,0.029,0.091,0.106,0.011,0.015,0.000,0.008,0.000,0.000,0.007,0.378,0.006,0.026,0.146,0.097
state,0,,99,Karnataka,2022,0.031,0.008,0.732,0.281,0.002,0.013,0.066,0.088,0.249,0.010,0.025,0.000,0.001,0.000,0.002,0.022,0.269,0.014,0.036,0.112,0.079
state,1,,99,Karnataka,2022,0.051,0.000,0.834,0.447,0.006,0.004,0.070,0.052,0.122,0.014,0.033,0.000,0.002,0.000,0.002,0.028,0.430,0.018,0.020,0.157,0.086
state_sector,0,rural,0,Kerala,2022,0.856,0.293,0.206,0.262,0.001,0.001,0.007,0.021,0.357,0.046,0.010,0.001,0.000,0.002,0.000,0.008,0.244,0.007,0.010,0.085,0.000
state_sector,1,rural,0,Kerala,2022,0.920,0.334,0.302,0.483,0.002,0.000,0.000,0.057,0.443,0.047,0.036,0.004,0.000,0.000,0.000,0.033,0.473,0.015,0.018,0.121,0.004
state_sector,0,urban,1,Kerala,2022,0.729,0.236,0.143,0.204,0.004,0.000,0.007,0.027,0.207,0.025,0.006,0.001,0.000,0.000,0.000,0.005,0.189,0.005,0.009,0.056,0.000
state_sector,1,urban,1,Kerala,2022,0.887,0.252,0.288,0.555,0.000,0.000,0.006,0.040,0.305,0.050,0.013,0.000,0.004,0.009,0.000,0.000,0.523,0.013,0.023,0.145,0.000
state,0,,99,Kerala,2022,0.797,0.267,0.177,0.235,0.002,0.001,0.007,0.024,0.288,0.036,0.008,0.001,0.000,0.001,0.000,0.006,0.219,0.006,0.009,0.072,0.000
state,1,,99,Kerala,2022,0.904,0.295,0.295,0.517,0.001,0.000,0.003,0.049,0.378,0.048,0.025,0.002,0.002,0.004,0.000,0.017,0.496,0.014,0.021,0.132,0.002
state_sector,0,rural,0,Ladakh,2022,0.885,0.372,0.283,0.364,0.004,0.927,0.007,0.006,0.674,0.068,0.074,0.000,0.000,0.000,0.000,0.074,0.360,0.040,0.041,0.127,0.004
state_sector,1,rural,0,Ladakh,2022,0.841,0.420,0.387,0.558,0.000,0.376,0.030,0.008,0.580,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.558,0.053,0.053,0.000,0.000
state_sector,0,urban,1,Ladakh,2022,0.796,0.135,0.082,0.110,0.000,0.726,0.004,0.012,0.706,0.024,0.016,0.000,0.000,0.000,0.003,0.013,0.088,0.017,0.019,0.012,0.000
state_sector,1,urban,1,Ladakh,2022,0.570,0.195,0.244,0.338,0.000,0.539,0.000,0.000,0.777,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.338,0.000,0.000,0.000,0.000
state,0,,99,Ladakh,2022,0.872,0.335,0.252,0.325,0.004,0.895,0.007,0.007,0.679,0.061,0.065,0.000,0.000,0.000,0.000,0.065,0.318,0.036,0.038,0.109,0.004
state,1,,99,Ladakh,2022,0.824,0.406,0.379,0.545,0.000,0.386,0.028,0.008,0.592,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.545,0.050,0.050,0.000,0.000
state_sector,0,rural,0,Lakshadweep,2022,0.815,0.144,0.199,0.598,0.010,0.000,0.000,0.061,0.018,0.000,0.011,0.000,0.000,0.000,0.008,0.004,0.588,0.285,0.150,0.349,0.295
state_sector,1,rural,0,Lakshadweep,2022,1.000,1.000,0.301,0.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.742,0.000,0.000,0.742,0.742
state_sector,0,urban,1,Lakshadweep,2022,0.899,0.000,0.103,0.628,0.002,0.000,0.001,0.025,0.085,0.004,0.038,0.000,0.003,0.000,0.013,0.023,0.624,0.287,0.026,0.456,0.298
state_sector,1,urban,1,Lakshadweep,2022,0.635,0.000,0.365,1.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.160,0.160,1.000,0.503
state,0,,99,Lakshadweep,2022,0.878,0.035,0.126,0.621,0.004,0.000,0.001,0.034,0.069,0.003,0.032,0.000,0.002,0.000,0.011,0.018,0.615,0.286,0.056,0.430,0.297
state,1,,99,Lakshadweep,2022,0.720,0.232,0.350,0.940,0.000,0.000,0.000,0.000,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,0.123,0.123,0.940,0.559
state_sector,0,rural,0,Madhya Pradesh,2022,0.574,0.015,0.377,0.363,0.001,0.150,0.272,0.106,0.471,0.019,0.019,0.000,0.000,0.001,0.007,0.011,0.355,0.011,0.004,0.052,0.006
state_sector,1,rural,0,Madhya Pradesh,2022,0.728,0.012,0.259,0.497,0.004,0.056,0.147,0.153,0.452,0.012,0.053,0.000,0.000,0.001,0.013,0.042,0.490,0.010,0.005,0.117,0.004
state_sector,0,urban,1,Madhya Pradesh,2022,0.308,0.006,0.112,0.117,0.001,0.235,0.160,0.063,0.240,0.017,0.006,0.000,0.000,0.000,0.002,0.004,0.115,0.004,0.003,0.009,0.002
state_sector,1,urban,1,Madhya Pradesh,2022,0.564,0.013,0.205,0.314,0.001,0.282,0.190,0.143,0.390,0.016,0.008,0.000,0.000,0.000,0.001,0.006,0.310,0.008,0.003,0.027,0.008
state,0,,99,Madhya Pradesh,2022,0.504,0.013,0.307,0.298,0.001,0.172,0.242,0.095,0.410,0.019,0.015,0.000,0.000,0.000,0.006,0.009,0.291,0.009,0.004,0.040,0.005
state,1,,99,Madhya Pradesh,2022,0.694,0.012,0.248,0.458,0.003,0.104,0.156,0.151,0.439,0.013,0.043,0.000,0.000,0.001,0.011,0.035,0.452,0.010,0.004,0.098,0.005
state_sector,0,rural,0,Maharashtra,2022,0.477,0.000,0.396,0.255,0.001,0.274,0.013,0.093,0.081,0.012,0.015,0.005,0.000,0.000,0.002,0.009,0.245,0.014,0.010,0.053,0.005
state_sector,1,rural,0,Maharashtra,2022,0.628,0.001,0.411,0.464,0.003,0.325,0.021,0.139,0.085,0.008,0.010,0.000,0.000,0.000,0.002,0.008,0.449,0.014,0.013,0.126,0.005
state_sector,0,urban,1,Maharashtra,2022,0.234,0.000,0.119,0.091,0.000,0.140,0.012,0.041,0.015,0.006,0.012,0.008,0.001,0.000,0.000,0.004,0.089,0.014,0.015,0.009,0.002
state_sector,1,urban,1,Maharashtra,2022,0.446,0.000,0.268,0.327,0.002,0.363,0.023,0.087,0.057,0.013,0.014,0.000,0.000,0.000,0.000,0.014,0.320,0.017,0.031,0.041,0.003
state,0,,99,Maharashtra,2022,0.363,0.000,0.267,0.178,0.001,0.211,0.013,0.068,0.050,0.009,0.014,0.006,0.000,0.000,0.001,0.006,0.172,0.014,0.013,0.032,0.004
state,1,,99,Maharashtra,2022,0.574,0.001,0.369,0.424,0.003,0.336,0.022,0.124,0.077,0.010,0.011,0.000,0.000,0.000,0.001,0.010,0.411,0.015,0.018,0.101,0.004
state_sector,0,rural,0,Manipur,2022,0.747,0.000,0.081,0.064,0.001,0.224,0.018,0.016,0.174,0.014,0.003,0.000,0.000,0.000,0.000,0.003,0.060,0.008,0.023,0.010,0.001
state_sector,1,rural,0,Manipur,2022,0.887,0.002,0.116,0.217,0.001,0.100,0.030,0.066,0.177,0.009,0.003,0.000,0.000,0.000,0.000,0.003,0.210,0.041,0.045,0.033,0.001
state_sector,0,urban,1,Manipur,2022,0.641,0.001,0.129,0.022,0.001,0.207,0.005,0.011,0.151,0.014,0.003,0.000,0.000,0.000,0.000,0.003,0.019,0.001,0.007,0.005,0.001
state_sector,1,urban,1,Manipur,2022,0.813,0.007,0.315,0.099,0.000,0.105,0.011,0.021,0.168,0.006,0.001,0.000,0.000,0.000,0.000,0.001,0.098,0.007,0.023,0.004,0.000
state,0,,99,Manipur,2022,0.716,0.000,0.095,0.052,0.001,0.219,0.014,0.015,0.167,0.014,0.003,0.000,0.000,0.000,0.000,0.003,0.048,0.006,0.018,0.009,0.001
state,1,,99,Manipur,2022,0.871,0.003,0.160,0.190,0.001,0.101,0.026,0.056,0.175,0.008,0.002,0.000,0.000,0.000,0.000,0.002,0.185,0.033,0.040,0.026,0.001
state_sector,0,rural,0,Meghalaya,2022,0.701,0.050,0.092,0.249,0.000,0.028,0.017,0.041,0.303,0.017,0.054,0.000,0.008,0.000,0.000,0.046,0.242,0.056,0.014,0.096,0.004
state_sector,1,rural,0,Meghalaya,2022,0.796,0.098,0.213,0.480,0.002,0.012,0.040,0.041,0.280,0.022,0.017,0.000,0.003,0.000,0.000,0.014,0.472,0.072,0.038,0.122,0.052
state_sector,0,urban,1,Meghalaya,2022,0.434,0.009,0.012,0.051,0.000,0.055,0.009,0.055,0.322,0.032,0.024,0.003,0.015,0.000,0.000,0.005,0.051,0.003,0.002,0.007,0.001
state_sector,1,urban,1,Meghalaya,2022,0.756,0.159,0.041,0.167,0.000,0.040,0.000,0.000,0.184,0.061,0.015,0.000,0.000,0.000,0.000,0.015,0.152,0.028,0.018,0.020,0.005
state,0,,99,Meghalaya,2022,0.649,0.042,0.076,0.210,0.000,0.033,0.015,0.043,0.306,0.020,0.048,0.001,0.009,0.000,0.000,0.038,0.205,0.046,0.011,0.079,0.004
state,1,,99,Meghalaya,2022,0.794,0.101,0.205,0.466,0.001,0.013,0.039,0.039,0.276,0.024,0.017,0.000,0.003,0.000,0.000,0.014,0.458,0.070,0.037,0.118,0.050
state_sector,0,rural,0,Mizoram,2022,0.882,0.081,0.161,0.185,0.000,0.687,0.008,0.040,0.004,0.003,0.007,0.000,0.000,0.000,0.000,0.007,0.182,0.032,0.023,0.005,0.000
state_sector,1,rural,0,Mizoram,2022,0.944,0.126,0.114,0.253,0.000,0.579,0.008,0.005,0.029,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.062,0.068,0.000,0.000
state_sector,0,urban,1,Mizoram,2022,0.942,0.047,0.100,0.050,0.000,0.727,0.007,0.076,0.020,0.006,0.001,0.000,0.000,0.000,0.000,0.001,0.046,0.004,0.005,0.002,0.002
state_sector,1,urban,1,Mizoram,2022,0.958,0.068,0.060,0.125,0.000,0.872,0.000,0.000,0.038,0.038,0.020,0.000,0.000,0.000,0.000,0.020,0.125,0.011,0.022,0.012,0.000
state,0,,99,Mizoram,2022,0.910,0.065,0.132,0.121,0.000,0.706,0.007,0.057,0.012,0.004,0.004,0.000,0.000,0.000,0.000,0.004,0.118,0.019,0.014,0.003,0.001
state,1,,99,Mizoram,2022,0.947,0.114,0.103,0.227,0.000,0.638,0.007,0.004,0.031,0.023,0.004,0.000,0.000,0.000,0.000,0.004,0.216,0.052,0.059,0.002,0.000
state_sector,0,rural,0,Nagaland,2022,0.484,0.000,0.477,0.196,0.000,0.080,0.001,0.001,0.300,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.015,0.027,0.006,0.000
state_sector,1,rural,0,Nagaland,2022,0.478,0.000,0.341,0.470,0.001,0.050,0.001,0.000,0.334,0.013,0.046,0.000,0.000,0.000,0.000,0.046,0.450,0.042,0.082,0.045,0.000
state_sector,0,urban,1,Nagaland,2022,0.391,0.005,0.415,0.064,0.000,0.146,0.005,0.005,0.173,0.013,0.003,0.000,0.000,0.000,0.000,0.003,0.060,0.000,0.010,0.004,0.002
state_sector,1,urban,1,Nagaland,2022,0.356,0.000,0.242,0.246,0.000,0.174,0.007,0.000,0.120,0.017,0.005,0.000,0.000,0.000,0.000,0.005,0.234,0.005,0.000,0.000,0.000
state,0,,99,Nagaland,2022,0.454,0.002,0.457,0.153,0.000,0.101,0.002,0.002,0.260,0.010,0.001,0.000,0.000,0.000,0.000,0.001,0.144,0.010,0.022,0.005,0.001
state,1,,99,Nagaland,2022,0.469,0.000,0.333,0.453,0.001,0.059,0.002,0.000,0.318,0.013,0.043,0.000,0.000,0.000,0.000,0.043,0.434,0.039,0.076,0.042,0.000
state_sector,0,rural,0,Odisha,2022,0.529,0.083,0.415,0.385,0.005,0.259,0.025,0.054,0.591,0.024,0.062,0.000,0.000,0.000,0.025,0.039,0.366,0.007,0.007,0.244,0.234
state_sector,1,rural,0,Odisha,2022,0.743,0.076,0.361,0.522,0.008,0.077,0.025,0.044,0.629,0.016,0.042,0.000,0.000,0.001,0.012,0.029,0.498,0.007,0.018,0.200,0.183
state_sector,0,urban,1,Odisha,2022,0.310,0.010,0.185,0.179,0.001,0.437,0.016,0.031,0.270,0.013,0.022,0.000,0.000,0.000,0.004,0.019,0.164,0.001,0.004,0.098,0.093
state_sector,1,urban,1,Odisha,2022,0.636,0.029,0.320,0.431,0.000,0.206,0.010,0.035,0.505,0.021,0.025,0.000,0.000,0.000,0.005,0.020,0.407,0.004,0.016,0.186,0.175
state,0,,99,Odisha,2022,0.490,0.070,0.374,0.348,0.005,0.290,0.023,0.050,0.534,0.022,0.055,0.000,0.000,0.000,0.022,0.035,0.330,0.006,0.006,0.218,0.209
state,1,,99,Odisha,2022,0.733,0.071,0.357,0.513,0.008,0.089,0.023,0.043,0.618,0.016,0.041,0.000,0.000,0.000,0.012,0.028,0.489,0.007,0.018,0.199,0.183
state_sector,0,rural,0,Puducherry,2022,0.202,0.000,0.340,0.267,0.000,0.902,0.048,0.009,0.080,0.000,0.011,0.000,0.000,0.000,0.004,0.008,0.252,0.032,0.004,0.034,0.007
state_sector,1,rural,0,Puducherry,2022,0.242,0.000,0.645,0.791,0.000,0.906,0.242,0.000,0.075,0.000,0.292,0.000,0.000,0.000,0.179,0.292,0.791,0.179,0.000,0.292,0.000
state_sector,0,urban,1,Puducherry,2022,0.099,0.000,0.126,0.148,0.000,0.874,0.024,0.016,0.055,0.003,0.019,0.005,0.000,0.000,0.005,0.017,0.143,0.016,0.008,0.022,0.004
state_sector,1,urban,1,Puducherry,2022,0.162,0.000,0.473,0.379,0.000,0.299,0.000,0.000,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.000,0.000,0.078,0.000
state,0,,99,Puducherry,2022,0.134,0.000,0.199,0.188,0.000,0.884,0.032,0.013,0.064,0.002,0.016,0.003,0.000,0.000,0.004,0.014,0.180,0.021,0.006,0.026,0.005
state,1,,99,Puducherry,2022,0.179,0.000,0.509,0.464,0.000,0.424,0.050,0.000,0.121,0.000,0.060,0.000,0.000,0.000,0.037,0.060,0.464,0.037,0.000,0.123,0.000
state_sector,0,rural,0,Punjab,2022,0.395,0.000,0.193,0.226,0.001,0.451,0.784,0.077,0.126,0.012,0.009,0.000,0.000,0.001,0.000,0.008,0.199,0.018,0.083,0.057,0.042
state_sector,1,rural,0,Punjab,2022,0.443,0.022,0.262,0.421,0.003,0.310,0.780,0.129,0.112,0.009,0.031,0.000,0.000,0.000,0.004,0.026,0.384,0.042,0.091,0.084,0.053
state_sector,0,urban,1,Punjab,2022,0.185,0.000,0.146,0.109,0.001,0.439,0.703,0.018,0.052,0.008,0.001,0.000,0.000,0.000,0.000,0.001,0.101,0.003,0.032,0.012,0.006
state_sector,1,urban,1,Punjab,2022,0.272,0.000,0.215,0.285,0.004,0.352,0.705,0.030,0.082,0.022,0.005,0.000,0.000,0.000,0.000,0.005,0.285,0.051,0.050,0.021,0.005
state,0,,99,Punjab,2022,0.321,0.000,0.176,0.184,0.001,0.447,0.755,0.056,0.100,0.011,0.006,0.000,0.000,0.001,0.000,0.006,0.164,0.013,0.065,0.041,0.029
state,1,,99,Punjab,2022,0.381,0.014,0.245,0.372,0.003,0.325,0.753,0.093,0.101,0.014,0.021,0.000,0.000,0.000,0.003,0.019,0.348,0.045,0.076,0.061,0.036
state_sector,0,rural,0,Rajasthan,2022,0.406,0.000,0.429,0.372,0.001,0.060,0.752,0.167,0.327,0.068,0.010,0.000,0.000,0.000,0.007,0.003,0.361,0.008,0.002,0.076,0.002
state_sector,1,rural,0,Rajasthan,2022,0.407,0.000,0.602,0.533,0.003,0.071,0.782,0.110,0.465,0.062,0.010,0.000,0.000,0.000,0.009,0.000,0.517,0.005,0.002,0.092,0.005
state_sector,0,urban,1,Rajasthan,2022,0.218,0.000,0.178,0.102,0.000,0.058,0.642,0.062,0.239,0.050,0.003,0.000,0.000,0.000,0.002,0.001,0.099,0.002,0.002,0.011,0.000
state_sector,1,urban,1,Rajasthan,2022,0.345,0.000,0.404,0.286,0.004,0.097,0.568,0.145,0.320,0.060,0.009,0.000,0.000,0.000,0.002,0.007,0.277,0.014,0.020,0.050,0.000
state,0,,99,Rajasthan,2022,0.356,0.000,0.362,0.299,0.001,0.059,0.723,0.139,0.304,0.063,0.008,0.000,0.000,0.000,0.006,0.002,0.291,0.007,0.002,0.059,0.001
state,1,,99,Rajasthan,2022,0.398,0.000,0.573,0.497,0.003,0.075,0.750,0.115,0.443,0.062,0.010,0.000,0.000,0.000,0.008,0.001,0.482,0.006,0.005,0.086,0.004
state_sector,0,rural,0,Sikkim,2022,0.505,0.001,0.443,0.227,0.001,0.336,0.244,0.000,0.029,0.011,0.004,0.004,0.000,0.000,0.000,0.000,0.224,0.002,0.034,0.002,0.001
state_sector,1,rural,0,Sikkim,2022,0.728,0.000,0.306,0.405,0.000,0.358,0.537,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.405,0.000,0.000,0.000,0.000
state_sector,0,urban,1,Sikkim,2022,0.245,0.000,0.104,0.115,0.000,0.266,0.016,0.001,0.005,0.004,0.007,0.000,0.000,0.000,0.000,0.007,0.115,0.000,0.011,0.000,0.000
state_sector,1,urban,1,Sikkim,2022,0.484,0.000,0.108,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
state,0,,99,Sikkim,2022,0.433,0.001,0.349,0.196,0.001,0.317,0.182,0.000,0.022,0.009,0.005,0.003,0.000,0.000,0.000,0.002,0.194,0.001,0.028,0.002,0.001
state,1,,99,Sikkim,2022,0.694,0.000,0.278,0.348,0.000,0.326,0.461,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.348,0.000,0.000,0.000,0.000
state_sector,0,rural,0,Tamil Nadu,2022,0.946,0.386,0.745,0.337,0.042,0.321,0.841,0.029,0.196,0.025,0.117,0.005,0.000,0.001,0.015,0.104,0.310,0.183,0.212,0.197,0.094
state_sector,1,rural,0,Tamil Nadu,2022,0.959,0.515,0.591,0.527,0.017,0.222,0.684,0.017,0.154,0.011,0.105,0.005,0.000,0.000,0.016,0.093,0.514,0.329,0.403,0.172,0.111
state_sector,0,urban,1,Tamil Nadu,2022,0.836,0.114,0.663,0.172,0.017,0.359,0.807,0.021,0.102,0.012,0.053,0.002,0.000,0.002,0.007,0.044,0.149,0.086,0.106,0.085,0.038
state_sector,1,urban,1,Tamil Nadu,2022,0.888,0.248,0.560,0.340,0.004,0.299,0.672,0.023,0.113,0.011,0.056,0.004,0.000,0.000,0.019,0.047,0.313,0.194,0.230,0.131,0.075
state,0,,99,Tamil Nadu,2022,0.895,0.260,0.707,0.261,0.030,0.339,0.825,0.025,0.153,0.019,0.087,0.003,0.000,0.001,0.011,0.076,0.236,0.138,0.163,0.145,0.068
state,1,,99,Tamil Nadu,2022,0.935,0.424,0.580,0.463,0.013,0.248,0.680,0.019,0.140,0.011,0.088,0.005,0.000,0.000,0.017,0.077,0.445,0.283,0.344,0.158,0.099
state_sector,0,rural,0,Telangana,2022,0.245,0.000,0.703,0.260,0.002,0.718,0.037,0.133,0.243,0.016,0.097,0.000,0.000,0.000,0.000,0.097,0.250,0.034,0.030,0.070,0.020
state_sector,1,rural,0,Telangana,2022,0.312,0.000,0.689,0.394,0.011,0.527,0.051,0.097,0.273,0.013,0.048,0.000,0.000,0.000,0.000,0.048,0.387,0.016,0.017,0.064,0.012
state_sector,0,urban,1,Telangana,2022,0.162,0.000,0.379,0.080,0.001,0.653,0.010,0.066,0.181,0.008,0.053,0.000,0.000,0.000,0.000,0.053,0.071,0.007,0.007,0.019,0.003
state_sector,1,urban,1,Telangana,2022,0.149,0.000,0.669,0.297,0.000,0.739,0.004,0.119,0.224,0.010,0.050,0.000,0.000,0.000,0.000,0.050,0.285,0.017,0.019,0.021,0.000
state,0,,99,Telangana,2022,0.207,0.000,0.555,0.178,0.002,0.689,0.025,0.102,0.214,0.012,0.077,0.000,0.000,0.000,0.000,0.077,0.168,0.022,0.019,0.047,0.013
state,1,,99,Telangana,2022,0.265,0.000,0.683,0.366,0.008,0.588,0.037,0.104,0.259,0.012,0.048,0.000,0.000,0.000,0.000,0.048,0.358,0.016,0.017,0.051,0.008
state_sector,0,rural,0,Tripura,2022,0.975,0.521,0.616,0.390,0.000,0.080,0.009,0.052,0.405,0.036,0.004,0.000,0.000,0.000,0.004,0.001,0.389,0.017,0.036,0.001,0.000
state_sector,1,rural,0,Tripura,2022,0.938,0.781,0.670,0.538,0.000,0.031,0.007,0.018,0.456,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.538,0.000,0.009,0.000,0.000
state_sector,0,urban,1,Tripura,2022,0.936,0.275,0.434,0.268,0.000,0.112,0.009,0.036,0.306,0.023,0.005,0.000,0.000,0.000,0.004,0.001,0.268,0.004,0.020,0.000,0.000
state_sector,1,urban,1,Tripura,2022,0.877,0.644,0.712,0.171,0.000,0.000,0.000,0.000,0.488,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.171,0.000,0.000,0.000,0.000
state,0,,99,Tripura,2022,0.967,0.468,0.576,0.364,0.000,0.087,0.009,0.049,0.383,0.033,0.004,0.000,0.000,0.000,0.004,0.001,0.363,0.014,0.033,0.001,0.000
state,1,,99,Tripura,2022,0.935,0.773,0.672,0.517,0.000,0.029,0.006,0.017,0.458,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.517,0.000,0.009,0.000,0.000
state_sector,0,rural,0,Uttar Pradesh,2022,0.312,0.000,0.621,0.186,0.001,0.224,0.011,0.097,0.055,0.005,0.010,0.000,0.001,0.003,0.000,0.006,0.178,0.021,0.110,0.017,0.015
