group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
sector_state,2011,rural,Himachal Pradesh,,,,,99,0.63,0.1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Himachal Pradesh,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Himachal Pradesh,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Himachal Pradesh,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Himachal Pradesh,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Himachal Pradesh,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Himachal Pradesh,,,,,99,0.91,0.3,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Himachal Pradesh,,1,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Himachal Pradesh,,2,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Himachal Pradesh,,3,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Himachal Pradesh,,4,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Himachal Pradesh,,5,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Jammu & Kashmir,,,,,99,0.94,0.66,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jammu & Kashmir,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jammu & Kashmir,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jammu & Kashmir,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jammu & Kashmir,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jammu & Kashmir,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Jammu & Kashmir,,,,,99,0.86,0.33,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jammu & Kashmir,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jammu & Kashmir,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jammu & Kashmir,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jammu & Kashmir,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jammu & Kashmir,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Jammu & Kashmir,,,,,99,0.92,0.58,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jammu & Kashmir,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jammu & Kashmir,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jammu & Kashmir,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jammu & Kashmir,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jammu & Kashmir,,5,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Jharkhand,,,,,99,0.35,0.66,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jharkhand,1,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jharkhand,2,,,,2,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jharkhand,3,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jharkhand,4,,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Jharkhand,5,,,,5,0,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Jharkhand,,,,,99,0.07,0.26,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jharkhand,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jharkhand,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jharkhand,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jharkhand,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Jharkhand,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Jharkhand,,,,,99,0.29,0.57,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jharkhand,,1,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jharkhand,,2,,,2,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jharkhand,,3,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jharkhand,,4,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Jharkhand,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Karnataka,,,,,99,0.77,0.81,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Karnataka,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Karnataka,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Karnataka,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Karnataka,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Karnataka,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Karnataka,,,,,99,0.41,0.33,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Karnataka,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Karnataka,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Karnataka,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Karnataka,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Karnataka,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Karnataka,,,,,99,0.65,0.65,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Karnataka,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Karnataka,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Karnataka,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Karnataka,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Karnataka,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Kerala,,,,,99,0.85,0.79,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Kerala,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Kerala,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Kerala,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Kerala,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Kerala,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Kerala,,,,,99,0.73,0.63,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Kerala,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Kerala,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Kerala,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Kerala,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Kerala,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Kerala,,,,,99,0.82,0.75,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Kerala,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Kerala,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Kerala,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Kerala,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Kerala,,5,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Ladakh,,,,,99,0.99,0.84,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Ladakh,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Ladakh,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Ladakh,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Ladakh,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Ladakh,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Ladakh,,,,,99,0.94,0.65,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Ladakh,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Ladakh,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Ladakh,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Ladakh,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Ladakh,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Ladakh,,,,,99,0.98,0.81,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Ladakh,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Ladakh,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Ladakh,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Ladakh,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Ladakh,,5,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Lakshadweep,,,,,99,0.99,0.99,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Lakshadweep,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Lakshadweep,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Lakshadweep,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Lakshadweep,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Lakshadweep,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Lakshadweep,,,,,99,0.96,0.83,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Lakshadweep,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Lakshadweep,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Lakshadweep,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Lakshadweep,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Lakshadweep,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Lakshadweep,,,,,99,0.97,0.91,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Lakshadweep,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Lakshadweep,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Lakshadweep,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Lakshadweep,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Lakshadweep,,5,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Madhya Pradesh,,,,,99,0.42,0.74,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Madhya Pradesh,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Madhya Pradesh,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Madhya Pradesh,3,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Madhya Pradesh,4,,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Madhya Pradesh,5,,,,5,0,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Madhya Pradesh,,,,,99,0.3,0.37,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Madhya Pradesh,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Madhya Pradesh,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Madhya Pradesh,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Madhya Pradesh,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Madhya Pradesh,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Madhya Pradesh,,,,,99,0.39,0.64,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Madhya Pradesh,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Madhya Pradesh,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Madhya Pradesh,,3,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Madhya Pradesh,,4,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Madhya Pradesh,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Maharashtra,,,,,99,0.49,0.67,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Maharashtra,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Maharashtra,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Maharashtra,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Maharashtra,4,,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Maharashtra,5,,,,5,0,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Maharashtra,,,,,99,0.14,0.21,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Maharashtra,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Maharashtra,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Maharashtra,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Maharashtra,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Maharashtra,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Maharashtra,,,,,99,0.33,0.47,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Maharashtra,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Maharashtra,,2,,,2,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Maharashtra,,3,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Maharashtra,,4,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Maharashtra,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Manipur,,,,,99,0.11,0.36,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Manipur,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Manipur,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Manipur,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Manipur,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Manipur,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Manipur,,,,,99,0.07,0.3,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Manipur,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Manipur,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Manipur,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Manipur,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Manipur,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Manipur,,,,,99,0.1,0.34,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Manipur,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Manipur,,2,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Manipur,,3,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Manipur,,4,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Manipur,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Meghalaya,,,,,99,0.78,0.59,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Meghalaya,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Meghalaya,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Meghalaya,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Meghalaya,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Meghalaya,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Meghalaya,,,,,99,0.39,0.1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Meghalaya,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Meghalaya,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Meghalaya,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Meghalaya,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Meghalaya,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Meghalaya,,,,,99,0.7,0.5,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Meghalaya,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Meghalaya,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Meghalaya,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Meghalaya,,4,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Meghalaya,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Mizoram,,,,,99,0.98,0.48,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Mizoram,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Mizoram,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Mizoram,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Mizoram,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Mizoram,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Mizoram,,,,,99,0.95,0.41,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Mizoram,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Mizoram,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Mizoram,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Mizoram,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Mizoram,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Mizoram,,,,,99,0.97,0.44,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Mizoram,,1,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Mizoram,,2,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Mizoram,,3,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Mizoram,,4,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Mizoram,,5,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Nagaland,,,,,99,0.17,0.07,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Nagaland,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Nagaland,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Nagaland,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Nagaland,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Nagaland,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Nagaland,,,,,99,0.11,0.03,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Nagaland,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Nagaland,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Nagaland,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Nagaland,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Nagaland,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Nagaland,,,,,99,0.15,0.06,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Nagaland,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Nagaland,,2,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Nagaland,,3,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Nagaland,,4,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Nagaland,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Odisha,,,,,99,0.68,0.8,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Odisha,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Odisha,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Odisha,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Odisha,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Odisha,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Odisha,,,,,99,0.36,0.44,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Odisha,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Odisha,2,,,,2,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Odisha,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Odisha,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Odisha,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Odisha,,,,,99,0.63,0.75,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Odisha,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Odisha,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Odisha,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Odisha,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Odisha,,5,,,5,0,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Puducherry,,,,,99,0.8,0.32,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Puducherry,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Puducherry,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Puducherry,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Puducherry,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Puducherry,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Puducherry,,,,,99,0.82,0.23,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Puducherry,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Puducherry,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Puducherry,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Puducherry,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Puducherry,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Puducherry,,,,,99,0.81,0.26,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Puducherry,,1,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Puducherry,,2,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Puducherry,,3,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Puducherry,,4,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Puducherry,,5,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Punjab,,,,,99,0.24,0.19,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Punjab,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Punjab,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Punjab,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
