group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
state_quint,2011,All,Assam,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Assam,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Assam,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Assam,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Assam,,5,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Bihar,,,,,99,0.46,0.9,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Bihar,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Bihar,2,,,,2,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Bihar,3,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Bihar,4,,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Bihar,5,,,,5,0,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Bihar,,,,,99,0.24,0.56,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Bihar,1,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Bihar,2,,,,2,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Bihar,3,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Bihar,4,,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Bihar,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Bihar,,,,,99,0.43,0.86,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Bihar,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Bihar,,2,,,2,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Bihar,,3,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Bihar,,4,,,4,0,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Bihar,,5,,,5,0,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Chandigarh,,,,,99,0.08,0.06,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chandigarh,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chandigarh,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
