poor_420,sector,sectorname,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
0,1,Urban,Odisha,2022,0.31,0.01,0.185,0.179,0.001,0.437,0.016,0.031,0.27,0.013,0.022,0,0,0,0.004,0.019,0.164,0.001,0.004,0.098,0.093
1,1,Urban,Odisha,2022,0.636,0.029,0.32,0.431,0,0.206,0.01,0.035,0.505,0.021,0.025,0,0,0,0.005,0.02,0.407,0.004,0.016,0.186,0.175
0,99,All,Odisha,2022,0.49,0.07,0.374,0.348,0.005,0.29,0.023,0.05,0.534,0.022,0.055,0,0,0,0.022,0.035,0.33,0.006,0.006,0.218,0.209
1,99,All,Odisha,2022,0.733,0.071,0.357,0.513,0.008,0.089,0.023,0.043,0.618,0.016,0.041,0,0,0,0.012,0.028,0.489,0.007,0.018,0.199,0.183
0,1,Urban,Odisha,2011,0.55644029,0.73985681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Odisha,2011,0.71021163,0.820004618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Odisha,2011,0.18937263,0.244197852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Odisha,2011,0.49882486,0.610263469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Odisha,2011,0.45485637,0.602685985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Odisha,2011,0.6876387,0.797607384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Puducherry,2022,0.202,0,0.34,0.267,0,0.902,0.048,0.009,0.08,0,0.011,0,0,0,0.004,0.008,0.252,0.032,0.004,0.034,0.007
1,0,Rural,Puducherry,2022,0.242,0,0.645,0.791,0,0.906,0.242,0,0.075,0,0.292,0,0,0,0.179,0.292,0.791,0.179,0,0.292,0
0,1,Urban,Puducherry,2022,0.099,0,0.126,0.148,0,0.874,0.024,0.016,0.055,0.003,0.019,0.005,0,0,0.005,0.017,0.143,0.016,0.008,0.022,0.004
1,1,Urban,Puducherry,2022,0.162,0,0.473,0.379,0,0.299,0,0,0.132,0,0,0,0,0,0,0,0.379,0,0,0.078,0
0,99,All,Puducherry,2022,0.134,0,0.199,0.188,0,0.884,0.032,0.013,0.064,0.002,0.016,0.003,0,0,0.004,0.014,0.18,0.021,0.006,0.026,0.005
1,99,All,Puducherry,2022,0.179,0,0.509,0.464,0,0.424,0.05,0,0.121,0,0.06,0,0,0,0.037,0.06,0.464,0.037,0,0.123,0
0,1,Urban,Puducherry,2011,0.79658914,0.355455999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Puducherry,2011,0.80083573,0.179009771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Puducherry,2011,0.80949521,0.212813992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Puducherry,2011,0.90751237,0.3720565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Puducherry,2011,0.80511379,0.261238757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Puducherry,2011,0.85197091,0.271546276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Punjab,2022,0.395,0,0.193,0.226,0.001,0.451,0.784,0.077,0.126,0.012,0.009,0,0,0.001,0,0.008,0.199,0.018,0.083,0.057,0.042
1,0,Rural,Punjab,2022,0.443,0.022,0.262,0.421,0.003,0.31,0.78,0.129,0.112,0.009,0.031,0,0,0,0.004,0.026,0.384,0.042,0.091,0.084,0.053
0,1,Urban,Punjab,2022,0.185,0,0.146,0.109,0.001,0.439,0.703,0.018,0.052,0.008,0.001,0,0,0,0,0.001,0.101,0.003,0.032,0.012,0.006
1,1,Urban,Punjab,2022,0.272,0,0.215,0.285,0.004,0.352,0.705,0.03,0.082,0.022,0.005,0,0,0,0,0.005,0.285,0.051,0.05,0.021,0.005
0,99,All,Punjab,2022,0.321,0,0.176,0.184,0.001,0.447,0.755,0.056,0.1,0.011,0.006,0,0,0.001,0,0.006,0.164,0.013,0.065,0.041,0.029
1,99,All,Punjab,2022,0.381,0.014,0.245,0.372,0.003,0.325,0.753,0.093,0.101,0.014,0.021,0,0,0,0.003,0.019,0.348,0.045,0.076,0.061,0.036
0,1,Urban,Punjab,2011,0.14439753,0.139793848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Punjab,2011,0.42386281,0.274682579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Punjab,2011,0.03945883,0.019813741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Punjab,2011,0.19916701,0.105167312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Punjab,2011,0.10511162,0.094876894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Punjab,2011,0.34430781,0.21466459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Rajasthan,2022,0.406,0,0.429,0.372,0.001,0.06,0.752,0.167,0.327,0.068,0.01,0,0,0,0.007,0.003,0.361,0.008,0.002,0.076,0.002
1,0,Rural,Rajasthan,2022,0.407,0,0.602,0.533,0.003,0.071,0.782,0.11,0.465,0.062,0.01,0,0,0,0.009,0,0.517,0.005,0.002,0.092,0.005
0,1,Urban,Rajasthan,2022,0.218,0,0.178,0.102,0,0.058,0.642,0.062,0.239,0.05,0.003,0,0,0,0.002,0.001,0.099,0.002,0.002,0.011,0
1,1,Urban,Rajasthan,2022,0.345,0,0.404,0.286,0.004,0.097,0.568,0.145,0.32,0.06,0.009,0,0,0,0.002,0.007,0.277,0.014,0.02,0.05,0
0,99,All,Rajasthan,2022,0.356,0,0.362,0.299,0.001,0.059,0.723,0.139,0.304,0.063,0.008,0,0,0,0.006,0.002,0.291,0.007,0.002,0.059,0.001
1,99,All,Rajasthan,2022,0.398,0,0.573,0.497,0.003,0.075,0.75,0.115,0.443,0.062,0.01,0,0,0,0.008,0.001,0.482,0.006,0.005,0.086,0.004
0,1,Urban,Rajasthan,2011,0.1932527,0.727058549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Rajasthan,2011,0.34994859,0.84265042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Rajasthan,2011,0.13077262,0.118039274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Rajasthan,2011,0.32640183,0.420077644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Rajasthan,2011,0.17431265,0.542442106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Rajasthan,2011,0.34591857,0.770327034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
