,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
152,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Tripura,NA,NA,Total,NA,NA,NA,NA
153,5392.65,NA,2017,State,All,All,1,state_quint,2017,99,NA,Meghalaya,1,NA,Total,NA,NA,NA,NA
154,8831,NA,2017,State,All,All,2,state_quint,2017,99,NA,Meghalaya,2,NA,Total,NA,NA,NA,NA
155,11443.02,NA,2017,State,All,All,3,state_quint,2017,99,NA,Meghalaya,3,NA,Total,NA,NA,NA,NA
156,14752.89,NA,2017,State,All,All,4,state_quint,2017,99,NA,Meghalaya,4,NA,Total,NA,NA,NA,NA
157,28597.5,NA,2017,State,All,All,5,state_quint,2017,99,NA,Meghalaya,5,NA,Total,NA,NA,NA,NA
158,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Meghalaya,NA,NA,Total,NA,NA,NA,NA
159,5403.57,NA,2017,State,All,All,1,state_quint,2017,99,NA,Assam,1,NA,Total,NA,NA,NA,NA
160,8829.88,NA,2017,State,All,All,2,state_quint,2017,99,NA,Assam,2,NA,Total,NA,NA,NA,NA
161,11285.82,NA,2017,State,All,All,3,state_quint,2017,99,NA,Assam,3,NA,Total,NA,NA,NA,NA
162,14245.9,NA,2017,State,All,All,4,state_quint,2017,99,NA,Assam,4,NA,Total,NA,NA,NA,NA
163,27236.01,NA,2017,State,All,All,5,state_quint,2017,99,NA,Assam,5,NA,Total,NA,NA,NA,NA
164,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Assam,NA,NA,Total,NA,NA,NA,NA
165,2698.26,NA,2017,State,All,All,1,state_quint,2017,99,NA,West Bengal,1,NA,Total,NA,NA,NA,NA
166,5396.51,NA,2017,State,All,All,2,state_quint,2017,99,NA,West Bengal,2,NA,Total,NA,NA,NA,NA
167,7571.97,NA,2017,State,All,All,3,state_quint,2017,99,NA,West Bengal,3,NA,Total,NA,NA,NA,NA
168,10241.28,NA,2017,State,All,All,4,state_quint,2017,99,NA,West Bengal,4,NA,Total,NA,NA,NA,NA
169,17026.91,NA,2017,State,All,All,5,state_quint,2017,99,NA,West Bengal,5,NA,Total,NA,NA,NA,NA
170,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,West Bengal,NA,NA,Total,NA,NA,NA,NA
171,3301.91,NA,2017,State,All,All,1,state_quint,2017,99,NA,Jharkhand,1,NA,Total,NA,NA,NA,NA
172,6268.96,NA,2017,State,All,All,2,state_quint,2017,99,NA,Jharkhand,2,NA,Total,NA,NA,NA,NA
173,8003.11,NA,2017,State,All,All,3,state_quint,2017,99,NA,Jharkhand,3,NA,Total,NA,NA,NA,NA
174,10507.22,NA,2017,State,All,All,4,state_quint,2017,99,NA,Jharkhand,4,NA,Total,NA,NA,NA,NA
