,urban,sector,sector_type,year,state,dem,working_age,age_cohort,edu_cat_1,edu_cat_2,edu_cat_3,edu_cat_4,edu_cat_female_1,edu_cat_female_2,edu_cat_female_3,edu_cat_female_4,edu_cat_male_1,edu_cat_male_2,edu_cat_male_3,edu_cat_male_4,vocat1,vocat1_female,vocat1_male
5946,.,99,All,2017,Sikkim,All,NA,NA,0.281392187,0.421793401,0.205583259,0.09123116,0.157392889,0.193922102,0.095124066,0.038664851,0.12399929,0.227871314,0.110459194,0.052566305,0.028842248,0.012885666,0.015956583
5991,0,0,Rural,2017,Sikkim,All,NA,NA,0.307973266,0.442097485,0.188399717,0.06152954,0.173557162,0.211757392,0.083062761,0.025539272,0.134416103,0.230340093,0.105336964,0.035990268,0.02657837,0.015275902,0.011302467
5992,1,1,Urban,2017,Sikkim,All,NA,NA,0.209638342,0.36698395,0.251969039,0.171408638,0.113758549,0.145776957,0.127682745,0.074096456,0.095879801,0.221207008,0.124286301,0.097312182,0.034953434,0.006433386,0.02852005
171,.,99,All,2023,Tamil Nadu,Age,NA,15 to 29,0.008540897,0.152748495,0.486254096,0.35245654,0.005398743,0.075508989,0.241483524,0.179891601,0.003142154,0.077239506,0.244770557,0.172564924,0.239600271,0.073973782,0.165626496
172,.,99,All,2023,Tamil Nadu,Age,NA,30 to 44,0.084778778,0.377254516,0.237135515,0.300831199,0.053034641,0.194463775,0.13021791,0.13354291,0.031744137,0.182790726,0.106917597,0.167288288,0.393548965,0.119838737,0.273710221
173,.,99,All,2023,Tamil Nadu,Age,NA,45 to 64,0.374906301,0.383770674,0.141643196,0.09967982,0.249209329,0.192294985,0.060810111,0.035155013,0.125696972,0.191475689,0.080833085,0.064524807,0.229234755,0.071445867,0.157788888
174,.,99,All,2023,Tamil Nadu,Age,NA,65 and above,0.591019332,0.24645187,0.105972998,0.056555826,0.36717841,0.104411028,0.041239422,0.015017302,0.223840907,0.142040849,0.064733572,0.041538522,0,0,0
175,.,99,All,2023,Tamil Nadu,Age,NA,NA,0.63081795,0.367899239,0.001282822,0,0.305750996,0.172544062,0.000550398,0,0.325066954,0.195355162,0.000732424,0,0.001066061,0,0.001066061
496,0,0,Rural,2023,Tamil Nadu,Age,NA,15 to 29,0.008379481,0.162962109,0.527800202,0.3008582,0.005840566,0.082511283,0.252379835,0.148103029,0.002538915,0.080450818,0.275420398,0.152755156,0.245800838,0.066813,0.178987846
497,0,0,Rural,2023,Tamil Nadu,Age,NA,30 to 44,0.0983935,0.431578994,0.250424564,0.219602942,0.06496577,0.224625945,0.137882158,0.086792976,0.03342773,0.206953034,0.112542406,0.132809982,0.370802194,0.107531168,0.263271034
498,0,0,Rural,2023,Tamil Nadu,Age,NA,45 to 64,0.471662551,0.387123406,0.104593381,0.036620647,0.3117176,0.178534895,0.042947277,0.011407357,0.159944966,0.208588526,0.0616461,0.02521329,0.208941564,0.07635168,0.132589892
499,0,0,Rural,2023,Tamil Nadu,Age,NA,65 and above,0.717537701,0.205717221,0.063929185,0.012815899,0.431542248,0.074131295,0.019683013,0.000481879,0.285995424,0.131585926,0.044246174,0.01233402,0,0,0
500,0,0,Rural,2023,Tamil Nadu,Age,NA,NA,0.612675726,0.386650294,0.000673985,0,0.289652556,0.170276642,0.000440596,0,0.32302317,0.216373652,0.000233389,0,0.001451222,0,0.001451222
501,1,1,Urban,2023,Tamil Nadu,Age,NA,15 to 29,0.008726628,0.140996322,0.438449532,0.411827505,0.004890365,0.067451879,0.228945822,0.216468722,0.003836263,0.073544443,0.20950371,0.195358798,0.23246567,0.082213245,0.150252417
502,1,1,Urban,2023,Tamil Nadu,Age,NA,30 to 44,0.069322459,0.315581828,0.222048908,0.393046796,0.039489646,0.160221711,0.121516965,0.18661648,0.02983281,0.155360103,0.100531943,0.206430316,0.419372559,0.133811101,0.285561472
503,1,1,Urban,2023,Tamil Nadu,Age,NA,45 to 64,0.257264972,0.379694253,0.186690316,0.176350474,0.173208505,0.209025234,0.082528681,0.064028665,0.084056467,0.170669004,0.104161628,0.112321816,0.253908277,0.065481119,0.18842715
504,1,1,Urban,2023,Tamil Nadu,Age,NA,65 and above,0.426780015,0.299331367,0.16055198,0.113336615,0.283624768,0.143718526,0.069222778,0.033886395,0.143155277,0.155612856,0.091329202,0.07945022,0,0,0
505,1,1,Urban,2023,Tamil Nadu,Age,NA,NA,0.652406633,0.345586061,0.002007319,0,0.324907631,0.17524223,0.000681059,0,0.327498972,0.170343831,0.00132626,0,0.000607732,0,0.000607732
784,.,99,All,2023,Tamil Nadu,All,NA,NA,0.29690823,0.314708203,0.209144711,0.179238871,0.171614721,0.154560491,0.103324749,0.08149907,0.125293508,0.160147712,0.105819963,0.097739801,0.203066736,0.06240169,0.140665039
849,0,0,Rural,2023,Tamil Nadu,All,NA,NA,0.336969495,0.33008489,0.205944315,0.127001286,0.195635155,0.156075656,0.099834286,0.055316396,0.14133434,0.174009249,0.106110036,0.071684889,0.192302957,0.058660489,0.133642465
850,1,1,Urban,2023,Tamil Nadu,All,NA,NA,0.249465212,0.29649815,0.212934807,0.241101831,0.143168256,0.152766138,0.107458368,0.112506203,0.106296949,0.143732011,0.105476439,0.128595635,0.21581386,0.066832252,0.148981601
1027,.,99,All,2022,Tamil Nadu,Age,NA,15 to 29,0.009349737,0.168302983,0.492289633,0.330057651,0.004884167,0.074239448,0.2353971,0.162600085,0.00446557,0.094063528,0.256892562,0.167457566,0.192587748,0.060325615,0.132262141
1028,.,99,All,2022,Tamil Nadu,Age,NA,30 to 44,0.105532065,0.422276884,0.229649574,0.242541492,0.063687742,0.228205949,0.128640413,0.111968741,0.041844323,0.19407092,0.10100916,0.130572751,0.322098285,0.111385122,0.210713148
1029,.,99,All,2022,Tamil Nadu,Age,NA,45 to 64,0.387762874,0.380387455,0.13487649,0.096973166,0.247148722,0.170050487,0.057831507,0.034224588,0.140614152,0.210336983,0.077044986,0.062748581,0.197008803,0.051733449,0.145275339
1030,.,99,All,2022,Tamil Nadu,Age,NA,65 and above,0.626537204,0.211087748,0.098551989,0.063823082,0.394207031,0.094638444,0.035415024,0.015437776,0.232330158,0.116449304,0.063136965,0.048385307,0,0,0
1031,.,99,All,2022,Tamil Nadu,Age,NA,NA,0.617309809,0.382073075,0.000617098,0,0.288053781,0.178516358,0.000411472,0,0.329256058,0.203556702,0.000205626,0,0.000747318,0.000613143,0.000134175
1357,0,0,Rural,2022,Tamil Nadu,Age,NA,15 to 29,0.007453861,0.189515486,0.517132223,0.285898447,0.003957602,0.083726265,0.24697274,0.146570399,0.003496259,0.105789222,0.270159453,0.139328063,0.174334109,0.053686738,0.120647371
1358,0,0,Rural,2022,Tamil Nadu,Age,NA,30 to 44,0.12776348,0.487579405,0.233123735,0.15153338,0.074560642,0.260593653,0.138659209,0.070874363,0.053202845,0.226985738,0.094464526,0.080659017,0.30437997,0.106617883,0.197762087
1359,0,0,Rural,2022,Tamil Nadu,Age,NA,45 to 64,0.464335352,0.378639728,0.10830491,0.048719987,0.293225378,0.155046999,0.038384248,0.013092402,0.171109989,0.223592728,0.069920659,0.035627585,0.189897537,0.049112402,0.140785128
1360,0,0,Rural,2022,Tamil Nadu,Age,NA,65 and above,0.781680286,0.161855742,0.042005394,0.014458581,0.485994697,0.067453578,0.009746498,0.001478434,0.295685589,0.094402172,0.032258898,0.012980146,0,0,0
1361,0,0,Rural,2022,Tamil Nadu,Age,NA,NA,0.604247212,0.395073473,0.000679308,0,0.272617429,0.172840178,0.000679308,0,0.331629813,0.222233295,0,0,0,0,0
1362,1,1,Urban,2022,Tamil Nadu,Age,NA,15 to 29,0.011692702,0.142088115,0.461588681,0.384630501,0.006029237,0.062515438,0.221091673,0.182409912,0.005663465,0.079572678,0.240497023,0.202220589,0.21514599,0.068530083,0.146615908
1363,1,1,Urban,2022,Tamil Nadu,Age,NA,30 to 44,0.073729821,0.328860998,0.224679738,0.372729421,0.048133962,0.18187505,0.114308424,0.170754626,0.025595857,0.146985963,0.110371314,0.201974809,0.347444475,0.118204698,0.229239762
1364,1,1,Urban,2022,Tamil Nadu,Age,NA,45 to 64,0.291835517,0.382576942,0.168164462,0.157423079,0.189425468,0.188846335,0.082194358,0.060698256,0.102410041,0.193730623,0.085970096,0.096724816,0.205917537,0.055017009,0.150900528
1365,1,1,Urban,2022,Tamil Nadu,Age,NA,65 and above,0.433065742,0.272482574,0.169068515,0.125383168,0.279743046,0.128539369,0.067424998,0.032845795,0.153322667,0.14394322,0.10164351,0.092537373,0,0,0
1366,1,1,Urban,2022,Tamil Nadu,Age,NA,NA,0.637377739,0.36210072,0.000521526,0,0.311768413,0.187236607,0,0,0.325609326,0.174864113,0.000521526,0,0.001895413,0.001555106,0.000340306
1647,.,99,All,2022,Tamil Nadu,All,NA,NA,0.300732553,0.325297982,0.210643396,0.163326055,0.169524372,0.155981436,0.10244593,0.073895492,0.131208196,0.169316545,0.108197466,0.089430571,0.168506771,0.052893713,0.115613051
1713,0,0,Rural,2022,Tamil Nadu,All,NA,NA,0.338303834,0.34610033,0.201976597,0.113619246,0.188784689,0.160201833,0.099038035,0.053255547,0.149519131,0.185898498,0.102938563,0.060363695,0.157499567,0.049399592,0.108099967
1714,1,1,Urban,2022,Tamil Nadu,All,NA,NA,0.250412613,0.297436953,0.222251013,0.229899406,0.143728629,0.150328949,0.107010193,0.101538993,0.106683984,0.147108003,0.11524082,0.12836042,0.183248937,0.057573464,0.125675485
1891,.,99,All,2021,Tamil Nadu,Age,NA,15 to 29,0.009950224,0.18254289,0.475441247,0.332065642,0.006398248,0.085436858,0.24219878,0.164363191,0.003551976,0.09710604,0.233242452,0.167702451,0.155462399,0.048038069,0.107424326
1892,.,99,All,2021,Tamil Nadu,Age,NA,30 to 44,0.108453438,0.421223193,0.22880441,0.241518945,0.066380545,0.223349676,0.126228899,0.103560448,0.042072892,0.197873518,0.102575526,0.137958497,0.226707324,0.077119723,0.149587601
1893,.,99,All,2021,Tamil Nadu,Age,NA,45 to 64,0.388048053,0.375646651,0.140125796,0.096179493,0.254410565,0.17419526,0.059826501,0.031405337,0.133637488,0.201451406,0.080299295,0.064774156,0.116825394,0.02574447,0.091080926
1894,.,99,All,2021,Tamil Nadu,Age,NA,65 and above,0.610885561,0.227775022,0.10818512,0.053154275,0.376366109,0.088759594,0.038932689,0.011501282,0.234519482,0.139015436,0.069252431,0.041652992,0,0,0
1895,.,99,All,2021,Tamil Nadu,Age,NA,NA,0.626519144,0.372773141,0.000707702,0,0.301295131,0.178826898,0.000368689,0,0.325224042,0.193946227,0.000339013,0,0.00043258,3.51E-05,0.000397459
2221,0,0,Rural,2021,Tamil Nadu,Age,NA,15 to 29,0.014236929,0.20677124,0.487973511,0.291018337,0.010068668,0.105481967,0.252365887,0.148147926,0.004168261,0.10128928,0.235607609,0.142870396,0.121360809,0.035810545,0.085550264
2222,0,0,Rural,2021,Tamil Nadu,Age,NA,30 to 44,0.126709834,0.472101688,0.249486357,0.151702136,0.08008533,0.250406206,0.140962452,0.059915662,0.0466245,0.221695468,0.108523905,0.091786474,0.184730753,0.063852437,0.120878324
