,X,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,urban,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
88,88,11285.81934,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Haryana,2,NA,Total,NA,NA,NA,NA
89,89,15121.84668,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Haryana,3,NA,Total,NA,NA,NA,NA
90,90,20895.0332,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Haryana,4,NA,Total,NA,NA,NA,NA
91,91,39759.67969,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Haryana,5,NA,Total,NA,NA,NA,NA
92,92,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Haryana,NA,NA,Total,NA,NA,NA,NA
93,93,9378.570313,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Delhi,1,NA,Total,NA,NA,NA,NA
94,94,13476.02246,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Delhi,2,NA,Total,NA,NA,NA,NA
95,95,18977.00391,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Delhi,3,NA,Total,NA,NA,NA,NA
96,96,24292.22656,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Delhi,4,NA,Total,NA,NA,NA,NA
97,97,60378.25391,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Delhi,5,NA,Total,NA,NA,NA,NA
98,98,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Delhi,NA,NA,Total,NA,NA,NA,NA
99,99,5404.249512,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Rajasthan,1,NA,Total,NA,NA,NA,NA
100,100,8236.264648,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Rajasthan,2,NA,Total,NA,NA,NA,NA
101,101,10988.91211,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Rajasthan,3,NA,Total,NA,NA,NA,NA
102,102,13936.60254,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Rajasthan,4,NA,Total,NA,NA,NA,NA
103,103,26952.04492,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Rajasthan,5,NA,Total,NA,NA,NA,NA
104,104,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Rajasthan,NA,NA,Total,NA,NA,NA,NA
105,105,3600.634033,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Uttar Pradesh,1,NA,Total,NA,NA,NA,NA
106,106,6852.807129,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Uttar Pradesh,2,NA,Total,NA,NA,NA,NA
107,107,9323.255859,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Uttar Pradesh,3,NA,Total,NA,NA,NA,NA
108,108,12335.05273,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Uttar Pradesh,4,NA,Total,NA,NA,NA,NA
109,109,21515.20703,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Uttar Pradesh,5,NA,Total,NA,NA,NA,NA
110,110,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Uttar Pradesh,NA,NA,Total,NA,NA,NA,NA
111,111,6471.182617,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Bihar,1,NA,Total,NA,NA,NA,NA
112,112,8666.762695,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Bihar,2,NA,Total,NA,NA,NA,NA
113,113,10793.02539,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Bihar,3,NA,Total,NA,NA,NA,NA
114,114,13481.63086,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Bihar,4,NA,Total,NA,NA,NA,NA
115,115,20486.21875,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Bihar,5,NA,Total,NA,NA,NA,NA
116,116,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Bihar,NA,NA,Total,NA,NA,NA,NA
117,117,6441.326172,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Sikkim,1,NA,Total,NA,NA,NA,NA
118,118,9661.988281,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Sikkim,2,NA,Total,NA,NA,NA,NA
119,119,12582.54004,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Sikkim,3,NA,Total,NA,NA,NA,NA
120,120,16713.17578,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Sikkim,4,NA,Total,NA,NA,NA,NA
121,121,32899.32031,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Sikkim,5,NA,Total,NA,NA,NA,NA
122,122,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Sikkim,NA,NA,Total,NA,NA,NA,NA
123,123,5809.105957,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Arunachal Pradesh,1,NA,Total,NA,NA,NA,NA
