,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,round,level,area,dem,SourceSheet,sector,state,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,owns_land
1799,NA,0,0,0,NA,0,0.07,0,0.03,0.01,0.02,5,State,All,Education,state,99,chandigarh,Chandigarh,NA,Secondary,NA,NA,NA
1800,0,0,0.01,0,0.04,0,0.03,0,0,0,0,5,State,All,Education,state,99,chandigarh,Chandigarh,NA,Higher,NA,NA,NA
1801,NA,0,0.01,0,0,0,0.05,0,0,0.02,0,5,State,All,Education,state,99,chandigarh,Chandigarh,NA,Higher,NA,NA,NA
1802,0,0.16,0.02,0,0.21,0.01,0.18,0.07,0.61,0.74,0.11,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,No education / Preschool,NA,NA,NA
1803,1,0.72,0.15,0.04,0.4,0.07,0.58,0.21,0.92,0.95,0.62,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,No education / Preschool,NA,NA,NA
1804,NA,0.3,0.09,0.02,0.36,0.04,0.3,0.18,0.76,0.84,0.3,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,No education / Preschool,NA,NA,NA
1805,0,0.16,0.01,0.01,0.22,0,0.17,0.06,0.53,0.68,0.06,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Primary,NA,NA,NA
1806,1,0.64,0.12,0.07,0.56,0.03,0.6,0.19,0.9,0.94,0.42,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Primary,NA,NA,NA
1807,NA,0.21,0.07,0,0.41,0.01,0.27,0.14,0.65,0.81,0.18,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Primary,NA,NA,NA
1808,0,0,0.01,0.01,0.24,0.01,0.18,0.05,0.44,0.55,0.06,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Secondary,NA,NA,NA
1809,1,0,0.19,0.12,0.93,0.03,0.65,0.26,0.91,0.96,0.27,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Secondary,NA,NA,NA
1810,NA,0,0.04,0.01,0.09,0.01,0.22,0.07,0.55,0.51,0.1,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Secondary,NA,NA,NA
1811,0,0,0.01,0,0.2,0,0.1,0.02,0.21,0.22,0.01,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Higher,NA,NA,NA
1812,1,0,0.14,0.25,0.91,0.05,0.59,0.3,0.78,0.84,0.19,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Higher,NA,NA,NA
1813,NA,0,0.02,0,0.57,0,0.22,0.05,0.29,0.27,0.01,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,Higher,NA,NA,NA
1814,0,0,0,0,0.46,0,0,0,0.46,0.18,0,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
1815,1,0,0.53,0,1,0,0.47,0,0.47,1,1,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
1816,NA,0,0,0,0.06,0,0.05,0,0.35,0.61,0.3,5,State,All,Education,state,99,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
1817,0,0.21,0.01,0,0.29,0,0.38,0.04,0.42,0.31,0.13,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,No education / Preschool,NA,NA,NA
1818,1,0.55,0.13,0.01,0.63,0.01,0.65,0.15,0.83,0.77,0.55,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,No education / Preschool,NA,NA,NA
1819,NA,0.03,0.03,0,0,0,0.37,0.12,0.52,0.42,0.15,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,No education / Preschool,NA,NA,NA
1820,0,0.2,0.02,0.01,0.26,0,0.32,0.04,0.33,0.18,0.13,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Primary,NA,NA,NA
1821,1,0.68,0.08,0.05,0.81,0.04,0.52,0.14,0.71,0.6,0.37,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Primary,NA,NA,NA
1822,NA,0.13,0,0,NA,0,0.16,0.21,0.23,0.26,0,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Primary,NA,NA,NA
1823,0,0,0.01,0.01,0.22,0,0.38,0.04,0.12,0.06,0.19,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Secondary,NA,NA,NA
1824,1,0,0.34,0.28,0.94,0.02,0.8,0.16,0.6,0.48,0.47,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Secondary,NA,NA,NA
1825,NA,0,0,0.03,NA,0,0.26,0.13,0.22,0.04,0.11,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Secondary,NA,NA,NA
1826,0,0,0,0.01,0.17,0,0.21,0.03,0.02,0.01,0.17,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Higher,NA,NA,NA
1827,1,0,0.62,0,1,0,0.38,0,0.38,0,0.38,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Higher,NA,NA,NA
1828,NA,0,0,0,NA,0,0,0,0,0,0,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Higher,NA,NA,NA
1829,0,0,0,0,0,0,0.64,0,0.12,0.12,0.52,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,NA,NA,NA,NA
1830,NA,NA,0,0,0,0,0,0,0,0.53,0.53,5,State,All,Education,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,NA,NA,NA,NA
1831,0,0.09,0.01,0,0.19,0,0.15,0.02,0.16,0.03,0.03,5,State,All,Education,state,99,goa,Goa,NA,No education / Preschool,NA,NA,NA
1832,1,0.87,0,0,0.36,0,0.76,0,0.6,0.64,0.63,5,State,All,Education,state,99,goa,Goa,NA,No education / Preschool,NA,NA,NA
1833,NA,0.11,0,0,NA,0,0.22,0,0.12,0,0,5,State,All,Education,state,99,goa,Goa,NA,No education / Preschool,NA,NA,NA
1834,0,0.15,0,0,0.15,0,0.18,0.02,0.11,0.03,0.03,5,State,All,Education,state,99,goa,Goa,NA,Primary,NA,NA,NA
1835,1,0.61,0.1,0.15,0.87,0,0.51,0.1,0.39,0.61,0.15,5,State,All,Education,state,99,goa,Goa,NA,Primary,NA,NA,NA
1836,NA,0,0,0,NA,0,0,0.11,0.15,0,0,5,State,All,Education,state,99,goa,Goa,NA,Primary,NA,NA,NA
1837,0,0,0,0,0.16,0,0.12,0.02,0.08,0.02,0.02,5,State,All,Education,state,99,goa,Goa,NA,Secondary,NA,NA,NA
1838,1,0,0,0,1,0,1,0.14,0.49,0.8,0.57,5,State,All,Education,state,99,goa,Goa,NA,Secondary,NA,NA,NA
1839,NA,0,0,0,NA,0,0.08,0,0.1,0,0.03,5,State,All,Education,state,99,goa,Goa,NA,Secondary,NA,NA,NA
1840,0,0,0.01,0,0.15,0,0.03,0,0.06,0,0.01,5,State,All,Education,state,99,goa,Goa,NA,Higher,NA,NA,NA
1841,1,0,1,0,1,0,0,0,0,0,0,5,State,All,Education,state,99,goa,Goa,NA,Higher,NA,NA,NA
1842,NA,0,0,0,NA,0,0,0.07,0,0,0,5,State,All,Education,state,99,goa,Goa,NA,Higher,NA,NA,NA
1843,0,0,0,0,0,0,0,0,0,0,0,5,State,All,Education,state,99,goa,Goa,NA,NA,NA,NA,NA
1844,NA,0,0,0,NA,0,0,0,0,0,0,5,State,All,Education,state,99,goa,Goa,NA,NA,NA,NA,NA
1845,0,0.2,0.02,0.01,0.26,0.02,0.28,0.04,0.24,0.43,0.18,5,State,All,Education,state,99,gujarat,Gujarat,NA,No education / Preschool,NA,NA,NA
1846,1,0.65,0.18,0.05,0.51,0.18,0.76,0.14,0.72,0.89,0.63,5,State,All,Education,state,99,gujarat,Gujarat,NA,No education / Preschool,NA,NA,NA
1847,NA,0.2,0.07,0.01,0.55,0.01,0.35,0.1,0.33,0.48,0.34,5,State,All,Education,state,99,gujarat,Gujarat,NA,No education / Preschool,NA,NA,NA
1848,0,0.17,0.02,0,0.25,0.01,0.2,0.04,0.18,0.31,0.1,5,State,All,Education,state,99,gujarat,Gujarat,NA,Primary,NA,NA,NA
1849,1,0.56,0.16,0.07,0.66,0.12,0.7,0.15,0.67,0.83,0.46,5,State,All,Education,state,99,gujarat,Gujarat,NA,Primary,NA,NA,NA
1850,NA,0.27,0.06,0.01,0.53,0.07,0.37,0.05,0.21,0.4,0.22,5,State,All,Education,state,99,gujarat,Gujarat,NA,Primary,NA,NA,NA
1851,0,0,0.01,0.01,0.26,0.01,0.17,0.03,0.14,0.19,0.07,5,State,All,Education,state,99,gujarat,Gujarat,NA,Secondary,NA,NA,NA
1852,1,0,0.21,0.12,0.92,0.1,0.74,0.18,0.72,0.84,0.38,5,State,All,Education,state,99,gujarat,Gujarat,NA,Secondary,NA,NA,NA
1853,NA,0,0.02,0.01,0.47,0.02,0.16,0.03,0.14,0.16,0.07,5,State,All,Education,state,99,gujarat,Gujarat,NA,Secondary,NA,NA,NA
1854,0,0,0.01,0,0.16,0,0.05,0.02,0.05,0.04,0.02,5,State,All,Education,state,99,gujarat,Gujarat,NA,Higher,NA,NA,NA
1855,1,0,0.13,0.29,0.99,0.07,0.54,0.16,0.57,0.61,0.25,5,State,All,Education,state,99,gujarat,Gujarat,NA,Higher,NA,NA,NA
1856,NA,0,0,0,0,0,0.06,0.02,0.09,0.01,0,5,State,All,Education,state,99,gujarat,Gujarat,NA,Higher,NA,NA,NA
1857,0,0,0.21,0,0.17,0,0.3,0,0.19,0.07,0,5,State,All,Education,state,99,gujarat,Gujarat,NA,NA,NA,NA,NA
1858,1,0.56,0,0,1,0.44,0,0,0.44,1,0,5,State,All,Education,state,99,gujarat,Gujarat,NA,NA,NA,NA,NA
1859,NA,NA,0,0,0.05,0,0.05,0,0,0.05,0.95,5,State,All,Education,state,99,gujarat,Gujarat,NA,NA,NA,NA,NA
1860,0,0.13,0.02,0.01,0.21,0,0.16,0.08,0.27,0.52,0.09,5,State,All,Education,state,99,haryana,Haryana,NA,No education / Preschool,NA,NA,NA
1861,1,0.69,0.26,0.11,0.54,0.04,0.55,0.18,0.66,0.79,0.42,5,State,All,Education,state,99,haryana,Haryana,NA,No education / Preschool,NA,NA,NA
1862,NA,0.15,0.05,0.01,0,0,0.21,0.1,0.34,0.62,0.13,5,State,All,Education,state,99,haryana,Haryana,NA,No education / Preschool,NA,NA,NA
1863,0,0.14,0.01,0,0.22,0,0.17,0.05,0.26,0.45,0.06,5,State,All,Education,state,99,haryana,Haryana,NA,Primary,NA,NA,NA
1864,1,0.7,0.23,0.12,0.66,0.02,0.55,0.18,0.63,0.73,0.29,5,State,All,Education,state,99,haryana,Haryana,NA,Primary,NA,NA,NA
1865,NA,0.15,0.06,0.02,0,0,0.19,0.06,0.25,0.5,0.1,5,State,All,Education,state,99,haryana,Haryana,NA,Primary,NA,NA,NA
1866,0,0,0.01,0.01,0.17,0,0.14,0.05,0.19,0.35,0.05,5,State,All,Education,state,99,haryana,Haryana,NA,Secondary,NA,NA,NA
1867,1,0,0.32,0.21,0.93,0.02,0.61,0.19,0.71,0.82,0.26,5,State,All,Education,state,99,haryana,Haryana,NA,Secondary,NA,NA,NA
1868,NA,0,0.04,0.01,0,0,0.12,0.07,0.15,0.34,0.05,5,State,All,Education,state,99,haryana,Haryana,NA,Secondary,NA,NA,NA
1869,0,0,0.01,0,0.11,0,0.08,0.03,0.08,0.13,0.02,5,State,All,Education,state,99,haryana,Haryana,NA,Higher,NA,NA,NA
1870,1,0,0.43,0.12,0.96,0,0.5,0.19,0.53,0.76,0.2,5,State,All,Education,state,99,haryana,Haryana,NA,Higher,NA,NA,NA
1871,NA,0,0.01,0,0,0,0.06,0.04,0.06,0.12,0.01,5,State,All,Education,state,99,haryana,Haryana,NA,Higher,NA,NA,NA
1872,0,0,0,0,0.19,0,0.32,0,0.17,0.36,0.11,5,State,All,Education,state,99,haryana,Haryana,NA,NA,NA,NA,NA
1873,NA,0,0,0,1,0,0.32,0,0.32,0,0,5,State,All,Education,state,99,haryana,Haryana,NA,NA,NA,NA,NA
1874,0,0.18,0.01,0,0.18,0.01,0.17,0.05,0.31,0.64,0.11,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,No education / Preschool,NA,NA,NA
1875,1,0.77,0.06,0.04,0.34,0.09,0.63,0.17,0.81,0.88,0.71,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,No education / Preschool,NA,NA,NA
1876,NA,0.15,0.01,0.06,0,0.01,0.27,0.03,0.23,0.73,0.04,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,No education / Preschool,NA,NA,NA
1877,0,0.19,0,0.01,0.18,0,0.18,0.05,0.27,0.59,0.08,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Primary,NA,NA,NA
1878,1,0.73,0.06,0.06,0.46,0.03,0.64,0.18,0.75,0.85,0.47,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Primary,NA,NA,NA
1879,NA,0.15,0.01,0,0,0,0.28,0.06,0.2,0.73,0.05,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Primary,NA,NA,NA
1880,0,0,0,0,0.15,0,0.17,0.04,0.19,0.45,0.05,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Secondary,NA,NA,NA
1881,1,0,0.08,0.16,0.93,0.01,0.77,0.19,0.75,0.91,0.27,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Secondary,NA,NA,NA
1882,NA,0,0,0,0,0,0.15,0.01,0.15,0.46,0.03,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Secondary,NA,NA,NA
1883,0,0,0,0,0.08,0,0.08,0.02,0.07,0.1,0.07,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Higher,NA,NA,NA
1884,1,0,0,0.03,1,0,0.97,0,1,0.03,0.97,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Higher,NA,NA,NA
1885,NA,0,0,0,NA,0,0.13,0,0.04,0.18,0,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,Higher,NA,NA,NA
1886,0,0,0,0,0,0,0,0,0.07,0.68,0,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,NA,NA,NA,NA
1887,NA,NA,0,0,0,0,0.05,0,0,0,0.95,5,State,All,Education,state,99,himachal pradesh,Himachal Pradesh,NA,NA,NA,NA,NA
1888,0,0.08,0.01,0,0.1,0.01,0.28,0.1,0.3,0.38,0.09,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,No education / Preschool,NA,NA,NA
1889,1,0.66,0.22,0.04,0.43,0.05,0.8,0.35,0.83,0.81,0.43,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,No education / Preschool,NA,NA,NA
1890,NA,0.14,0.03,0,0.04,0,0.39,0.09,0.3,0.43,0.14,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,No education / Preschool,NA,NA,NA
1891,0,0.09,0.01,0.01,0.11,0.01,0.27,0.1,0.29,0.35,0.1,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Primary,NA,NA,NA
1892,1,0.71,0.14,0.04,0.6,0.02,0.69,0.4,0.83,0.73,0.31,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Primary,NA,NA,NA
1893,NA,0.19,0.07,0,NA,0.01,0.14,0.04,0.26,0.31,0.08,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Primary,NA,NA,NA
1894,0,0,0.01,0,0.11,0,0.19,0.08,0.19,0.25,0.06,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Secondary,NA,NA,NA
1895,1,0,0.25,0.06,0.8,0.01,0.76,0.42,0.83,0.87,0.33,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Secondary,NA,NA,NA
1896,NA,0,0.02,0,0,0,0.21,0.07,0.13,0.31,0.07,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Secondary,NA,NA,NA
1897,0,0,0.01,0,0.13,0,0.11,0.04,0.09,0.1,0.01,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Higher,NA,NA,NA
1898,1,0,0.38,0.05,0.85,0.01,0.69,0.29,0.68,0.93,0.3,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Higher,NA,NA,NA
1899,NA,0,0.02,0,0,0,0.08,0.02,0.05,0.06,0.01,5,State,All,Education,state,99,jammu & kashmir,Jammu & Kashmir,NA,Higher,NA,NA,NA
1900,0,0.16,0.01,0.01,0.19,0.04,0.38,0.15,0.59,0.75,0.14,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,No education / Preschool,NA,NA,NA
1901,1,0.7,0.19,0.05,0.53,0.16,0.7,0.29,0.89,0.95,0.48,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,No education / Preschool,NA,NA,NA
1902,NA,0.4,0.2,0.01,0.17,0.1,0.54,0.17,0.7,0.87,0.38,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,No education / Preschool,NA,NA,NA
1903,0,0.16,0.02,0.01,0.23,0.03,0.33,0.13,0.49,0.66,0.09,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Primary,NA,NA,NA
1904,1,0.68,0.16,0.06,0.62,0.13,0.71,0.31,0.85,0.92,0.37,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Primary,NA,NA,NA
1905,NA,0.35,0.13,0.01,0.16,0.07,0.54,0.19,0.65,0.83,0.18,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Primary,NA,NA,NA
1906,0,0,0.01,0.01,0.22,0.02,0.33,0.13,0.42,0.54,0.08,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Secondary,NA,NA,NA
1907,1,0,0.18,0.1,0.91,0.11,0.76,0.37,0.88,0.94,0.28,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Secondary,NA,NA,NA
1908,NA,0,0.06,0.03,0.17,0.03,0.36,0.13,0.38,0.54,0.11,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Secondary,NA,NA,NA
1909,0,0,0.01,0.01,0.17,0.01,0.18,0.06,0.15,0.18,0.03,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Higher,NA,NA,NA
1910,1,0,0.18,0.11,0.88,0.06,0.79,0.31,0.81,0.91,0.24,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Higher,NA,NA,NA
1911,NA,0,0.01,0,0,0.01,0.17,0.07,0.11,0.25,0.05,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,Higher,NA,NA,NA
1912,0,0.1,0,0,0.22,0,0.31,0.07,0.22,0.39,0,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,NA,NA,NA,NA
1913,1,0.86,0.57,0,0.43,0.29,0.42,0.42,0.86,0.42,0.57,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,NA,NA,NA,NA
1914,NA,NA,0.21,0,0.43,0,0.77,0.55,0.77,0.86,0.44,5,State,All,Education,state,99,jharkhand,Jharkhand,NA,NA,NA,NA,NA
1915,0,0.18,0.01,0,0.21,0.01,0.28,0.06,0.4,0.22,0.12,5,State,All,Education,state,99,karnataka,Karnataka,NA,No education / Preschool,NA,NA,NA
1916,1,0.71,0.11,0.05,0.49,0.09,0.78,0.13,0.74,0.72,0.55,5,State,All,Education,state,99,karnataka,Karnataka,NA,No education / Preschool,NA,NA,NA
1917,NA,0.18,0.04,0,0.57,0.02,0.35,0.04,0.41,0.3,0.15,5,State,All,Education,state,99,karnataka,Karnataka,NA,No education / Preschool,NA,NA,NA
1918,0,0.15,0.01,0,0.22,0.01,0.22,0.07,0.35,0.2,0.07,5,State,All,Education,state,99,karnataka,Karnataka,NA,Primary,NA,NA,NA
1919,1,0.63,0.09,0.07,0.62,0.08,0.71,0.15,0.73,0.67,0.43,5,State,All,Education,state,99,karnataka,Karnataka,NA,Primary,NA,NA,NA
1920,NA,0.11,0.01,0,0.05,0,0.14,0.1,0.41,0.2,0.08,5,State,All,Education,state,99,karnataka,Karnataka,NA,Primary,NA,NA,NA
1921,0,0,0.01,0,0.19,0.01,0.18,0.06,0.3,0.11,0.05,5,State,All,Education,state,99,karnataka,Karnataka,NA,Secondary,NA,NA,NA
1922,1,0,0.16,0.15,0.96,0.04,0.78,0.2,0.79,0.65,0.32,5,State,All,Education,state,99,karnataka,Karnataka,NA,Secondary,NA,NA,NA
1923,NA,0,0,0,0.18,0,0.11,0.04,0.19,0.11,0.02,5,State,All,Education,state,99,karnataka,Karnataka,NA,Secondary,NA,NA,NA
1924,0,0,0,0,0.14,0,0.11,0.05,0.21,0.03,0.02,5,State,All,Education,state,99,karnataka,Karnataka,NA,Higher,NA,NA,NA
1925,1,0,0.19,0.26,0.9,0.01,0.62,0.13,0.7,0.61,0.17,5,State,All,Education,state,99,karnataka,Karnataka,NA,Higher,NA,NA,NA
1926,NA,0,0,0.01,0,0,0.04,0.02,0.11,0.03,0.01,5,State,All,Education,state,99,karnataka,Karnataka,NA,Higher,NA,NA,NA
1927,0,0,0,0,0.57,0,0.19,0.14,0.19,0.51,0,5,State,All,Education,state,99,karnataka,Karnataka,NA,NA,NA,NA,NA
1928,1,0,0,0,1,0,1,0,1,1,0,5,State,All,Education,state,99,karnataka,Karnataka,NA,NA,NA,NA,NA
1929,NA,0,0,0,0,0,1,0,1,0.33,0.61,5,State,All,Education,state,99,karnataka,Karnataka,NA,NA,NA,NA,NA
1930,0,0.24,0,0,0.14,0.01,0.04,0.07,0.22,0.48,0.12,5,State,All,Education,state,99,kerala,Kerala,NA,No education / Preschool,NA,NA,NA
1931,1,0.87,0.01,0.02,0.25,0.17,0.27,0.36,0.6,0.87,0.84,5,State,All,Education,state,99,kerala,Kerala,NA,No education / Preschool,NA,NA,NA
1932,NA,0.11,0.01,0,0,0.02,0.01,0.01,0.3,0.35,0.09,5,State,All,Education,state,99,kerala,Kerala,NA,No education / Preschool,NA,NA,NA
1933,0,0.18,0,0,0.13,0,0.01,0.06,0.19,0.38,0.06,5,State,All,Education,state,99,kerala,Kerala,NA,Primary,NA,NA,NA
1934,1,0.84,0.02,0.02,0.21,0.13,0.2,0.31,0.73,0.93,0.83,5,State,All,Education,state,99,kerala,Kerala,NA,Primary,NA,NA,NA
1935,NA,0.05,0,0,0.36,0,0,0.04,0.18,0.32,0.06,5,State,All,Education,state,99,kerala,Kerala,NA,Primary,NA,NA,NA
1936,0,0,0,0,0.12,0,0.01,0.05,0.16,0.26,0.03,5,State,All,Education,state,99,kerala,Kerala,NA,Secondary,NA,NA,NA
1937,1,0,0.1,0.06,1,0.29,0.27,0.46,0.58,0.72,0.51,5,State,All,Education,state,99,kerala,Kerala,NA,Secondary,NA,NA,NA
1938,NA,0,0,0.01,0,0,0.02,0.04,0.14,0.18,0.02,5,State,All,Education,state,99,kerala,Kerala,NA,Secondary,NA,NA,NA
1939,0,0,0,0,0.1,0,0.01,0.03,0.11,0.07,0.01,5,State,All,Education,state,99,kerala,Kerala,NA,Higher,NA,NA,NA
1940,NA,0,0,0,0,0,0,0.02,0.13,0.06,0,5,State,All,Education,state,99,kerala,Kerala,NA,Higher,NA,NA,NA
1941,0,0,0,0,0.37,0,0,0,0.13,0.39,0,5,State,All,Education,state,99,kerala,Kerala,NA,NA,NA,NA,NA
1942,0,0.06,0.01,0,0.08,0,0.67,0.14,0.58,0.24,0.04,5,State,All,Education,state,99,ladakh,Ladakh,NA,No education / Preschool,NA,NA,NA
1943,1,0.61,0.19,0.06,0.44,0.01,0.88,0.42,0.86,0.44,0.22,5,State,All,Education,state,99,ladakh,Ladakh,NA,No education / Preschool,NA,NA,NA
1944,NA,0.12,0,0,NA,0,0.7,0.13,0.76,0.11,0,5,State,All,Education,state,99,ladakh,Ladakh,NA,No education / Preschool,NA,NA,NA
1945,0,0.03,0,0.01,0.07,0,0.55,0.15,0.59,0.21,0.06,5,State,All,Education,state,99,ladakh,Ladakh,NA,Primary,NA,NA,NA
1946,1,0.91,0.11,0,0.62,0,1,0.5,0.68,0.55,0,5,State,All,Education,state,99,ladakh,Ladakh,NA,Primary,NA,NA,NA
1947,NA,0,0,0,NA,0,0.5,0,0,0,0,5,State,All,Education,state,99,ladakh,Ladakh,NA,Primary,NA,NA,NA
1948,0,0,0.01,0.01,0.13,0.01,0.52,0.12,0.56,0.21,0.02,5,State,All,Education,state,99,ladakh,Ladakh,NA,Secondary,NA,NA,NA
1949,1,0,0.26,0.07,0.83,0.03,0.9,0.34,0.93,0.69,0,5,State,All,Education,state,99,ladakh,Ladakh,NA,Secondary,NA,NA,NA
1950,NA,0,0,0,0,0.07,0.65,0.21,0.63,0.06,0.07,5,State,All,Education,state,99,ladakh,Ladakh,NA,Secondary,NA,NA,NA
1951,0,0,0.01,0.01,0.11,0,0.35,0.08,0.38,0.15,0.02,5,State,All,Education,state,99,ladakh,Ladakh,NA,Higher,NA,NA,NA
1952,1,0,0.52,0,0.83,0,0.82,0.48,1,0.51,0.17,5,State,All,Education,state,99,ladakh,Ladakh,NA,Higher,NA,NA,NA
1953,NA,0,0,0,NA,0,0,0,0,0,0,5,State,All,Education,state,99,ladakh,Ladakh,NA,Higher,NA,NA,NA
1954,0,0.12,0,0,0.17,0,0,0.08,0.1,0.33,0.01,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,No education / Preschool,NA,NA,NA
1955,1,0,1,0,1,0,0,0,0,0,0,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,No education / Preschool,NA,NA,NA
1956,NA,0,0,NA,NA,0,0,0,0.5,1,0,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,No education / Preschool,NA,NA,NA
1957,0,0.1,0,0,0.18,0,0,0.07,0.12,0.42,0.04,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,Primary,NA,NA,NA
1958,1,1,0.48,0,0.52,0,0,0,0,1,0,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,Primary,NA,NA,NA
1959,NA,0,0,0,0,0,0,0,0,0.14,0,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,Primary,NA,NA,NA
1960,0,0,0,0,0.17,0.01,0,0.07,0.09,0.3,0.02,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,Secondary,NA,NA,NA
1961,1,0,0.28,0,1,0,0,0.45,1,0.72,0.45,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,Secondary,NA,NA,NA
1962,NA,0,0,0,NA,0,0,0,0,1,0,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,Secondary,NA,NA,NA
1963,0,0,0,0,0.15,0,0,0.03,0.14,0.13,0.01,5,State,All,Education,state,99,lakshadweep,Lakshadweep,NA,Higher,NA,NA,NA
