,inc_selfemp,inc_salaried,inc_casual,year,level,area,SourceSheet,sector2,state,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,age_cat1,age_cat2,age_cat3,age_cat4,owns_land
3028,0.51111263,0.348228395,0.14065896,2011,state,urban/rural,sector_state,0,Daman & Diu & D & N Haveli,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3029,0.186671346,0.694489062,0.033676874,2011,state,urban/rural,sector_state,0,Daman & Diu & D & N Haveli,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3030,0.006092629,0.694133639,0.097988732,2011,state,urban/rural,sector_state,0,Daman & Diu & D & N Haveli,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3031,0.620924592,0.105686933,0.272990525,2011,state,urban/rural,sector_state,0,Maharashtra,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3032,0.503710926,0.115124278,0.37475732,2011,state,urban/rural,sector_state,0,Maharashtra,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3033,0.400250643,0.116873138,0.439673215,2011,state,urban/rural,sector_state,0,Maharashtra,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3034,0.084893987,0.147876352,0.304958493,2011,state,urban/rural,sector_state,0,Maharashtra,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3035,0.613797307,0.10301923,0.283183485,2011,state,urban/rural,sector_state,0,Andhra Pradesh,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3036,0.440834433,0.094988443,0.45928371,2011,state,urban/rural,sector_state,0,Andhra Pradesh,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3037,0.326476067,0.119734287,0.493017524,2011,state,urban/rural,sector_state,0,Andhra Pradesh,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3038,0.16297099,0.020031298,0.249349564,2011,state,urban/rural,sector_state,0,Andhra Pradesh,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3039,0.687253654,0.066593915,0.245355397,2011,state,urban/rural,sector_state,0,Karnataka,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3040,0.513397455,0.085855469,0.391508162,2011,state,urban/rural,sector_state,0,Karnataka,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3041,0.462369949,0.089778282,0.413198382,2011,state,urban/rural,sector_state,0,Karnataka,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3042,0.190133378,0.144127816,0.336418837,2011,state,urban/rural,sector_state,0,Karnataka,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3043,0.788726807,0.197582915,0,2011,state,urban/rural,sector_state,0,Goa,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3044,0.509188354,0.317128271,0.163797036,2011,state,urban/rural,sector_state,0,Goa,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3045,0.187935248,0.367158055,0.254384249,2011,state,urban/rural,sector_state,0,Goa,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3046,0,0.543712974,0,2011,state,urban/rural,sector_state,0,Goa,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3047,0.261974454,0.381750584,0.293799311,2011,state,urban/rural,sector_state,0,Lakshadweep,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
