,m_poor_1_20,m_poor_1_33,m_poor_1_50,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
3076,0.176295459,0.064057425,0.009796671,2015,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
3077,0.227082223,0.095037036,0.010225272,2015,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,2,NA
3146,0.260930806,0.104850672,0.017052848,2015,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
3147,0.331305832,0.153561369,0.017543692,2015,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,2,NA
3148,0.062028054,0.008981864,0,2015,State,urban/rural,Gender,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
3149,0.081461348,0.013267037,0,2015,State,urban/rural,Gender,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,2,NA
3298,0.395062804,0.183032721,0.017114324,2015,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
3299,0.16785419,0.062823907,0.007160668,2015,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,2 to 3
3300,0.168915823,0.072284408,0.011609759,2015,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,4 to 6
3301,0.243795544,0.055654433,0.006328568,2015,State,All,HH Size,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,7+
3438,0.498617202,0.264911562,0.024770336,2015,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
3439,0.250417501,0.114826366,0.01403476,2015,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,2 to 3
3440,0.248161316,0.116766751,0.020229731,2015,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,4 to 6
3441,0.350549787,0.085034586,0.009669438,2015,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,7+
3442,0.163576305,0,0,2015,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
3443,0.081848875,0.008653503,0,2015,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,2 to 3
3444,0.06218446,0.012373614,0,2015,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,4 to 6
3445,0.041572347,0,0,2015,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,7+
5,0.228554145,0.073215201,0.009681554,2019,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
42,0.286076814,0.09402813,0.013321431,2019,State,urban/rural,All Households,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
43,0.094406933,0.024677888,0.001193086,2019,State,urban/rural,All Households,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA
133,0.341569722,0.126709685,0.012416244,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,15 to 29,NA,NA,NA
134,0.193399608,0.068426587,0.011179163,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,30 to 45,NA,NA,NA
135,0.224214241,0.065773472,0.009182941,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,45 to 64,NA,NA,NA
136,0.297167301,0.086335152,0.00560438,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,65+,NA,NA,NA
137,0.234626964,0,0,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
316,0.380279034,0.144064039,0.01729681,2019,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,15 to 29,NA,NA,NA
317,0.242527857,0.087541439,0.015006904,2019,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,30 to 45,NA,NA,NA
