"","poor_215","poor_365","poor_685","poor_300","poor_420","poor_830","year","level","area","dem","SourceSheet","sector2","state","age_cat1","age_cat2","age_cat3","age_cat4","edu_cat1","edu_cat2","edu_cat3","edu_cat4","edu_cat5","edu_cat6","gender_cat1","gender_cat2","hhsize_cat1","hhsize_cat2","hhsize_cat3","hhsize_cat4","owns_dwelling","owns_land"
"30",0.0499456434682863,0.461261031486787,0.906061438932592,0.126432978585378,0.395372006711428,0.907633447032356,2011,"State","All","All Households","state",NA,"Andhra Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0.0570482222988713,0.504880519128544,0.886684991265439,0.131874578183421,0.455650532427455,0.888251836628063,2011,"State","All","All Households","state",NA,"Karnataka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",0.0374307821885082,0.280950333159413,0.822192115340848,0.0497804867199011,0.259776540088322,0.824103234697192,2011,"State","All","All Households","state",NA,"Goa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",0,0.100526015386776,0.678847165841613,0,0.0760475217910139,0.678847165841613,2011,"State","All","All Households","state",NA,"Lakshadweep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",0.0280603557400791,0.29425969623261,0.789551322034964,0.0618227363270461,0.253491863685924,0.790313672474856,2011,"State","All","All Households","state",NA,"Kerala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",0.0503655888454039,0.391129693722807,0.865924862600894,0.102800237318072,0.344231093180019,0.867609581579344,2011,"State","All","All Households","state",NA,"Tamil Nadu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0.00513870647697628,0.205908424890008,0.789262889137578,0.0281270430740387,0.151364429433068,0.789262889137578,2011,"State","All","All Households","state",NA,"Puducherry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0,0.0625567330431327,0.628870699225136,0.00309238635992027,0.0347341406057534,0.630197960150557,2011,"State","All","All Households","state",NA,"A & N Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.0351485059067062,0.430260411222614,0.892399519999778,0.0835505300334592,0.372575799064962,0.893625125246826,2011,"State","All","All Households","state",NA,"Telangana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0,0.291278020772701,0.895106351871546,0.0028665266656357,0.172543203799933,0.895106351871546,2011,"State","All","All Households","state",NA,"Ladakh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
