"","nat_quint","welfare_agg21_sp","year","level","area","dem","SourceSheet","sector2","sec_quint","state","state_quint","state_sec_quint","age_cat","nat_age_quint","sec_age_quint","state_age_quint","state_sec_age_quint","edu_cat","nat_edu_quint","sec_edu_quint","state_edu_quint","state_sec_edu_quint","gen_cat","nat_gen_quint","sec_gen_quint","state_gen_quint","state_sec_gen_quint","hhsize_cat","nat_hhsize_quint","sec_hhsize_quint","state_hhsize_quint","state_sec_hhsize_quint","owns_dwelling","nat_dwel_quint","sec_dwel_quint","state_dwel_quint","state_sec_dwel_quint","owns_land","nat_land_quint","sec_land_quint","state_land_quint","state_sec_land_quint","quintile_overall"
"39",NA,4506.76554352955,2022,"State","All","All Households","state_quint",NA,NA,"Uttrakhand",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"40",NA,6339.91321500088,2022,"State","All","All Households","state_quint",NA,NA,"Uttrakhand",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"41",NA,2261.28351556441,2022,"State","All","All Households","state_quint",NA,NA,"Haryana",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"42",NA,3074.40786583329,2022,"State","All","All Households","state_quint",NA,NA,"Haryana",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"43",NA,3778.14223859391,2022,"State","All","All Households","state_quint",NA,NA,"Haryana",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"44",NA,4717.99640089813,2022,"State","All","All Households","state_quint",NA,NA,"Haryana",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"45",NA,6973.02781330945,2022,"State","All","All Households","state_quint",NA,NA,"Haryana",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"46",NA,2503.11530482708,2022,"State","All","All Households","state_quint",NA,NA,"Delhi",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"47",NA,3341.37060522927,2022,"State","All","All Households","state_quint",NA,NA,"Delhi",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"48",NA,4163.48285841559,2022,"State","All","All Households","state_quint",NA,NA,"Delhi",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"49",NA,5364.9012223914,2022,"State","All","All Households","state_quint",NA,NA,"Delhi",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"50",NA,8996.92948648228,2022,"State","All","All Households","state_quint",NA,NA,"Delhi",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"51",NA,1997.46772778999,2022,"State","All","All Households","state_quint",NA,NA,"Rajasthan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"52",NA,2731.38805843568,2022,"State","All","All Households","state_quint",NA,NA,"Rajasthan",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
