,welfare_agg21_sp,year,level,area,dem,SourceSheet,sector2,quintile_overall,state,age_cat,edu_cat,gen_cat,hhsize_cat,owns_land,nat_quint,sec_quint,state_sec_quint,state_quint,nat_age_quint,sec_age_quint,state_age_quint,state_sec_age_quint,nat_edu_quint,sec_edu_quint,state_edu_quint,state_sec_edu_quint,nat_gen_quint,sec_gen_quint,state_gen_quint,state_sec_gen_quint,nat_hhsize_quint,sec_hhsize_quint,state_hhsize_quint,state_sec_hhsize_quint,nat_land_quint,sec_land_quint,state_land_quint,state_sec_land_quint
34,5068.79,2011,State,urban/rural,All Households,state_sec_quint,1,4,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,7901.02,2011,State,urban/rural,All Households,state_sec_quint,1,5,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1799.18,2011,State,urban/rural,All Households,state_sec_quint,0,1,Punjab,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2361.1,2011,State,urban/rural,All Households,state_sec_quint,0,2,Punjab,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2914.63,2011,State,urban/rural,All Households,state_sec_quint,0,3,Punjab,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,3643.88,2011,State,urban/rural,All Households,state_sec_quint,0,4,Punjab,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,5176.44,2011,State,urban/rural,All Households,state_sec_quint,0,5,Punjab,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1731.61,2011,State,urban/rural,All Households,state_sec_quint,1,1,Punjab,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2407.47,2011,State,urban/rural,All Households,state_sec_quint,1,2,Punjab,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,3028.61,2011,State,urban/rural,All Households,state_sec_quint,1,3,Punjab,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,4058.49,2011,State,urban/rural,All Households,state_sec_quint,1,4,Punjab,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,6065.22,2011,State,urban/rural,All Households,state_sec_quint,1,5,Punjab,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1838.37,2011,State,urban/rural,All Households,state_sec_quint,0,1,Chandigarh,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2272.52,2011,State,urban/rural,All Households,state_sec_quint,0,2,Chandigarh,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,3196.99,2011,State,urban/rural,All Households,state_sec_quint,0,3,Chandigarh,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,3863.33,2011,State,urban/rural,All Households,state_sec_quint,0,4,Chandigarh,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,6348.78,2011,State,urban/rural,All Households,state_sec_quint,0,5,Chandigarh,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1582.92,2011,State,urban/rural,All Households,state_sec_quint,1,1,Chandigarh,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2348.16,2011,State,urban/rural,All Households,state_sec_quint,1,2,Chandigarh,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,3109.66,2011,State,urban/rural,All Households,state_sec_quint,1,3,Chandigarh,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,4379.48,2011,State,urban/rural,All Households,state_sec_quint,1,4,Chandigarh,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,8140.98,2011,State,urban/rural,All Households,state_sec_quint,1,5,Chandigarh,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1899.02,2011,State,urban/rural,All Households,state_sec_quint,0,1,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2287.29,2011,State,urban/rural,All Households,state_sec_quint,0,2,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2642.25,2011,State,urban/rural,All Households,state_sec_quint,0,3,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,3193.74,2011,State,urban/rural,All Households,state_sec_quint,0,4,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,4401.42,2011,State,urban/rural,All Households,state_sec_quint,0,5,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1628.85,2011,State,urban/rural,All Households,state_sec_quint,1,1,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2215.51,2011,State,urban/rural,All Households,state_sec_quint,1,2,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2925.67,2011,State,urban/rural,All Households,state_sec_quint,1,3,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,3663.52,2011,State,urban/rural,All Households,state_sec_quint,1,4,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,5286.38,2011,State,urban/rural,All Households,state_sec_quint,1,5,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1728.91,2011,State,urban/rural,All Households,state_sec_quint,0,1,Haryana,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2312,2011,State,urban/rural,All Households,state_sec_quint,0,2,Haryana,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2895.73,2011,State,urban/rural,All Households,state_sec_quint,0,3,Haryana,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,3575.65,2011,State,urban/rural,All Households,state_sec_quint,0,4,Haryana,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,5093.97,2011,State,urban/rural,All Households,state_sec_quint,0,5,Haryana,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1820.84,2011,State,urban/rural,All Households,state_sec_quint,1,1,Haryana,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2664.81,2011,State,urban/rural,All Households,state_sec_quint,1,2,Haryana,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,3567.7,2011,State,urban/rural,All Households,state_sec_quint,1,3,Haryana,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,4607.73,2011,State,urban/rural,All Households,state_sec_quint,1,4,Haryana,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,8993.43,2011,State,urban/rural,All Households,state_sec_quint,1,5,Haryana,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2146.01,2011,State,urban/rural,All Households,state_sec_quint,0,1,Delhi,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,2793.45,2011,State,urban/rural,All Households,state_sec_quint,0,2,Delhi,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
